common_name_clean,recorded_taxa_group,estimated_taxa_group,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,Manual_Classification_Notes,ornamentalFLAG_1,Assignment_for_Major_Functional_Group
naca,OTRAS,NA,Dormitator maculatus,high confidence,match to Hem's key,Dormitator,genus derived from known species,NA,Freshwater fishes,"Fat sleeper, cute freshwater fish",POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
nacar,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Molluscs excl. Cephalopods,"Mother of pearl, possibly oyster",YES,Assigned_Manually: OTRAS treated differently than other major groups
nacar callo,OTRAS,NA,unknown,not applicable,no data in keys,Atrina,manual entry,NA,Molluscs excl. Cephalopods,I think this is suggesting nacar from Callo de Hacha,YES,Assigned_Manually: OTRAS treated differently than other major groups
nacar medias perlas cultivadas,OTRAS,NA,Pinctada mazatlanica,high confidence,manual entry; extremely high confidence,Pinctada,manual entry,NA,Molluscs excl. Cephalopods,Pearl oysters,YES,Assigned_Manually: OTRAS treated differently than other major groups
nacar perlas cultivadas,OTRAS,NA,Pinctada mazatlanica,high confidence,manual entry; extremely high confidence,Pinctada,manual entry,NA,Molluscs excl. Cephalopods,Pearl oysters,YES,Assigned_Manually: OTRAS treated differently than other major groups
negrillo,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Demersal marine fishes,Probably a grouper,NO,Assigned_Manually: OTRAS treated differently than other major groups
orihuelos,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a fish?,NO,Assigned_Manually: OTRAS treated differently than other major groups
otras especies agua marina sin registro oficial,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
otras especies sin registro oficial,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
pata cabra,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Other marine invertebrates,Some sort of intertidal invertebrate?,NO,Assigned_Manually: OTRAS treated differently than other major groups
peje lagarto,OTRAS,NA,Lepidoseus viridis,high confidence,match to Hem's key,Lepidoseus,genus derived from known species,NA,Freshwater fishes,Possibly a freshwater gar?,NO,Assigned_Manually: OTRAS treated differently than other major groups
perca,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,A surf perch?,NO,Assigned_Manually: OTRAS treated differently than other major groups
pescadilla,OTRAS,NA,Merluccius productus,high confidence,match to Hem's key,Merluccius,genus derived from known species,NA,Demersal marine fishes,Pacific hake,NO,Assigned_Manually: OTRAS treated differently than other major groups
pez globo,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,Arothron,manual entry,NA,Demersal marine fishes,Arothron according to Hem's key,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
pez mar,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,Generic marine fish category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
pez peine,OTRAS,NA,Pristis pectinata¬†,high confidence,match to Hem's key,Pristis,genus derived from known species,NA,Sharks,Smalltooth sawfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
pez se√±orita,OTRAS,NA,Albula vulpes,high confidence,match to Hem's key,Albula,genus derived from known species,NA,Demersal marine fishes,Bonefish,NO,Assigned_Manually: OTRAS treated differently than other major groups
pez volador,OTRAS,NA,Oxyporhamphus micropterus,high confidence,match to Hem's key,Oxyporhamphus,genus derived from known species,NA,Pelagic marine fishes,Shortfin flyingfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
picua corsaria,OTRAS,NA,Sphyraena barracuda,high confidence,match to Hem's key,Sphyraena,genus derived from known species,NA,Pelagic marine fishes,Great barracuda,NO,Assigned_Manually: OTRAS treated differently than other major groups
pistola,OTRAS,NA,Fistularia petimba,high confidence,match to Hem's key,Fistularia,genus derived from known species,NA,Pelagic marine fishes,Red cornetfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
plantas acuaticas,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine algae,Plants or algae of some sort,NO,Assigned_Manually: OTRAS treated differently than other major groups
pollo,OTRAS,NA,Helicolenus dactylopterus,high confidence,match to Hem's key,Helicolenus,genus derived from known species,NA,Demersal marine fishes,Blackbelly rosefish,NO,Assigned_Manually: OTRAS treated differently than other major groups
rana,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Other freshwater taxa,Frogs!,NO,Assigned_Manually: OTRAS treated differently than other major groups
rana leopardo,OTRAS,NA,Rana brownorum,high confidence,match to Hem's key,Rana,genus derived from known species,NA,Other freshwater taxa,Brown’s frog,NO,Assigned_Manually: OTRAS treated differently than other major groups
rana toro,OTRAS,NA,Rana catesbeiana¬†,high confidence,match to Hem's key,Rana,genus derived from known species,NA,Other freshwater taxa,American bullfrog,NO,Assigned_Manually: OTRAS treated differently than other major groups
ratina,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a fish perhaps?,NA,Assigned_Manually: OTRAS treated differently than other major groups
ripio,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
roca se,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a shellfish perhaps?,NA,Assigned_Manually: OTRAS treated differently than other major groups
sanducha,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… A shelfish of some sort?,NO,Assigned_Manually: OTRAS treated differently than other major groups
sargo,OTRAS,NA,Diplodus sargus,high confidence,match to Hem's key,Diplodus,genus derived from known species,NA,Demersal marine fishes,White seabream,NO,Assigned_Manually: OTRAS treated differently than other major groups
serrano,OTRAS,NA,Alphestes galapagensis,high confidence,match to Hem's key,Alphestes,genus derived from known species,NA,Demersal marine fishes,Galapagos rockcod,NO,Assigned_Manually: OTRAS treated differently than other major groups
soldadito,OTRAS,NA,Bellator militaris,high confidence,match to Hem's key,Bellator,genus derived from known species,NA,Demersal marine fishes,Horned sea robin,NO,Assigned_Manually: OTRAS treated differently than other major groups
tambor,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,Some sort of drum,NO,Assigned_Manually: OTRAS treated differently than other major groups
tolete,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Pelagic marine fishes,Looks like this is probably a barracuda,NO,Assigned_Manually: OTRAS treated differently than other major groups
tomate,OTRAS,NA,Actinia equina,high confidence,match to Hem's key,Actinia,genus derived from known species,NA,Other marine invertebrates,Beadlet sea anemone,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
tonzac,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a shellfish perhaps?,NA,Assigned_Manually: OTRAS treated differently than other major groups
topote,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,Mollies; freshwater; likely ornamental,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
topote del pac√≠fico,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,Likely freshwater,NO,Assigned_Manually: OTRAS treated differently than other major groups
topuche,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… A shelfish of some sort?,NO,Assigned_Manually: OTRAS treated differently than other major groups
