"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
NA,"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA  CONCHA",NA,NA,NA,NA,NA,"ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA CONCHA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PISMO ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PISMO",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PISMO CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA PISMO",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PRIETA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PRIETA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PRIETA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA PRIETA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PURPURA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PURPURA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PURPURA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA PURPURA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RAYA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA RAYA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA REINA DE CULTIVO","DE CULTIVO",NA,NA,NA,NA,"ALMEJA REINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROJA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA ROJA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROJA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA ROJA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROJA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA ROJA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA ROÑOSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA / ARROCERA CHIRLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA / ARROCERA CHIRLA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA CHINA",NA,NA,NA,NA,NA,"ALMEJA ROÑOSA CHINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA CHINA ENT. FCA","ENT.","FCA",NA,NA,NA,"ALMEJA ROÑOSA CHINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA CHINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA CHINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA CHINA CONCHA",NA,NA,NA,NA,NA,"ALMEJA ROÑOSA CHINA CONCHA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA NEGRA ENT FCA","ENT","FCA",NA,NA,NA,"ALMEJA ROÑOSA NEGRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA NEGRA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA NEGRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA NEGRA",NA,NA,NA,NA,NA,"ALMEJA ROÑOSA NEGRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA NEGRA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA ROÑOSA NEGRA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA ROÑOSA NEGRA VIVA",NA,NA,NA,NA,NA,"ALMEJA ROÑOSA NEGRA VIVA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA RO�OSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA RO�OSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA / ARROCERA CHIRLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA RO�OSA / ARROCERA CHIRLA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA RO�OSA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA NEGRA ENT FCA","ENT","FCA",NA,NA,NA,"ALMEJA RO�OSA NEGRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA RO�OSA NEGRA VIVA",NA,NA,NA,NA,NA,"ALMEJA RO�OSA NEGRA VIVA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA VOLADORA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA VOLADORA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA VOLADORA CONCHA DE SECA","CONCHA DE","SECA",NA,NA,NA,"ALMEJA VOLADORA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA VOLADORA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA VOLADORA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA VOLADORA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA VOLADORA C.",NA,NA,NA,NA
NA,"MACARELA","MACARELA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"MACARELA",NA,NA,NA,NA
NA,"MACARELA","MACARELA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"MACARELA",NA,NA,NA,NA
NA,"MACARELA","MACARELA IND.","IND.",NA,NA,NA,NA,"MACARELA",NA,NA,NA,NA
NA,"OTRAS","CHARCHINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"CHARCHINA",NA,NA,NA,NA
NA,"OTRAS","CHARRA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"CHARRA",NA,NA,NA,NA
NA,"OTRAS","CHARRITO ENT. FCO. IND.","ENT.","FCO.","IND.",NA,NA,"CHARRITO",NA,NA,NA,NA
NA,"MACARELA","MACARELA BONITO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"MACARELA BONITO",NA,NA,NA,NA
NA,"OTRAS","MACABI DESV. FCO.","DESV.","FCO.",NA,NA,NA,"MACABI",NA,NA,NA,NA
NA,"MACARELA","MACARELA P/CARNADA",NA,NA,NA,NA,NA,"MACARELA P/CARNADA",NA,NA,NA,NA
NA,"OTRAS","CHATARRA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"CHATARRA",NA,NA,NA,NA
NA,"MOJARRA","MOJARRA ESPAÑOLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"MOJARRA ESPAÑOLA",NA,NA,NA,NA
NA,"OTRAS","ABANDERADO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ABANDERADO",NA,NA,NA,NA
NA,"OTRAS","ABOGADO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ABOGADO",NA,NA,NA,NA
NA,"OTRAS","ACEDIA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ACEDIA",NA,NA,NA,NA
NA,"OTRAS","ACOCIL COCIDO",NA,NA,NA,NA,NA,"ACOCIL COCIDO",NA,NA,NA,NA
NA,"OTRAS","ACUMARA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ACUMARA",NA,NA,NA,NA
NA,"OTRAS","AGUADO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"AGUADO",NA,NA,NA,NA
NA,"OTRAS","AGUADO DESV. FCO.","DESV.","FCO.",NA,NA,NA,"AGUADO",NA,NA,NA,NA
NA,"OTRAS","AGUADO DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"AGUADO",NA,NA,NA,NA
NA,"OTRAS","AGUJA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"AGUJA",NA,NA,NA,NA
NA,"OTRAS","AGUJA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"AGUJA",NA,NA,NA,NA
NA,"OTRAS","AGUJILLA DESV. DESC. FCA.","DESV.","DESC.","FCA.",NA,NA,"AGUJILLA",NA,NA,NA,NA
NA,"OTRAS","AGUJILLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"AGUJILLA",NA,NA,NA,NA
NA,"OTRAS","AGUJON ENT. FCO.","ENT.","FCO.",NA,NA,NA,"AGUJON",NA,NA,NA,NA
NA,"OTRAS","AGUJON DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"AGUJON",NA,NA,NA,NA
NA,"OTRAS","AGUJON DESV. FCO.","DESV.","FCO.",NA,NA,NA,"AGUJON",NA,NA,NA,NA
NA,"OTRAS","ALA DE ANGEL ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALA DE ANGEL",NA,NA,NA,NA
NA,"OTRAS","ANCAS DE RANA TORO",NA,NA,NA,NA,NA,"ANCAS DE RANA TORO",NA,NA,NA,NA
NA,"OTRAS","ANGUILA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ANGUILA",NA,NA,NA,NA
NA,"OTRAS","ARBOLITO FCO.","FCO.",NA,NA,NA,NA,"ARBOLITO",NA,NA,NA,NA
NA,"OTRAS","ARMADO DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"ARMADO",NA,NA,NA,NA
NA,"OTRAS","ARRAYADO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ARRAYADO",NA,NA,NA,NA
NA,"OTRAS","CHUPALODO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CHUPALODO",NA,NA,NA,NA
NA,"OTRAS","CIRUJANO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CIRUJANO",NA,NA,NA,NA
NA,"OTRAS","BACALAO DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BACALAO",NA,NA,NA,NA
NA,"OTRAS","BACALAO SECO","SECO",NA,NA,NA,NA,"BACALAO",NA,NA,NA,NA
NA,"OTRAS","BACALAO FILETE FCO","FILETE","FCO",NA,NA,NA,"BACALAO",NA,NA,NA,NA
