"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2023,"region_4_5_6_sonora_tbd","brotula",26,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_4_5_6_sonora_tbd","brotula",220,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_5","brotula",127182.6,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_5","brotula",135875.8,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_5","brotula",68219.6,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_5","brotula",81144.5,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_5","brotula",189483.7,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_5","brotula",105040,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_5","brotula",164411,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_6","brotula",1200,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_6","brotula",34010,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_6","brotula",31570.3,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_6","brotula",24189.7,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_6","brotula",50460.8,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_6","brotula",23797,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_6","brotula",87190.5,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_7","brotula",37423.5,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_7","brotula",71582.9,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_7","brotula",126563.4,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_7","brotula",254527.2,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_7","brotula",402788.7,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_7","brotula",461476,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_7","brotula",288065.3,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_8","brotula",659591.5,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_8","brotula",504523.85,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_8","brotula",671648.4,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_8","brotula",1192786.8,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_8","brotula",892932.7,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_8","brotula",894438,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_8","brotula",641382.825,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_9","brotula",200,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2020,"region_9","brotula",165,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_9","brotula",950,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_9","brotula",6300,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_9","brotula",900,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_1_2_baja_tbd","caranx",2177,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_2","caranx",145,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2020,"region_2","caranx",256.1,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2021,"region_2","caranx",53,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2022,"region_2","caranx",20,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_2","caranx",4385,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
