region,location_text,additional_location_info,initial_date,final_date,event_year,event_biblio
Baja California,San Felipe,"San Felipe-Puertecitos, Municipio de Mexicali",2010-04-16,2010-05-17,2010,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2010
Baja California Sur,Canal San Lorenzo,NA,2009-02-27,2009-02-28,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa de Mazatl·n,NA,2009-01-14,2009-01-16,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
NA,Bahia de La Paz,NA,2009-03-12,2009-04-08,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2009
Baja California Sur,BahÌa de la Paz,NA,NA,NA,2009,"LÛpez-CortÈs, D. J., Band-Schmidth, C. J., G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Hern·ndez-Sandoval, F. E., N˙Òez-V·zquez, E. J. 2011. Co-ocurrence of Chattonella marina and Gymnodinium catenatum in BahÌa de la Paz, Gulf of California (spring 2009). HidrobiolÛgica. 21(2): 185-196."
Sinaloa,BahÌa de Altata,NA,2008-04-04,2008-04-07,2008,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,San Jose Island,NA,NA,NA,2008,"Morquecho, L., Alonso-RodrÌguez, R., MartÌnez-Tecuapacho, G.. A. 2014. Cyst morphology, germination characteristics, and potential toxicity of Pyrodinium bahamense in the Gulf of California. Bot·nica Marina. 57(4):303-314"
Baja California Sur,Bahia de La Paz,De El Tecolote a El Burro,2007-03-06,2007-04-13,2007,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2007. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2007
Baja California Sur,BahÌa de la Paz,NA,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
Baja California Sur,BahÌa de la Paz,NA,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
Baja California Sur,Bahia de la Paz,NA,NA,NA,2007,"MuciÒo-Marquez, R. E., G·rate-Liz·rraga, I., LÛpez-CortÈs, D. J. 2015. Seasonal Variation of the Genus Prorocentrum (DINOPHYCEAE) in Two Tuna Farms in BahÌa de la Paz, MÈxico. Acta BiolÛgica Colombiana. 20(1): 195-206."
Baja California Sur,Bahia de La Paz,"El Cayo, Punta Estero, Interior del Estero, Boca del Estero, El Pardito Isla Sur, Francisquito y PortuguÈs en Baja California Sur",2006-07-28,2006-08-10,2006,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2006. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2006
Baja California Sur,Bahia de La Paz,"Barco Hundido, El Mogote, Punta Mogote (PM). Marina Palmira, El Caimancito, Punta Prieta",2006-06-09,2006-07-07,2006,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2006. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2006. LÛpez-CortÈs D. J., E. J. N˙Òez-V·zquez, C. J. Band-Schmidt, I. G·rate-Liz·rraga, F. E. Hern·ndez-Sandoval, J. J. Bustillos-Guzm·n. 2015. Mass fish die-off during a diatom bloom in the BahÌa de La Paz, Gulf of California. HidrobiolÛgica 25 (1): 39-48. 22. N˙Òez-V·zquez, E., G·rate-Liz·rraga, I., Band-Schmidt, C.J., Cordero-Tapia, A., LÛpez-CortÈz, D.J., Hern·ndez-Sandoval, F.H., Heredia-Tapia, A., Bustillos-Guzm·n, J.J. 2011. Impact of harmful algal blooms on wild and cultured animals in the Gulf of California. J. Environm Biol. 32(1/2): 413-423"
Baja California Sur,BahÌa de la Paz,six sampling stations,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
"Los Mochis, Sinaloa",Topolobampo lagoon system,NA,NA,NA,2005,"MartÌnez-LÛpez, A., Ulloa-PÈrez, A. E., Escobedo-UrÌas, D. C. 2007. First Record of Vegetative Cells of Pyrodinium bahamense (Gonyaulacales: Goniodomataceae) in the Gulf of California. Pacific Science. 61 (2): 289-293"
Bja California Sur,RincÛn de las Ballenas,NA,2004-07-08,2004-07-19,2004,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2004
"La Paz, B. C. S.",Isla EspÌritu Santo,NA,NA,NA,2004,"G·rate-liz·rraga, I., MuÒetÛn-GÛmez, M. S., Maldonado-Lopez, V. 2006. Florecimiento del dinoflagelado Gonyaulax polygramma frente a la Isla Espiritu Santo, Golfo de California, Mexico. Rev. Invest. Mar. 27(1): 31-39."
Sonora,Bahia Kino,NA,2003-06-05,2003-06-12,2003,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sonora,Kun Kaak Bay,NA,NA,NA,2003,"Barraza-Guardado, R., CortÈs-Altamirano, R., Sierra-Beltr·n, A. 2004. Marine die-offs from Chattonella marina and Ch. cf. ovata in Kun Kaak Bay, Sonora in the Gulf of California. Harmful Algae News. 25: 7-8."
"La Paz, B. C. S.",BahÌa de la Paz,NA,NA,NA,2002,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Erler, K., MuÒetÛn-GÛmez, M. S., Luckas, B., Tripp-Quezada, A. 2004. Paralytic shellfish toxins in the chocolata clam, Megapitaria squalida (Bivalvia: Veneridae), in BahÌa de la Paz, Gulf of California. Rev. Biol. Trop. 52(Suppl. 1): 133-140."
Baja California,Bahia ConcepciÛn,NA,2002-04-16,2002-04-19,2002,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., LÛpez-CortÈs, D. J., Hern·ndez-Sandoval, F., Erler, K., Luckas, B. 2006. Marine Pollution Bulletin. 52: 800-815."
Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2001,"Band-Schmidt, C. J., Bustillos-Guzm·n, J., G·rate-Liz·rraga, I., Lechuga-DevÈze, C. H., Reinhardt, K., Luckas, B. 2005. Paralytic shellfish toxin profile in strains of the dinoflagellate Gymnodinium catenatum Graham and the scallop Argopecten ventricosus G.B. Sowerby II from BahÌa ConcepciÛn, Gulf of California, MÈxico. Harmful Algae. 4: 21-31."
"La Paz, B. C. S.",BahÌa de la Paz,NA,NA,NA,2001,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Erler, K., MuÒetÛn-GÛmez, M. S., Luckas, B., Tripp-Quezada, A. 2004. Paralytic shellfish toxins in the chocolata clam, Megapitaria squalida (Bivalvia: Veneridae), in BahÌa de la Paz, Gulf of California. Rev. Biol. Trop. 52(Suppl. 1): 133-140."
Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2000,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2000,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
"La Paz, B. C. S.",La Ensenada de la Paz Shore,NA,2000-09-15,2000-09-28,2000,"G·rate-Liz·rraga, I., LÛpez-CortÈs, D.J., Bustillos-Guzm·n, J.J., Hern·ndez-Sandoval, F. 2000. Blooms of Cochlodinium polykrikoides (Gymnodiniaceae) in the Gulf of California, Mexico. Rev. Biol. Trop. 52 (Suppl. 1): 51-58."
