"recorded_taxa_group","estimated_genus_name","estimated_taxa_group","Major_Functional_Group"
"ALMEJA","Panopea","ALMEJA","Molluscs excl. Cephalopods"
"OTRAS","Pomadasys","OTRAS","Demersal marine fishes"
"CARPA","NEI","CARPA","Demersal marine fishes"
"RONCO","Selene","RONCO","Demersal marine fishes"
"LANGOSTINO","NEI","LANGOSTINO","Shrimps, prawns"
"BESUGO","NEI","BESUGO","Marine fishes NEI"
"CAMARON","Xiphopenaeus","CAMARON","Shrimps, prawns"
"OTRAS","Lepidoseus","OTRAS",NA
"RAYA Y SIMILARES",NA,"RAYA Y SIMILARES","Demersal marine fishes"
"ALMEJA","Amiantis","ALMEJA","Molluscs excl. Cephalopods"
"TIBURON","Nasolamia","TIBURON","Sharks"
"OTRAS","Pollicipes","OTRAS","Crustaceans"
"CINTILLA","Trichiurus","CINTILLA","Demersal marine fishes"
"ROBALO","NEI","ROBALO","Demersal marine fishes"
"OTRAS","Lujtanus","GUACHINANGO","Demersal marine fishes"
"RUBIA Y VILLAJAIBA","Ocyurus","RUBIA Y VILLAJAIBA","Demersal marine fishes"
"TIBURON","Negaprion","TIBURON","Sharks"
"OTRAS","Bairdiella","OTRAS",NA
"OTRAS","Cheilotrema","OTRAS",NA
"OTRAS","Strongylura","OTRAS","Pelagic marine fishes"
"OTRAS","Sebastes","OTRAS","Demersal marine fishes"
"OTRAS","Evibacus","OTRAS","Crustaceans"
"OTRAS","Pristis","OTRAS",NA
"CAMARON","Metapenaeus","CAMARON","Shrimps, prawns"
"OTRAS","Chaetodipterus","OTRAS",NA
"CARACOL","Turbo","CARACOL","Molluscs excl. Cephalopods"
"OTRAS","Syngnathus","OTRAS","Demersal marine fishes"
"OTRAS","Peprilus","OTRAS","Pelagic marine fishes"
"ESPECIE GENERICA",NA,"ESPECIE GENERICA",NA
"OTRAS","Mytilus","OTRAS","Molluscs excl. Cephalopods"
"CORVINA","NEI","CORVINA","Demersal marine fishes"
"ROBALO","Morone","ROBALO","Demersal marine fishes"
"OTRAS","Pseudocarcharias","OTRAS",NA
"OTRAS","Bagre","BANDERA","Demersal marine fishes"
"MERO",NA,"MERO","Demersal marine fishes"
"OTRAS","Chloroscombrus","OTRAS","Pelagic marine fishes"
"OTRAS","Clupanodon","OTRAS",NA
"RONCO","Haemulon","OTRAS","Demersal marine fishes"
"OTRAS","Totoaba","OTRAS","Demersal marine fishes"
"CARPA","Hypophthalmichthys","CARPA","Demersal marine fishes"
"MACARELA",NA,"MACARELA","Pelagic marine fishes"
"CARACOL","Turbinella","CARACOL","Molluscs excl. Cephalopods"
"TIBURON","Echinorhinus","TIBURON","Sharks"
"OTRAS","Belone","OTRAS",NA
"OTRAS","Hemirhamphus","OTRAS",NA
"JAIBA","Callinectes","JAIBA","Crustaceans"
"RAYA Y SIMILARES","Gymnura","RAYA Y SIMILARES","Demersal marine fishes"
"OTRAS","Calamus","MOJARRA","Demersal marine fishes"
"JUREL","Decapterus","JUREL","Pelagic marine fishes"
"OTRAS","Actinia","OTRAS",NA
"OTRAS","Eucinostomus gracilis","MOJARRA","Demersal marine fishes"
"RAYA Y SIMILARES","Rhinobatos","RAYA Y SIMILARES","Demersal marine fishes"
"ALMEJA","Chione","ALMEJA","Molluscs excl. Cephalopods"
"RAYA Y SIMILARES","Rhinoptera","RAYA Y SIMILARES","Demersal marine fishes"
"BANDERA","Dentex","BANDERA","Demersal marine fishes"
"OTRAS","Holocentrus","OTRAS",NA
"LENGUADO",NA,"LENGUADO","Demersal marine fishes"
"OTRAS","Micropterus","OTRAS",NA
"JUREL","Atherinopsis","JUREL","Pelagic marine fishes"
"MOJARRA","Eucinostomus gracilis","MOJARRA","Marine fishes NEI"
"SARDINA","Lagodon","SARDINA","Pelagic marine fishes"
"TIBURON",NA,"TIBURON","Sharks"
"TIBURON","Galeorhinus","TIBURON","Sharks"
"CALAMAR","Loligo","CALAMAR","Cephalopods"
"OTRAS","Cyprinodon","OTRAS",NA
"OTRAS","Brevoortia","OTRAS",NA
"OTRAS","Menticirrhus","BERRUGATA","Demersal marine fishes"
"OTRAS","Polydactylus","LISA","Demersal marine fishes"
"OTRAS","Perissias taeniopterus","OTRAS","Demersal marine fishes"
"ALGAS","Eucheuma","ALGAS","Marine algae"
"PEPINO DE MAR",NA,"PEPINO DE MAR","Other marine invertebrates"
"OTRAS","Chaceon","OTRAS",NA
"OTRAS","Alphestes","OTRAS",NA
"LISA","Polydactylus","LISA","Demersal marine fishes"
"OTRAS","Diplodus","OTRAS",NA
"OTRAS","Hoplopagrus","OTRAS","Demersal marine fishes"
"PARGO",NA,"PARGO","Demersal marine fishes"
"OTRAS","Albula","OTRAS",NA
"CARPA","Mylopharyngodon","CARPA","Demersal marine fishes"
"OTRAS","Cathorops","OTRAS",NA
"ANCHOVETA","Engraulis","ANCHOVETA","Pelagic marine fishes"
"CAZON","Rhizoprionodon","CAZON","Sharks"
"TIBURON","Carcahrhinus","TIBURON","Sharks"
"OTRAS","Trachurus","OTRAS",NA
"SARDINA","Oligoplites","SARDINA","Pelagic marine fishes"
"CHARAL","Chirostoma","CHARAL","Marine fishes NEI"
"MOJARRA","Eucinostomus","MOJARRA","Marine fishes NEI"
"LENGUADO","Mulloidichthys","LENGUADO","Demersal marine fishes"
"LENGUADO","Citharichthys","LENGUADO","Demersal marine fishes"
"LISA",NA,"LISA","Demersal marine fishes"
"CARPA","Carassius","CARPA","Demersal marine fishes"
"CHARAL",NA,"CHARAL","Marine fishes NEI"
"CAZON","Rhizorionodon","CAZON","Sharks"
"ESMEDREGAL","NEI","ESMEDREGAL","Pelagic marine fishes"
"OTRAS","Dorosoma","OTRAS",NA
"OTRAS","Spondyliosoma","OTRAS",NA
"MOJARRA",NA,"MOJARRA","Marine fishes NEI"
"LANGOSTINO",NA,"LANGOSTINO","Shrimps, prawns"
"OTRAS","Calappa","OTRAS",NA
"CINTILLA",NA,"CINTILLA","Demersal marine fishes"
"CAZON","Carcharhinus","TIBURON","Sharks"
"ESMEDREGAL",NA,"ESMEDREGAL","Pelagic marine fishes"
"BONITO","Caranx","BONITO","Pelagic marine fishes"
"OSTION","Magallana","OSTION","Molluscs excl. Cephalopods"
"TIBURON","Sypyrna","TIBURON","Sharks"
"OTRAS","Sphoeriodes","OTRAS","Marine fishes NEI"
"OTRAS","Hemiramphus","OTRAS",NA
"CARPA",NA,"CARPA","Demersal marine fishes"
"TIBURON","Sphyrna zygaena","TIBURON","Sharks"
"ORNATO",NA,"ORNATO",NA
"LENGUADO","Achirus","LENGUADO","Demersal marine fishes"
"OTRAS","Dormitator","OTRAS",NA
"JAIBA",NA,"JAIBA","Crustaceans"
"BERRUGATA",NA,"BERRUGATA","Demersal marine fishes"
"LANGOSTA",NA,"LANGOSTA","Crustaceans"
"RAYA Y SIMILARES","Dasyatis","RAYA Y SIMILARES","Demersal marine fishes"
"PULPO",NA,"PULPO","Cephalopods"
"MOJARRA","Lepomis","MOJARRA","Marine fishes NEI"
