"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Source","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment","st_b_source","end_b_source"
"goc","mobula","myliobatidae","demersal marine fishes","raya y similares","CONAPESCA",TRUE,2000,2019,2009,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.203333333333333,0.383333333333333,NA,NA,"low","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","nematistius","nematistiidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.3,0.5,NA,NA,"medium","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","brotula","ophidiidae","demersal marine fishes","lenguado","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.3,0.5,NA,NA,"low","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","stereolepis","polyprionidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2016,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.325,NA,NA,"very low","fish base","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level",NA,"Expert Opinion"
"goc","pseudobatos","rhinobatidae","demersal marine fishes","raya y similares","CONAPESCA",TRUE,2000,2024,2008,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.5,0.8,0.2,0.4,NA,NA,"low","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","nicholsina","scaridae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2004,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,NA,NA,"medium","fish base","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level",NA,"Expert Opinion"
"goc","menticirrhus","sciaenidae","demersal marine fishes","berrugata","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.2,0.4,0.3,0.5,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","micropogonias","sciaenidae","demersal marine fishes","berrugata","CONAPESCA",TRUE,2000,2024,2009,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","cynoscion","sciaenidae","demersal marine fishes","corvina","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","larimus","sciaenidae","demersal marine fishes","corvina","CONAPESCA",TRUE,2005,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
