"year","Stock","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name","total_biomass_kg","total_revenue"
2003,"Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae",33430,9800
2003,"Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae",73013,1082318
2003,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae",1237328.5,9515177
2003,"Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae",378357.8,8971110
2003,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Istiophoridae",15769.45,55198
2003,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae",5604059.3,33491612
2003,"Lamna","Demersal marine fishes","PETO","Lamnidae",4024.9,58146
2003,"Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae",16822,40276
2003,"Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae",2592794.65,52842399
2003,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae",1040194,4714799
2003,"Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae",73246.5,428252
2003,"Merluccius","Demersal marine fishes","OTRAS","Merlucciidae",969268.3,6091537
2003,"Microlepidotus","Demersal marine fishes","OTRAS","Haemulidae",6939,30734
2003,"Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae",2114931,11321134
2003,"Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",1098313.25,7176932
2003,"Mugil","Demersal marine fishes","LISA","Mugilidae",2033560.2,9775695
2003,"Mustelus","Sharks","TIBURON","Triakidae",291369.5,3065445
2003,"Mycteroperca","Demersal marine fishes","CABRILLA","Serranidae",505171.95,7792529
2003,"Nematistius","Demersal marine fishes","OTRAS","Nematistiidae",421.5,3835
2003,"Nicholsina","Demersal marine fishes","OTRAS","Scaridae",3714.6,35139
2003,"Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",149525466.24,21288066
2003,"Orthopristis","Demersal marine fishes","OTRAS","Haemulidae",33544,136109
2003,"Panulirus","Crustaceans","LANGOSTA","Palinuridae",446344,26189958
2003,"Paralabrax","Demersal marine fishes","CABRILLA","Serranidae",2213382.9,11533208
2003,"Paranthias","Demersal marine fishes","OTRAS","Serranidae",290,1160
2003,"Parapsettus","Demersal marine fishes","OTRAS","Ephippidae",1352,6760
2003,"Penaeus","Shrimps, prawns","CAMARON","Penaeidae",8438197.2,493413326
2003,"Prionace","Sharks","TIBURON","Carcharhinidae",2170.55,10360
2003,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae",1223654.4,11966038
2003,"Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae",311860,3991595
2003,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",17957.75,151212
2003,"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",201260172.84,46329184
2003,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae",10066373.52,11253935
2003,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae",3964956.11,34856466
2003,"Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae",55712.3,687391
2003,"Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae",116933,452865
2003,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae",804152.6,6782131
2003,"Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae",552166.5,10337405
2003,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Sphyraenidae",500,3000
2003,"Sphyrna","Sharks","TIBURON","Sphyrnidae",23856.35,132833
2003,"Squatina","Sharks","TIBURON","Squatinidae",660863.95,6465679
2003,"Stereolepis","Demersal marine fishes","OTRAS","Polyprionidae",346,9410
2003,"Synodus","Demersal marine fishes","OTRAS","Synodontidae",48089,231062
2003,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN","Scombridae",82997793.5,460254479
2003,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae",116510.2,427733
2003,"Xenichthys","Demersal marine fishes","OTRAS","Haemulidae",387,774
2003,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Xiphiidae",11183.25,127437
2004,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae",600.2,4140
2004,"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae",4317,87147
2004,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",4330,24348
2004,"Alopias","Sharks","TIBURON","Alopiidae",2400,19200
2004,"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae",75361.85,813588
2004,"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae",830,18350
2004,"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae",615006,9924362
2004,"Balistes","Demersal marine fishes","CARPA","Balistidae",1396378.1,13617863
