"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2024,"region_2","panopea","maximally harvested",339651,"decreased","no increase","Within region variation in status, took most conservative",0.8
2019,"region_2","panulirus",NA,14330,"similar",NA,NA,NA
2020,"region_2","panulirus",NA,9908,"decreased",NA,NA,NA
2021,"region_2","panulirus",NA,6335,"decreased",NA,NA,NA
2022,"region_2","panulirus",NA,8068,"increased",NA,NA,NA
2023,"region_2","panulirus",NA,7094,"similar",NA,NA,NA
2024,"region_2","panulirus",NA,5442,"decreased",NA,NA,NA
2019,"region_2","paralabrax","maximally harvested",399187.05,"increased","no increase",NA,0.6
2020,"region_2","paralabrax","maximally harvested",439082.9,"similar","no increase",NA,0.7
2021,"region_2","paralabrax","maximally harvested",425058.2,"similar","no increase",NA,0.7
2022,"region_2","paralabrax","maximally harvested",403670.2,"similar","no increase",NA,0.7
2023,"region_2","paralabrax","maximally harvested",453533,"similar","no increase",NA,0.7
2024,"region_2","paralabrax","maximally harvested",551829.3,"increased","no increase",NA,0.6
2020,"region_2","prionace","maximally harvested",3320,"decreased","no increase",NA,0.8
2021,"region_2","prionace","maximally harvested",10308.5,"increased","no increase",NA,0.6
2022,"region_2","prionace","maximally harvested",35422,"increased","no increase",NA,0.6
2023,"region_2","prionace","maximally harvested",4505,"decreased","no increase",NA,0.8
2024,"region_2","prionace","maximally harvested",87251.5,"increased","no increase",NA,0.6
2019,"region_2","rhizoprionodon","maximally harvested",15778.35,"decreased","no increase",NA,0.8
2020,"region_2","rhizoprionodon","maximally harvested",96032.75,"increased","no increase",NA,0.6
2021,"region_2","rhizoprionodon","maximally harvested",53479.45,"decreased","no increase",NA,0.8
2022,"region_2","rhizoprionodon","maximally harvested",173754.55,"increased","no increase",NA,0.6
2019,"region_2","scomberomorus","maximally harvested",3060744,"similar","no increase",NA,0.7
2020,"region_2","scomberomorus","maximally harvested",2271568.8,"decreased","no increase",NA,0.8
2021,"region_2","scomberomorus","maximally harvested",1760539.3,"decreased","no increase",NA,0.8
2022,"region_2","scomberomorus","maximally harvested",1541280,"similar","no increase",NA,0.7
2023,"region_2","scomberomorus","maximally harvested",1153887,"decreased","no increase",NA,0.8
2024,"region_2","scomberomorus","maximally harvested",2561787,"increased","no increase",NA,0.6
2019,"region_2","sphoeroides",NA,28,"decreased",NA,"Seems they might lump these Botetes into one species?",NA
2020,"region_2","sphoeroides",NA,842,"increased",NA,"Seems they might lump these Botetes into one species?",NA
2021,"region_2","sphoeroides",NA,4261.5,"increased",NA,"Seems they might lump these Botetes into one species?",NA
2022,"region_2","sphoeroides",NA,5979.8,"increased",NA,"Seems they might lump these Botetes into one species?",NA
2023,"region_2","sphoeroides",NA,1293,"decreased",NA,"Seems they might lump these Botetes into one species?",NA
2024,"region_2","sphoeroides",NA,2533.2,"increased",NA,"Seems they might lump these Botetes into one species?",NA
2021,"region_2","sphyrna","maximally harvested",350,"similar","no increase",NA,0.7
2022,"region_2","sphyrna","maximally harvested",10250.3,"increased","no increase",NA,0.6
2022,"region_2","strongylocentrotus","deteriorating",900,"increased","decrease",NA,0.4
2019,"region_2","thunnus","deteriorating",133618,"increased","no increase","recovery phase",0.4
2021,"region_2","thunnus","deteriorating",3462,"decreased","no increase","recovery phase",0.6
2022,"region_2","thunnus","deteriorating",226877,"increased","no increase","recovery phase",0.4
2024,"region_2","thunnus","deteriorating",3564391,"increased","no increase","recovery phase",0.4
2019,"region_3","alopias","maximally harvested",28567.6,"decreased","no increase",NA,0.8
2020,"region_3","alopias","maximally harvested",4665.5,"decreased","no increase",NA,0.8
2021,"region_3","alopias","maximally harvested",11425.4,"increased","no increase",NA,0.6
2022,"region_3","alopias","maximally harvested",4228,"decreased","no increase",NA,0.8
2023,"region_3","alopias","maximally harvested",2854,"decreased","no increase",NA,0.8
2024,"region_3","alopias","maximally harvested",4107.9,"increased","no increase",NA,0.6
2019,"region_3","carcharhinus","maximally harvested",22834,"similar","no increase",NA,0.7
2020,"region_3","carcharhinus","maximally harvested",10937.5,"decreased","no increase",NA,0.8
