"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2021,"region_9","cynoscion",NA,613087,"increased",NA,NA,NA
2022,"region_9","cynoscion",NA,525000.9,"similar",NA,NA,NA
2023,"region_9","cynoscion",NA,429623,"similar",NA,NA,NA
2024,"region_9","cynoscion",NA,507879.15,"similar",NA,NA,NA
2019,"region_9","galeocerdo","maximally harvested",500,"similar","no increase",NA,0.7
2020,"region_9","galeocerdo","maximally harvested",1115.4,"increased","no increase",NA,0.6
2022,"region_9","galeocerdo","maximally harvested",3514.3,"increased","no increase",NA,0.6
2023,"region_9","galeocerdo","maximally harvested",6000,"increased","no increase",NA,0.6
2024,"region_9","galeocerdo","maximally harvested",15850,"increased","no increase",NA,0.6
2023,"region_9","galeorhinus","maximally harvested",3250,NA,"no increase",NA,NA
2019,"region_9","hoplopagrus","maximally harvested",79341.2,"decreased","no increase",NA,0.8
2020,"region_9","hoplopagrus","maximally harvested",44906.6,"decreased","no increase",NA,0.8
2021,"region_9","hoplopagrus","maximally harvested",43164.8,"similar","no increase",NA,0.7
2022,"region_9","hoplopagrus","maximally harvested",39882.7,"similar","no increase",NA,0.7
2023,"region_9","hoplopagrus","maximally harvested",42388,"similar","no increase",NA,0.7
2024,"region_9","hoplopagrus","maximally harvested",41917.4,"similar","no increase",NA,0.7
2019,"region_9","isurus","maximally harvested",37825,"increased","no increase",NA,0.6
2020,"region_9","isurus","maximally harvested",3150.4,"decreased","no increase",NA,0.8
2021,"region_9","isurus","maximally harvested",2465,"decreased","no increase",NA,0.8
2022,"region_9","isurus","maximally harvested",4204.1,"increased","no increase",NA,0.6
2023,"region_9","isurus","maximally harvested",1694,"decreased","no increase",NA,0.8
2024,"region_9","isurus","maximally harvested",1455,"similar","no increase",NA,0.7
2019,"region_9","lutjanus","maximally harvested",2710725.15,"decreased","no increase",NA,0.8
2020,"region_9","lutjanus","maximally harvested",1508459.1,"decreased","no increase",NA,0.8
2021,"region_9","lutjanus","maximally harvested",1029503.85,"decreased","no increase",NA,0.8
2022,"region_9","lutjanus","maximally harvested",1056133,"similar","no increase",NA,0.7
2023,"region_9","lutjanus","maximally harvested",961178,"similar","no increase",NA,0.7
2024,"region_9","lutjanus","maximally harvested",1080695.23,"similar","no increase",NA,0.7
2019,"region_9","macrobrachium","unclear",55135,"decreased",NA,NA,NA
2020,"region_9","macrobrachium","unclear",121984,"increased",NA,NA,NA
2021,"region_9","macrobrachium","unclear",178990,"increased",NA,NA,NA
2022,"region_9","macrobrachium","unclear",27600,"decreased",NA,NA,NA
2023,"region_9","macrobrachium","unclear",20000,"decreased",NA,NA,NA
2024,"region_9","macrobrachium","unclear",12000,"decreased",NA,NA,NA
2019,"region_9","mugil","maximally harvested",277515.4,"decreased","no increase",NA,0.8
2020,"region_9","mugil","maximally harvested",154196.2,"decreased","no increase",NA,0.8
2021,"region_9","mugil","maximally harvested",89613,"decreased","no increase",NA,0.8
2022,"region_9","mugil","maximally harvested",94163.3,"similar","no increase",NA,0.7
2023,"region_9","mugil","maximally harvested",94786,"similar","no increase",NA,0.7
2024,"region_9","mugil","maximally harvested",81980,"similar","no increase",NA,0.7
2019,"region_9","mustelus","maximally harvested",610,"increased","no increase",NA,0.6
2020,"region_9","mustelus","maximally harvested",880,"increased","no increase",NA,0.6
2019,"region_9","nasolamia","maximally harvested",67056.25,"similar","no increase",NA,0.7
2020,"region_9","nasolamia","maximally harvested",32688.25,"decreased","no increase",NA,0.8
2021,"region_9","nasolamia","maximally harvested",49642.5,"increased","no increase",NA,0.6
2022,"region_9","nasolamia","maximally harvested",23594.5,"decreased","no increase",NA,0.8
2023,"region_9","nasolamia","maximally harvested",24404,"similar","no increase",NA,0.7
2024,"region_9","nasolamia","maximally harvested",20663.75,"similar","no increase",NA,0.7
2019,"region_9","negaprion","maximally harvested",54062.5,"increased","no increase",NA,0.6
2022,"region_9","negaprion","maximally harvested",1100,"decreased","no increase",NA,0.8
2023,"region_9","negaprion","maximally harvested",2530,"increased","no increase",NA,0.6
2019,"region_9","panulirus","maximally harvested",66443,"increased","no increase","Nayarit has development potential, but went with the average",0.6
2020,"region_9","panulirus","maximally harvested",9836,"decreased","no increase","Nayarit has development potential, but went with the average",0.8
2021,"region_9","panulirus","maximally harvested",2826,"decreased","no increase","Nayarit has development potential, but went with the average",0.8
2022,"region_9","panulirus","maximally harvested",4452,"increased","no increase","Nayarit has development potential, but went with the average",0.6
2023,"region_9","panulirus","maximally harvested",5188,"similar","no increase","Nayarit has development potential, but went with the average",0.7
2024,"region_9","panulirus","maximally harvested",3343,"decreased","no increase","Nayarit has development potential, but went with the average",0.8
2019,"region_9","paralabrax",NA,4321,"decreased",NA,NA,NA
2020,"region_9","paralabrax",NA,932.8,"decreased",NA,NA,NA
2021,"region_9","paralabrax",NA,6569.1,"increased",NA,NA,NA
2022,"region_9","paralabrax",NA,11817.5,"increased",NA,NA,NA
2023,"region_9","paralabrax",NA,13961,"similar",NA,NA,NA
2024,"region_9","paralabrax",NA,2715,"decreased",NA,NA,NA
2019,"region_9","prionace","maximally harvested",307060,"increased","no increase",NA,0.6
2020,"region_9","prionace","maximally harvested",77423.25,"decreased","no increase",NA,0.8
2021,"region_9","prionace","maximally harvested",64396.9,"similar","no increase",NA,0.7
2022,"region_9","prionace","maximally harvested",40643.7,"decreased","no increase",NA,0.8
2023,"region_9","prionace","maximally harvested",75719,"increased","no increase",NA,0.6
2024,"region_9","prionace","maximally harvested",90721.05,"similar","no increase",NA,0.7
2019,"region_9","rhizoprionodon","maximally harvested",268404.05,"similar","no increase",NA,0.7
2020,"region_9","rhizoprionodon","maximally harvested",266471.5,"similar","no increase",NA,0.7
2021,"region_9","rhizoprionodon","maximally harvested",224335.35,"similar","no increase",NA,0.7
2022,"region_9","rhizoprionodon","maximally harvested",343622.95,"increased","no increase",NA,0.6
2023,"region_9","rhizoprionodon","maximally harvested",2750,"decreased","no increase",NA,0.8
2024,"region_9","rhizoprionodon","maximally harvested",250,"decreased","no increase",NA,0.8
2019,"region_9","scomberomorus","maximally harvested",877920.9,"decreased","no increase",NA,0.8
2020,"region_9","scomberomorus","maximally harvested",645606,"decreased","no increase",NA,0.8
2021,"region_9","scomberomorus","maximally harvested",673214.6,"similar","no increase",NA,0.7
2022,"region_9","scomberomorus","maximally harvested",807451.6,"similar","no increase",NA,0.7
2023,"region_9","scomberomorus","maximally harvested",594367,"decreased","no increase",NA,0.8
2024,"region_9","scomberomorus","maximally harvested",580635.43,"similar","no increase",NA,0.7
2019,"region_9","sphoeroides","maximally harvested",24647.3,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2020,"region_9","sphoeroides","maximally harvested",26356.1,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2021,"region_9","sphoeroides","maximally harvested",43803.1,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2022,"region_9","sphoeroides","maximally harvested",34935.95,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2023,"region_9","sphoeroides","maximally harvested",26381,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2024,"region_9","sphoeroides","maximally harvested",47128.85,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2019,"region_9","sphyrna","maximally harvested",604578.8,"increased","no increase",NA,0.6
2020,"region_9","sphyrna","maximally harvested",104508,"decreased","no increase",NA,0.8
2021,"region_9","sphyrna","maximally harvested",101719,"similar","no increase",NA,0.7
2022,"region_9","sphyrna","maximally harvested",37639.05,"decreased","no increase",NA,0.8
2023,"region_9","sphyrna","maximally harvested",900,"decreased","no increase",NA,0.8
2024,"region_9","sphyrna","maximally harvested",17307.5,"increased","no increase",NA,0.6
2019,"region_9","thunnus","deteriorating",663255,"similar","no increase","recovery phase",0.5
2020,"region_9","thunnus","deteriorating",476791.8,"decreased","no increase","recovery phase",0.6
2021,"region_9","thunnus","deteriorating",473375.3,"similar","no increase","recovery phase",0.5
2022,"region_9","thunnus","deteriorating",369107.2,"decreased","no increase","recovery phase",0.6
2023,"region_9","thunnus","deteriorating",373319,"similar","no increase","recovery phase",0.5
2024,"region_9","thunnus","deteriorating",344214,"similar","no increase","recovery phase",0.5
