Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
68,ALMEJA,ALMEJA RAYA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RAYA,NA,NA,unknown,NA,NA,NA,ask Rick!!,low
69,ALMEJA,ALMEJA REINA DE CULTIVO,DE CULTIVO,NA,NA,NA,NA,ALMEJA REINA,NA,NA,Chocolate clam (red),Megapitaria aurantiaca,Megapitaria,Veneridae,dataMares; ask Rick!!,medium
70,ALMEJA,ALMEJA ROJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA ROJA,NA,NA,Chocolate clam (red),Megapitaria aurantiaca,Megapitaria,Veneridae,dataMares; ask Rick!!,medium
71,ALMEJA,ALMEJA ROJA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA ROJA,NA,NA,Chocolate clam (red),Megapitaria aurantiaca,Megapitaria,Veneridae,dataMares; ask Rick!!,medium
72,ALMEJA,ALMEJA ROJA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA ROJA C.,NA,NA,Chocolate clam (red),Megapitaria aurantiaca,Megapitaria,Veneridae,dataMares; ask Rick!!,medium
73,ALMEJA,ALMEJA RONOSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA,NA,NA,Frilled venus clam,Chione undatella,Chione,Veneridae,ask Rick!!,medium
74,ALMEJA,ALMEJA RONOSA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA RONOSA,NA,NA,Frilled venus clam,Chione undatella,Chione,Veneridae,ask Rick!!,medium
75,ALMEJA,ALMEJA RONOSA / ARROCERA CHIRLA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA / ARROCERA CHIRLA,NA,NA,Frilled venus clam,Chione undatella,Chione,Veneridae,ask Rick!!,medium
76,ALMEJA,ALMEJA RONOSA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA RONOSA C.,NA,NA,Frilled venus clam,Chione undatella,Chione,Veneridae,ask Rick!!,medium
77,ALMEJA,ALMEJA RONOSA CHINA,NA,NA,NA,NA,NA,ALMEJA RONOSA CHINA,NA,NA,China venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,medium
78,ALMEJA,ALMEJA RONOSA CHINA ENT. FCA,ENT.,FCA,NA,NA,NA,ALMEJA RONOSA CHINA,NA,NA,China venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,medium
79,ALMEJA,ALMEJA RONOSA CHINA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA CHINA,NA,NA,China venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,medium
80,ALMEJA,ALMEJA RONOSA NEGRA ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA RONOSA NEGRA,NA,NA,Black venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,low
81,ALMEJA,ALMEJA RONOSA NEGRA,NA,NA,NA,NA,NA,ALMEJA RONOSA NEGRA,NA,NA,Black venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,low
82,ALMEJA,ALMEJA RONOSA NEGRA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA NEGRA,NA,NA,Black venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,low
83,ALMEJA,ALMEJA RONOSA NEGRA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA RONOSA NEGRA C.,NA,NA,Black venus clam,Chionopsis gnidia,Chionopsis,Veneridae,ask Rick!!,low
