"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"TIBURON","TIBURON MARTILLO",NA,"Sphyrna","Sphyrnidae","hammerhead shark; unable to specify species","high","ALETA, DESV, DESV., ENT, ENT., SECA DE, FCO, DESC, FCO., DESC."
"TIBURON","TIBURON MARTILLO (SPHYRNA LEWINI)","Sphyrna lewini","Sphyrna","Sphyrnidae","taxize","high","ALETA, DESV, DESV., ENT, ENT., FILETE, SECA DE, FCO, DESC, FCO., DESC."
"TIBURON","TIBURON MARTILLO (SPHYRNA MOKARRAN)","Sphyrna mokarran","Sphyrna","Sphyrnidae","taxize","high","ALETA, DESV., ENT., SECA DE, FCO., DESC."
"TIBURON","TIBURON PICUDO (CARCHARHINUS BREVIPINNA)","Carcharhinus brevipinna","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., DESC., FCO."
"TIBURON","TIBURON PIEL DE",NA,NA,NA,"shark; unable to specify species, genus, or family","high","FCA."
"TIBURON","TIBURON PRIETO (CARCHARHINUS OBSCURUS)","Carcharhinus obscurus","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON SEDOSO","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON SULFIN","Galeorhinus galeus","Galeorhinus","Triakidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON TIGRE","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","dataMares; logical match to taxize; supported by additional online sources","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON TIGRE (GALEOCERDO CUVIER)","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON TORO","Carcharhinus leucas","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON VOLADOR","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","dataMares; logical match to taxize; supported by additional online sources","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON VOLADOR (CARCAHRHINUS LIMBATUS)","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON VOLADOR (CARCHARHINUS LIMBATUS)","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON (CARCHARHINUS LIMBATUS)","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
