"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"OTRAS",NA,"escochin","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Triggerfish?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"espadin","Clupanodon phalerica","Clupanodon",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Japanese gizzard shad","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"estrella mar","unknown",NA,NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups","Sea stars; likely ornamental harvest","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"galleta mar","unknown","Dendraster",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups","Sand dollar; likely ornamental harvest","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"gallineta","Helicolenus dactylopterus","Helicolenus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Blackbelly rosefish, looks like a rockfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"guacamaya","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","A rainbow parrotfish?","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"hacha china","Atrina maura","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Pinna, callo de hacha","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"hacha larga","Pinna rugosa","Pinna",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Rough pen shell","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"indio","Paranthias furcifer","Paranthias",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Creole fish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"isabelita","Chaetodipterus faber¬†","Chaetodipterus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Atlantic spadefish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"jopaton","Microlepidotus inornatus","Microlepidotus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","California croaker / grunt","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"jordan","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","My gut tells me sort of fish","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"juez","Bathystoma rimator","Bathystoma",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","grunt","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"lacha","Brevoortia pectinata","Brevoortia",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Gulf menhaden","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"lagartija","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Looks like a lizardfish","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"lagarto","Synodus foetens","Synodus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Inshore lizardfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"loro jabonero","Nicholsina usta","Nicholsina",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Emerald parrotfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"machete","Ethmidium maculatum","Ethmidium",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Pacific menhaden","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"madre perla","unknown",NA,NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Mother of pearl, possibly oyster","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","YES"
"OTRAS",NA,"marlin azul","Makaira ampla","Makaira",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Atlantic blue marlin","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"marlin blanco","Tetrapturus albidus","Tetrapturus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","White marlin","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"marlin negro","Makaira indica","Makaira",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Black marlin","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"marlin rayado","Tetrapturus audax","Tetrapturus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Striped marlin","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"matagatos","Brycon falcatus","Brycon",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","small ray-finned freshwater fish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"matajuelo","Holocentrus ascensionis","Holocentrus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Squirrelfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"mataperro","Sphoeriodes testudinaeus","Sphoeriodes",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Checkered puffer","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"maula","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a fish?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"medusa bola ca√±on","Stomolophus meleagris","Stomolophus",NA,"Jellies","Assigned_Manually: OTRAS treated differently than other major groups","Jellyfish!","high confidence","manual entry; extremely high confidence","manual entry","NO"
"OTRAS",NA,"medusa bola caÔøΩon","Stomolophus meleagris","Stomolophus",NA,"Jellies","Assigned_Manually: OTRAS treated differently than other major groups","Jellyfish!","high confidence","manual entry; extremely high confidence","manual entry","NO"
"OTRAS",NA,"naca","Dormitator maculatus","Dormitator",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Fat sleeper, cute freshwater fish","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"nacar","unknown",NA,NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Mother of pearl, possibly oyster","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"nacar callo","unknown","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","I think this is suggesting nacar from Callo de Hacha","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"nacar medias perlas cultivadas","Pinctada mazatlanica","Pinctada",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Pearl oysters","high confidence","manual entry; extremely high confidence","manual entry","YES"
"OTRAS",NA,"nacar perlas cultivadas","Pinctada mazatlanica","Pinctada",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Pearl oysters","high confidence","manual entry; extremely high confidence","manual entry","YES"
"OTRAS",NA,"negrillo","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Probably a grouper","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"orihuelos","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a fish?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"otras especies agua marina sin registro oficial","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"otras especies sin registro oficial","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"pata cabra","unknown",NA,NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of intertidal invertebrate?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"peje lagarto","Lepidoseus viridis","Lepidoseus",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Possibly a freshwater gar?","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"perca","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","A surf perch?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"pescadilla","Merluccius productus","Merluccius",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Pacific hake","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"pez globo","unknown","Arothron",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Arothron according to Hem's key","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","POSSIBLY"
"OTRAS",NA,"pez mar","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","Generic marine fish category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"pez peine","Pristis pectinata¬†","Pristis",NA,"Sharks","Assigned_Manually: OTRAS treated differently than other major groups","Smalltooth sawfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"pez se√±orita","Albula vulpes","Albula",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bonefish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"pez volador","Oxyporhamphus micropterus","Oxyporhamphus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Shortfin flyingfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"picua corsaria","Sphyraena barracuda","Sphyraena",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Great barracuda","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"pistola","Fistularia petimba","Fistularia",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Red cornetfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"plantas acuaticas","unknown",NA,NA,"Marine algae","Assigned_Manually: OTRAS treated differently than other major groups","Plants or algae of some sort","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"pollo","Helicolenus dactylopterus","Helicolenus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Blackbelly rosefish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"rana","unknown",NA,NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups","Frogs!","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"rana leopardo","Rana brownorum","Rana",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups","Brown’s frog","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"rana toro","Rana catesbeiana¬†","Rana",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups","American bullfrog","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"ratina","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a fish perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS",NA,"ripio","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"roca se","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a shellfish perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS",NA,"sanducha","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… A shelfish of some sort?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"sargo","Diplodus sargus","Diplodus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","White seabream","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"serrano","Alphestes galapagensis","Alphestes",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Galapagos rockcod","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"soldadito","Bellator militaris","Bellator",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Horned sea robin","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"tambor","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of drum","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"tolete","unknown",NA,NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Looks like this is probably a barracuda","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"tomate","Actinia equina","Actinia",NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups","Beadlet sea anemone","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"tonzac","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a shellfish perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS",NA,"topote","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Mollies; freshwater; likely ornamental","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"topote del pac√≠fico","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Likely freshwater","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"topuche","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… A shelfish of some sort?","not applicable","no data in keys","manual entry","NO"
"PECES DE ORNATO",NA,"angel","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Angel fish, pressumably freshwater but not totally clear; ask an expert","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"barbo","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater bard (small) fish","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"barbo tigre","Sumatrano","Sumatrano",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater bard (small) fish","virtually certain","name was recorded in CONAPESCA","genus derived from known species","YES"
"PECES DE ORNATO",NA,"beta","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Beta fish","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"cebra rayada","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Zabra danio small fish","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"espada","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Swordtail minnow","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"especies ornato","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"guppy","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","freshwater guppy","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"molly","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","freshwater molly","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"peces ornato","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"tetra buenos aires","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","freshwater tetra","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"tetra ping√ºino","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","freshwater tetra","not applicable","no data in keys","genus unknown","YES"
"PECES DE ORNATO",NA,"tetra rojo","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","freshwater tetra","not applicable","no data in keys","genus unknown","YES"
