"year","OHI_Region_No","Major_Functional_Group","Total_Biomass_kg","Total_Days","OLD_mean_CPUE.recent","NEW_mean_CPUE.recent","Total_Value_mxn","n_records"
2022,"Region_5","Molluscs excl. Cephalopods",7714251,2331,3599.59905342998,3309.41698841699,68924453,1557
2022,"Region_5","Pelagic marine fishes",3675636.63,1234,3386.37689744102,2978.63584278768,64202191,477
2022,"Region_5","Sharks",607468.5,2649,401.14026388396,229.31993204983,10143170,361
2022,"Region_5","Shrimps, prawns",2070847.8,9706,332.285325144633,213.35749021224,213814350,947
2022,"Region_5",NA,50698536,8386,9560.28298185631,6045.61602671119,159687785.6,2155
2022,"Region_6","Cephalopods",119277.8,685,160.749386724387,174.128175182482,12059338,198
2022,"Region_6","Crustaceans",1559078,1656,1043.99150272285,941.472222222222,55646628.4,604
2022,"Region_6","Demersal marine fishes",3093157.95,12843,273.365619916668,240.843879934595,93154139,4077
2022,"Region_6","Marine fishes NEI",10690,71,172.521739130435,150.56338028169,356550,23
2022,"Region_6","Molluscs excl. Cephalopods",3288171,2205,2484.50449205238,1491.23401360544,45116914.08,977
2022,"Region_6","Pelagic marine fishes",565891.5,1153,564.531543848493,490.79921942758,14822369,354
2022,"Region_6","Sharks",868055.9,1602,630.355023547881,541.857615480649,13948742,546
2022,"Region_6","Shrimps, prawns",693696.2,1209,644.063300244751,573.776840363937,66870290,215
2022,"Region_6",NA,455052,922,434.014002267574,493.548806941432,26989184,294
2022,"Region_7","Cephalopods",203913.4,822,247.998177655678,248.069829683698,8883857,260
2022,"Region_7","Crustaceans",4541731.2,6648,882.415795875696,683.172563176895,139341772.38,3058
2022,"Region_7","Demersal marine fishes",4287163.9,11601,410.508035523382,369.551236962331,93262851,4102
2022,"Region_7","Marine fishes NEI",62129,217,331.827203647416,286.308755760369,689632,94
2022,"Region_7","Molluscs excl. Cephalopods",10719744,4394,3566.12820662484,2439.6322257624,93059739.71,1780
2022,"Region_7","Pelagic marine fishes",574061248.42,14114,49874.0341056017,40673.1790009919,1141104574.09,4598
2022,"Region_7","Sharks",1128665.8,1006,1873.06816236475,1121.93419483101,9904496,316
2022,"Region_7","Shrimps, prawns",5953620.6,25961,623.235951478693,229.329401795,607383943.63,3669
2022,"Region_7",NA,5496948.9,2844,3981.44792747825,1932.82310126582,47613138,1127
2022,"Region_8","Cephalopods",566793.25,4311,218.702096137554,131.476049640455,19970535,695
2022,"Region_8","Crustaceans",14444543,27017,687.496838340248,534.646444831032,501709168.51,9312
2022,"Region_8","Demersal marine fishes",12626048.99,189722,218.576844740481,66.5502629637048,430326288.64,23026
2022,"Region_8","Diadromous fishes",366815,1016,520.826256048478,361.038385826772,3888760,351
2022,"Region_8","Marine fishes NEI",690611.65,12085,218.141381223535,57.1461853537443,13935120,1554
2022,"Region_8","Molluscs excl. Cephalopods",6071976,10985,1147.6418690981,552.751570323168,125857054.24,3206
2022,"Region_8","Other marine invertebrates",14614,17,888,859.647058823529,693210,9
