"year","Major_Functional_Group","estimated_genus_name","estimated_family_name","OHI_region_est","total_weight_mt","total_value_peso","Stock_Status_RAM","Stock_Status_Carta","Stock_Status_CMSY","Carta_provenance","RAM_provenance","Stock_Status_RAM_capped","Stock_Status_Carta_capped","Stock_Status_CMSY_capped","StockStatus_final","StockStatus_source","StockStatus_est.level"
2000,NA,"caulolatilus",NA,"region_5",0.55,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","cynoscion","Sciaenidae","region_5",178.3082,1018784,NA,NA,0.91859355234039,NA,NA,NA,NA,0.91859355234039,0.91859355234039,"CMSY","genus level"
2000,NA,"dosidicus",NA,"region_5",1.65,5690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"gnathanodon",NA,"region_5",0.141,987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","hypanus","Dasyatidae","region_5",287.5176,1438774,NA,NA,1.50207408977457,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","hyporthodus","Serranidae","region_5",0.926,6330,NA,NA,0.241225531793201,NA,NA,NA,NA,0.241225531793201,0.241225531793201,"CMSY","genus level"
2000,NA,"litopenaeus",NA,"region_5",10.6384,963870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","lutjanus","Lutjanidae","region_5",0.3,2100,NA,NA,0.276158335888432,NA,NA,NA,NA,0.276158335888432,0.276158335888432,"CMSY","genus level"
2000,"Demersal marine fishes","menticirrhus","Sciaenidae","region_5",0.617,2145,NA,NA,0.606834971698258,NA,NA,NA,NA,0.606834971698258,0.606834971698258,"CMSY","genus level"
2000,"Demersal marine fishes","merluccius","Merlucciidae","region_5",25.56,177450,NA,NA,1.30048223377563,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","micropogonias","Sciaenidae","region_5",447.33,1740744,NA,NA,0.599417163670138,NA,NA,NA,NA,0.599417163670138,0.599417163670138,"CMSY","genus level"
2000,"Demersal marine fishes","mobula","Myliobatidae","region_5",64.252,246416,NA,NA,1.65746946072802,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","mugil","Mugilidae","region_5",25.678,176890,NA,NA,0.475338536786613,NA,NA,NA,NA,0.475338536786613,0.475338536786613,"CMSY","genus level"
2000,"Sharks","mustelus","Triakidae","region_5",0.3975,3180,NA,NA,1.18159130209799,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"nei",NA,"region_5",3613.633,28800982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","paralabrax","Serranidae","region_5",5.384,38679,NA,NA,0.279573678369408,NA,NA,NA,NA,0.279573678369408,0.279573678369408,"CMSY","genus level"
2000,NA,"penaeus",NA,"region_5",2320.8352,168876086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","pseudobatos","Rhinobatidae","region_5",252.99025,1771265,NA,NA,1.67669372944218,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"rimapenaeus",NA,"region_5",13.511,173103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"sardinops",NA,"region_5",119.90108,103363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
