"recorded_taxa_group","common_name_clean","estimated_species_name.x","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_taxa_group","estimated_species_name.y","Manual_Classification_Notes","ornamentalFLAG_1","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group"
"OTRAS","pescadilla","Merluccius productus","high confidence","match to Hem's key","Merluccius","genus derived from known species",NA,"Merluccius productus","Pacific hake","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","acocil","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"Cambarellus montezumae","Freshwater crayfish","NO",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","espadin","Clupanodon phalerica","high confidence","match to Hem's key","Clupanodon","genus derived from known species",NA,"Clupanodon phalerica","Japanese gizzard shad","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","criollo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… not enough information to know?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","picua corsaria","Sphyraena barracuda","high confidence","match to Hem's key","Sphyraena","genus derived from known species",NA,"Sphyraena barracuda","Great barracuda","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","ripio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","medusa bola ca√±on","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"Stomolophus meleagris","Jellyfish!","NO",NA,"Jellies","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","madre perla","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Mother of pearl, possibly oyster","YES",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","arbolito","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… an algae perhaps?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","burriquete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Some sort of porgy or grunt…","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","agujilla","Belone belone","high confidence","match to Hem's key","Belone","genus derived from known species",NA,"Belone belone","European garfish","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","armado","Orthopristis chrisopterus","high confidence","match to Hem's key","Orthopristis","genus derived from known species",NA,"Orthopristis chrisopterus","Porkfish / Sailfin grunt","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","chencay","Hemirhamphus brasiliensis","high confidence","match to Hem's key","Hemirhamphus","genus derived from known species",NA,"Hemirhamphus brasiliensis","Brazilian halfbeak","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","coral","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Coral; likely ornamental?","POSSIBLY",NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","lagartija","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Looks like a lizardfish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","tomate","Actinia equina","high confidence","match to Hem's key","Actinia","genus derived from known species",NA,"Actinia equina","Beadlet sea anemone","POSSIBLY",NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","jopaton","Microlepidotus inornatus","high confidence","match to Hem's key","Microlepidotus","genus derived from known species",NA,"Microlepidotus inornatus","California croaker / grunt","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","boca novia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Some sort of drum or croaker","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","matajuelo","Holocentrus ascensionis","high confidence","match to Hem's key","Holocentrus","genus derived from known species",NA,"Holocentrus ascensionis","Squirrelfish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","ala angel","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I am assuming from context this is an angel fish","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","chicharro","Selar crumenophthalmus","high confidence","match to Hem's key","Selar","genus derived from known species",NA,"Selar crumenophthalmus","Bigeye scad","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","abogado","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… ?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","bolin","Cyprinodon variegatus variegatus","high confidence","match to Hem's key","Cyprinodon","genus derived from known species",NA,"Cyprinodon variegatus variegatus","Sheepshead minnow","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
