"state","landing_site","inside_GOC","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"BAJA CALIFORNIA SUR","LAGUNA ESCONDIDA","no",NA,26.8255,-113.4079,NA,NA,NA,26.8255,-113.4079,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA SUR","NO TIENE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL FISGADERO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","LAS PALOMAS","yes",NA,31.4511086111111,-116.260101666667,"high confidence",31.4511086111111,-116.260101666667,30.9903,-114.8155,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","ISLA SAN ROQUE","no",NA,27.1478,-114.3918,NA,NA,NA,27.1478,-114.3918,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA SUR","PUNTA AMARILLA (O SANTA ROSA)","yes",NA,23.3,-109.9,NA,NA,NA,23.3,-109.9,"Baja_California_Sur_South",NA
"SINALOA","AVIACION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","MAICULIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","PUNTA SAN JASINTO","no",NA,30.9227,-116.2132,NA,NA,NA,30.9227,-116.2132,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","PUERTO DATIL","no",NA,24.4051272222222,-111.521190555556,"high confidence",24.4051272222222,-111.521190555556,24.3721,-111.4977,"Baja_California_Sur_South",NA
"SINALOA","EL TETUAN",NA,NA,24.6227821,-107.9054828,"high confidence",24.6227821,-107.9054828,NA,NA,NA,NA
"SINALOA","DISTRITO DE RIEGO NUMERO 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PRESA EL MOLINITO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","RANCHO VIEJO (POTREROS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","EL HORCONCITO","no",NA,25.5203,-112.0781,NA,NA,NA,25.5203,-112.0781,"Baja_California_Sur_South",NA
