"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"ALMEJA","ALMEJA",NA,NA,"Megapitaria","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BONITO","BONITO",NA,NA,"Sarda","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Etrumeus",NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eugerres","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RONCO","RONCO",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ABULON","ABULON",NA,NA,"Haliotis","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MERO","CABRILLA",NA,NA,"Mycteroperca","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,"Hyporthodus niphobles","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Balistes","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ANCHOVETA","ANCHOVETA",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Ginglymostoma","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Aetobatus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
