group,common_name,scientific_name,status,control,range,OHI_region,carta_year,notes
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,NA,NA,no,region_5,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,NA,NA,no,region_6,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,NA,NA,no,region_7,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_8,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_9,2023,"Within region variation in status, took most conservative"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_1,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_2,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_3,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_4,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_5,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_6,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_7,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_8,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, arrocera, chirla",Chione californianensis,maximally harvested,no increase,yes,region_9,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_1,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_2,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_3,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_4,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_5,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_6,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_7,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_8,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,Almeja roñosa,Chione undatella,maximally harvested,no increase,yes,region_9,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_1,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_2,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_3,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_4,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_5,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_6,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_7,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_8,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, negra",Chionista fluctifraga,maximally harvested,no increase,yes,region_9,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_1,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_2,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_3,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_4,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_5,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_6,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_7,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_8,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
clam,"Almeja roñosa, china",Chionopsis gnidia ,maximally harvested,no increase,yes,region_9,2023,"Sonora was undetermined, but decided to go with the value of surrounding regions"
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,NA,NA,no,region_1,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,NA,NA,no,region_2,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_3,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_4,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_5,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_6,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_7,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_8,2023,Seems they might lump these Botetes into one species?
botete,"Botete, botete diana, tambor and tamborillo",Sphoeroides annulatus,maximally harvested,no increase,yes,region_9,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,NA,NA,no,region_1,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,NA,NA,no,region_2,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_3,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_4,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_5,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_6,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_7,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_8,2023,Seems they might lump these Botetes into one species?
botete,Botete narizón,Sphoeroides lobatus ,maximally harvested,no increase,yes,region_9,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,NA,NA,no,region_1,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,NA,NA,no,region_2,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_3,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_4,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_5,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_6,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_7,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_8,2023,Seems they might lump these Botetes into one species?
botete,Botete peruano,Sphoeroides sechurae,maximally harvested,no increase,yes,region_9,2023,Seems they might lump these Botetes into one species?
scallop,"Hacha larga, callo redondo",Pinna rugosa,maximally harvested,no increase,yes,region_1,2023,
scallop,"Hacha larga, callo redondo",Pinna rugosa,maximally harvested,no increase,yes,region_2,2023,
scallop,"Hacha larga, callo redondo",Pinna rugosa,maximally harvested,no increase,yes,region_3,2023,
scallop,"Hacha larga, callo redondo",Pinna rugosa,maximally harvested,no increase,yes,region_4,2023,
