"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","MERO","hyporthodus","hyporthodus niphobles","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",5470
"demersal marine fishes","MERO","mycteroperca","mycteroperca xenarcha","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2539
"demersal marine fishes","MERO","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1673
"demersal marine fishes","MERO",NA,"unknown","BAJA CALIFORNIA SUR, SONORA",3
"demersal marine fishes","MOJARRA","anisotremus","anisotremus davidsonii","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",48
"demersal marine fishes","MOJARRA","calamus","calamus brachysomus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",3108
"demersal marine fishes","MOJARRA","diapterus","diapterus peruvianus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2576
"demersal marine fishes","MOJARRA","eucinostomus","eucinostomus","NAYARIT, SINALOA",2
"demersal marine fishes","MOJARRA","eucinostomus","eucinostomus argenteus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",17892
"demersal marine fishes","MOJARRA","eucinostomus","eucinostomus currani","SINALOA",2
"demersal marine fishes","MOJARRA","eucinostomus","eucinostomus gracilis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",232
"demersal marine fishes","MOJARRA","eugerres","eugerres axillaris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",19
"demersal marine fishes","MOJARRA","eugerres","eugerres lineatus","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",7795
"demersal marine fishes","MOJARRA","haemulon","haemulon scudderii","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",223
"demersal marine fishes","OTRAS","acanthurus","acanthurus xanthopterus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",1967
"demersal marine fishes","OTRAS","albula","albula vulpes","BAJA CALIFORNIA",1
"demersal marine fishes","OTRAS","alphestes","alphestes galapagensis","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",28
"demersal marine fishes","OTRAS","aluterus","aluterus scriptus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",95
"demersal marine fishes","OTRAS","anisotremus","anisotremus interruptus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",10730
"demersal marine fishes","OTRAS","anoplopoma","anoplopoma fimbria","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1232
"demersal marine fishes","OTRAS","bagre","bagre pinnimaculatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",78
"demersal marine fishes","OTRAS","bairdiella","bairdiella ronchus","SONORA",3
"demersal marine fishes","OTRAS","balistes","balistes polylepis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",62329
"demersal marine fishes","OTRAS","bathygobius","bathygobius ramosus","BAJA CALIFORNIA SUR",33
"demersal marine fishes","OTRAS","bathygobius","bathygobius soporator","BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",22
"demersal marine fishes","OTRAS","bathystoma","bathystoma rimator","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",32
"demersal marine fishes","OTRAS","bellator","bellator militaris","SINALOA",1
"demersal marine fishes","OTRAS","calamus","calamus arctifrons","NAYARIT",1
"demersal marine fishes","OTRAS","caulolatilus","caulolatilus affinis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",8698
"demersal marine fishes","OTRAS","centropomus","centropomus medius","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",4995
"demersal marine fishes","OTRAS","centropomus","centropomus robalito","BAJA CALIFORNIA SUR",1
