"year","OHI_region_no","LE_score","CW_score","AO_score","FP_score","NP_score","BD_score","SP_score","TR_score","HS_score","Index_score"
2021,"region_4",NA,94.558711522252,82.5112348308719,70.111288970621,50.3053388074587,75.4484288047316,74.068384657545,61.5399004482142,83.4873986200777,74.0038358327215
2021,"region_5",NA,89.9031860656404,67.2311781131699,74.9947433440428,20.7448784531822,65.8552479406596,64.0947278911565,61.8020653184111,84.502625821479,66.1410816184677
2021,"region_6",NA,87.0715343617163,74.2735855633902,33.89689993403,35.4154888115944,77.4005048751553,73.8561904761905,69.0889894687636,80.4924938424676,66.4369609166635
2021,"region_7",NA,79.0863173275056,72.0918601814823,80.7460753058621,61.6414489510309,75.0786351539858,74.4173992673993,72.7460002849984,80.3066067670677,74.5142929049165
2021,"region_8",NA,63.7729164719064,80.5578676080028,74.6393873154657,60.2578268370594,64.6325027339014,73.6189743589744,77.0154029145188,74.877743960349,71.1715777750222
2021,"region_9",NA,76.0615251689007,91.4045432070384,62.4950771017474,70.3487590964913,67.7401813815114,75.3320243531202,63.9608145243641,83.8229443553642,73.8957336485672
2021,NA,NA,NA,87.0049427648276,NA,NA,NA,NA,NA,NA,87.0049427648276
2022,"region_1",NA,77.6916268747847,73.9482206965805,62.9200546939025,63.7728369421252,77.5861370291699,62.1714285714286,49.7700359124813,99.5962172379675,70.932069744805
2022,"region_2",NA,96.2389921949722,86.1447971273154,92.1205112158334,43.4756231681263,75.6070417572939,73.8631677350427,74.8187435342077,99.9534470104944,80.2777904679107
2022,"region_3",NA,97.2151337613273,71.1082986558081,71.0133060749113,66.8604979852793,76.3865776946142,76.4112103174603,69.5780271479431,99.6938435771734,78.5333619018146
2022,"region_4",NA,94.8640426992629,76.7323003048848,69.0660671723319,48.1485128811602,74.9323815750529,74.068384657545,65.1209228803341,83.4873986200777,73.3025013488312
2022,"region_5",NA,92.7973506117919,82.0381497499164,78.1895293750795,21.5620531602629,68.5233272655189,64.0947278911565,63.395504773991,84.502625821479,69.3879085811495
2022,"region_6",NA,91.3269902425835,77.2988355700514,34.6354957628002,54.1913947765251,79.3928177437833,73.8561904761905,73.83511916411,80.4924938424676,70.6286671973139
