"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"CAZON","CAZON",NA,FALSE,"cazon","Tiburon","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Carcharhinus brachyurus","Rhizoprionodon longurio","Carcharhinus falciformis","Carcharhinus limbatus","Carcharhinus porosus","Nasolamia velox","Sphyrna tiburo","Squalus acanthias","Galeorhinus galeus","Mustelus californicus","Mustelus henlei","Mustelus lunulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,FALSE,"lenguado","Escama","Paralichthys spp","Genus","NEI","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TRIPA",NA,FALSE,"tripa","Tiburon","Mustelus albipinnis","Species","Mustelus albipinnis","Mustelus","Triakidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Mustelus californicus","Mustelus dorsalis","Mustelus henlei","Mustelus lunulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,FALSE,"corvina","Escama","Cynoscion acoupa","Species","Cynoscion acoupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Argyrosomus regius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CALLO HACHA",NA,FALSE,"callo hacha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA (PANULIRUS ARGUS)","Panulirus argus",TRUE,"langosta","Langosta","Panulirus spp","Genus","NEI","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON ESTERO",NA,FALSE,"camaron estero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALAMAR","CALAMAR GIGANTE",NA,FALSE,"calamar gigante","Calamar","Dosidicus gigas","Species","Dosidicus gigas","Dosidicus","Ommastrephidae","Oegopsida","Cephalopoda","Cephalopods","Dosidicus gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BOTETE",NA,FALSE,"botete","Escama","Sphoeroides andersonianus","Species","Sphoeroides andersonianus","Sphoeroides","Tetraodontidae","Tetraodontiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALMEJA","ALMEJA CATARINA",NA,FALSE,"almeja catarina","Almeja","Argopecten ventricosus","Species","Argopecten ventricosus","Argopecten","Pectinidae","Pectinida","Bivalvia","Molluscs excl. Cephalopods","Argopecten irradians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL CHINO",NA,FALSE,"caracol chino","Caracol","Hexaplex spp","Genus","NEI","Hexaplex","Muricidae","Neogastropoda","Gastropoda","Molluscs excl. Cephalopods","Phyllonothus brassica","Hexaplex princeps","Hexaplex radix","Phyllonotus brassica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
