landing_site,clave,subregion,long,lat,State,hand_added,
PARAISO CAMPO EL,206,4.0206,-114.8818,31.13,Baja California,no,
PARAJE DE CHENCHO PUNTA,95,4.0095,-114.258,29.7657,Baja California,no,
PARTIDA ISLA,33,4.0033,-113.031,28.87,Baja California,no,
PAULITO PUNTA,7,4.0007,-112.7949,28.0736,Baja California,no,
PEDREGAL EL,200,1.0199,-115.9618,30.4446,Baja California,no,
PERCEBÚ LAGUNA,172,4.0172,-114.6982,30.8065,Baja California,no,
PERCEBÚ RANCHO,178,4.0178,-114.7133,30.8406,Baja California,no,
PERICO PUERTO,171,1.017,-116.0729,30.8053,Baja California,no,
PERLA CAMPO,207,4.0207,-114.8761,31.134,Baja California,no,
PESCA DEPORTIVA MUELLE,80,1.008,-116.6271,31.8573,Baja California,no,
PESCADERO,154,1.0153,-116.3033,31.1043,Baja California,no,
PESCADOR CAMPO,198,4.0198,-114.8446,31.0765,Baja California,no,
PESCADOR ISLA EL,44,4.0044,-113.38,28.935,Baja California,no,
PESCADOR PUNTA EL,45,4.0045,-113.3828,28.9368,Baja California,no,
PESCADORES (BAH. GUADALUPE),71,4.0071,-113.6584,29.2154,Baja California,no,
PESQUERO JUAREZ CAMPO,281,1.028,-118.365,29.035,Baja California,no,
PESQUERO PUNTA AZUFRE,216,1.0215,-115.9875,30.3947,Baja California,no,
PIEDRA AHOGADA PUNTA LA,264,1.0263,-115.009,29.3837,Baja California,no,
PIEDRA CAMPO PUNTA,142,1.0141,-116.448,31.344,Baja California,no,
PIEDRA CENTRO PUNTA,250,1.0249,-115.559,29.668,Baja California,no,
PIEDRA DE ROSARITO ISLOTE,23,1.0023,-117.055,32.3295,Baja California,no,
PIEDRA DE SAN JOSÉ ISLOTE,266,1.0265,-114.898,29.2994,Baja California,no,
PIEDRA UNO PUNTA,59,1.0059,-116.886,32.049,Baja California,no,
PILÓN DE AZÚCAR ROCA,46,1.0046,-116.9419,32.2458,Baja California,no,
PINEDAS CAMPO,158,1.0157,-116.2574,30.9647,Baja California,no,
PIOJO ISLA EL,54,4.0054,-113.4683,29.0154,Baja California,no,
PLAYA LA,78,1.0078,-116.6713,31.8618,Baja California,no,
PLAYA,78,1.0078,-116.6713,31.8618,Baja California,yes,
PLAYA PATTY CLUB DE,180,4.018,-114.6922,30.8632,Baja California,no,
PLAYITA LA,197,1.0196,-116,30.4515,Baja California,no,
PLAYITAS LAS,141,1.014,-116.4619,31.345,Baja California,no,
PLAYÓN BAHÍA EL,109,1.0108,-116.7,31.708,Baja California,no,
PLAYÓN EL,213,1.0212,-115.9939,30.4026,Baja California,no,
PLAZA DEL MAR,55,1.0055,-116.886,32.102,Baja California,no,
POMO ISLA,112,4.0112,-114.3868,29.9975,Baja California,no,
POPOTLA,36,1.0036,-117.0333,32.2835,Baja California,no,
PORVENIR PLAYA,171,4.0171,-114.698,30.7716,Baja California,no,
PRIETA PUNTA,133,1.0132,-116.6186,31.4986,Baja California,no,
