"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","haemulopsis","haemulidae","demersal marine fishes","ronco","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","haliotis","haliotidae","molluscs excl. cephalopods","abulon","conapesca",TRUE,2000,2024,2015,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.1,NA,NA,"low","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","hexaplex","muricidae","molluscs excl. cephalopods","caracol","conapesca",TRUE,2000,2024,2018,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.4,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","hoplopagrus","lutjanidae","demersal marine fishes","pargo","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"low","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","hypanus","dasyatidae","demersal marine fishes","raya y similares","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.6,0.9,0.6,1,NA,NA,"low","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","hyporthodus","serranidae","demersal marine fishes","baqueta","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"medium","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","istiophorus","istiophoridae","pelagic marine fish (excl. anchovy & sardine)","otras","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","isurus","lamnidae","sharks","tiburon","conapesca",TRUE,2005,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,1,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","katsuwonus","scombridae","pelagic marine fish (excl. anchovy & sardine)","barrilete","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,"medium","best_guess_katsuwonus.pelamis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","lamna","lamnidae","demersal marine fishes","peto","conapesca",TRUE,2000,2024,2016,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.2,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","larimus","sciaenidae","demersal marine fishes","corvina","conapesca",TRUE,2005,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.3,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","litopenaeus","penaeidae","shrimps, prawns","camaron","conapesca",TRUE,2000,2022,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"high","sealifebase_penaeus californiensis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","lobatus","strombidae","molluscs excl. cephalopods","caracol","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","lutjanus","lutjanidae","demersal marine fishes","guachinango","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","megapitaria","veneridae","molluscs excl. cephalopods","almeja","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.3,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","menticirrhus","sciaenidae","demersal marine fishes","berrugata","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.2,0.4,0.01,0.3,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
