"state","office_name_clean","landing_site_clean","GoC","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source"
"BAJA CALIFORNIA","ENSENADA","LA PUERTA",NA,31.6803648342134,-116.441554571399,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","SAN QUINTIN","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"SINALOA","MAZATLAN","NO CONSIDERADO",NA,23.4941163147551,-106.379649136752,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","ENSENADA","NO CONSIDERADO",NA,31.6803648342134,-116.441554571399,"state_office","Hem's state.office key"
"SONORA","GUAYMAS","NO CONSIDERADO",NA,27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SONORA","HUATABAMPO","NO CONSIDERADO",NA,26.9777527919635,-109.501158823798,"state_office","Hem's state.office key"
"SINALOA","TOPOLOBAMPO","NO CONSIDERADO",NA,25.6153795297504,-109.024498822464,"state_office","Hem's state.office key"
"SONORA","PUERTO PENASCO","NO CONSIDERADO",NA,31.2062957681437,-112.840131163667,"state_office","Hem's state.office key"
"NAYARIT","SAN BLAS","NO CONSIDERADO",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key"
"OAXACA","SALINA CRUZ","NO CONSIDERADO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","NO CONSIDERADO",NA,25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"COLIMA","MANZANILLO","NO CONSIDERADO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","NO CONSIDERADO",NA,24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"CHIAPAS","PUERTO MADERO","NO CONSIDERADO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","NO CONSIDERADO",NA,23.9653019673961,-110.278865826857,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","SAN FELIPE","NO CONSIDERADO",NA,30.8232761927872,-114.850812713418,"state_office","Hem's state.office key"
"GUERRERO","ACAPULCO","NO CONSIDERADO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","NO CONSIDERADO",NA,27.2040245238095,-114.085745,"state_office","Hem's state.office key"
"SONORA","BAHIA KINO","NO CONSIDERADO",NA,28.8055591259102,-111.67893340009,"state_office","Hem's state.office key"
"JALISCO","BARRA NAVIDAD","NO CONSIDERADO",NA,19.6247611165671,-104.425651915947,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","NO CONSIDERADO",NA,26.8815999490356,-113.086286236894,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","NO CONSIDERADO",NA,23.2395885256897,-109.853521983522,"state_office","Hem's state.office key"
"NAYARIT","CRUZ HUANACAXTLE","NO CONSIDERADO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","NO CONSIDERADO",NA,27.6888812559524,-114.760228838492,"state_office","Hem's state.office key"
"SONORA","GOLFO SANTA CLARA","NO CONSIDERADO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","VILLA JESUS MARIA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"SONORA","PUERTO LIBERTAD","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,30.6902890130593,-111.717548023723,"state_office","Hem's state.office key"
"SONORA","GUAYMAS","PARAJE NUEVO",NA,27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SONORA","PUERTO PENASCO","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA","yes",27.3368683333333,-112.268274722222,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA","ENSENADA","SAN CARLOS","yes",31.7597009722222,-116.561796388889,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","SAN CARLOS","no",24.7661,-111.9669,"state_site","Mel's state.site key"
"OAXACA","SALINA CRUZ","PUERTO ANGEL",NA,NA,NA,NA,NA
"SINALOA","CULIACAN","CORTINA LA PRESA AURELIO VENANCINI",NA,24.132,-106.689,"state_site","Hem's state.site key"
"BAJA CALIFORNIA","SAN FELIPE","ISLA CEDROS","no",28.1331695311111,-115.201436955556,"state_site","Hem's state.site key"
"SONORA","BAHIA KINO","YAVAROS","yes",26.7034766666667,-109.520553194444,"state_site","Hem's state.site key"
