"Year","Major_Functional_Group","Stock","Total_Landed_Biomass","n_Records"
2005,"Demersal marine fishes","Lutjanus",2839644.55,8193
2005,"Demersal marine fishes","Menticirrhus",41516.9,170
2005,"Demersal marine fishes","Merluccius",1547778.1,217
2005,"Demersal marine fishes","Microlepidotus",265261.2,37
2005,"Demersal marine fishes","Micropogonias",3235747.4,2554
2005,"Demersal marine fishes","Mobula",1165986.85,956
2005,"Demersal marine fishes","Mugil",2112287.7,2187
2005,"Demersal marine fishes","Mustelus",149156.25,135
2005,"Demersal marine fishes","Mycteroperca",411911.5,1118
2005,"Demersal marine fishes","Nematistius",35,1
2005,"Demersal marine fishes","Nicholsina",1326.8,16
2005,"Demersal marine fishes","Orthopristis",16266,76
2005,"Demersal marine fishes","Paralabrax",594004.1,805
2005,"Demersal marine fishes","Paranthias",930,4
2005,"Demersal marine fishes","Parapsettus",18677,26
2005,"Demersal marine fishes","Prionace",15624.25,34
2005,"Demersal marine fishes","Pseudobatos",1029989.75,949
2005,"Demersal marine fishes","Pseudupeneus",20948,20
2005,"Demersal marine fishes","Scorpaena",19343.6,149
2005,"Demersal marine fishes","Sphoeroides",542301.4,1237
2005,"Demersal marine fishes","Sphyrna",19912.2,20
2005,"Demersal marine fishes","Squatina",587175.5,777
2005,"Demersal marine fishes","Stereolepis",573.1,2
2005,"Demersal marine fishes","Synodus",19744,174
2005,"Diadromous fishes","Chanos",9420.6,13
2005,"Marine algae","Gelidium",1010214,27
2005,"Marine fishes NEI","Epinephelus",16081.1,201
2005,"Miscellaneous aquatic animals","Mesocentrotus",67442,60
2005,"Miscellaneous aquatic animals","Strongylocentrotus",11513,13
2005,"Molluscs excl. Cephalopods","Argopecten",101214,67
2005,"Molluscs excl. Cephalopods","Dosinia",912716,124
2005,"Molluscs excl. Cephalopods","Haliotis",42210.02,32
2005,"Molluscs excl. Cephalopods","Hexaplex",5000,1
2005,"Molluscs excl. Cephalopods","Lobatus",3380,16
2005,"Molluscs excl. Cephalopods","Megapitaria",547041,317
2005,"Molluscs excl. Cephalopods","Megastraea",68286,24
2005,"Molluscs excl. Cephalopods","Panopea",1633.44,1
2005,"Pelagic marine fishes","Ablennes",495.3,16
2005,"Pelagic marine fishes","Caranx",58211.2,653
2005,"Pelagic marine fishes","Cetengraulis",47260735.24,346
2005,"Pelagic marine fishes","Coryphaena",116335.35,403
2005,"Pelagic marine fishes","Etrumeus",6829665.88,65
