"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"CAMARON",8947,17354,"SINALOA",15783502.57,90686166.57,97799613.9,10260483048.51,2280166311.4,8407,48,74902664,83,7980316737.11,78
"CANGREJO",2,NA,"SINALOA",421,NA,NA,NA,13660,NA,NA,NA,NA,NA,NA
"CARACOL",447,451,"SINALOA",337518,338654,404212,14315658,14190148,4,1,1136,0,125510,1
"CARPA",593,597,"SINALOA",357713,358967,393081.5,3305286,3307143,4,1,1254,0,-1857,0
"CAZON",679,680,"SINALOA",945019,945119,1056481.1,28808124,28806124,1,0,100,0,2000,0
"CHARAL",28,28,"SINALOA",17281,17281,17281,172315,172315,0,0,0,0,0,0
"CINTILLA",2,2,"SINALOA",180,180,180,1800,1800,0,0,0,0,0,0
"CORVINA",3106,3146,"SINALOA",2217464,2218827,2271002.7,49985898,51015132,40,1,1363,0,-1029234,-2
"DORADO",149,NA,"SINALOA",19778,NA,NA,NA,623244,NA,NA,NA,NA,NA,NA
"ESMEDREGAL",2,2,"SINALOA",95,95,95,1020,1020,0,0,0,0,0,0
"GUACHINANGO",1129,1132,"SINALOA",855701,856362,879100.05,46390438,46369228,3,0,661,0,21210,0
"JAIBA",7809,8132,"SINALOA",13231865,13253303,13437295,377294833.06,386311655.51,323,4,21438,0,-9016822.44999999,-2
"JUREL",197,127,"SINALOA",7141046,35023,36780.1,566392,25723742.92,-70,-55,-7106023,-20290,-25157350.92,-4442
"LANGOSTA",83,86,"SINALOA",21131,21386,17186,4051455,4005275,3,3,255,1,46180,1
"LANGOSTINO",39,41,"SINALOA",4709,5635,5635,1242940,1121300,2,5,926,16,121640,10
"LEBRANCHA",13,13,"SINALOA",16675,16675,16755,192152,192152,0,0,0,0,0,0
"LENGUADO",1699,1703,"SINALOA",1334906,1335350,1417062.5,34395769,34449160,4,0,444,0,-53391,0
"LISA",2398,2403,"SINALOA",1372807,1373207,1393927.75,17266903,17286867,5,0,400,0,-19964,0
"LOBINA",392,394,"SINALOA",86608,86958,95170.7,3902467,3886467,2,1,350,0,16000,0
"MARLIN",179,NA,"SINALOA",46436,NA,NA,NA,1034920,NA,NA,NA,NA,NA,NA
"MERO",69,68,"SINALOA",16364,16344,21266.9,699295,699435,-1,-1,-20,0,-140,0
"MOJARRA",3234,3773,"SINALOA",5438338,6501356,7341691.05,285532152.03,176631385.5,539,14,1063018,16,108900766.53,38
"OSTION",436,840,"SINALOA",399745,1166150,1375592,28548727.48,14986925,404,48,766405,66,13561802.48,48
"OTRAS",5742,6640,"SINALOA",2073019,9868479,11247594.87,103454230,44464896,898,14,7795460,79,58989334,57
"PAMPANO",568,568,"SINALOA",105938,105938,107723,1782514,1782514,0,0,0,0,0,0
"PARGO",3517,3533,"SINALOA",1013737,1014919,1058772.6,54454384.99,54584754.99,16,0,1182,0,-130370,0
"PEZ ESPADA",146,NA,"SINALOA",339723,NA,NA,NA,24818620,NA,NA,NA,NA,NA,NA
"PEZ GALLO",16,NA,"SINALOA",7875,NA,NA,NA,88665,NA,NA,NA,NA,NA,NA
"PEZ VELA",41,NA,"SINALOA",4573,NA,NA,NA,83350,NA,NA,NA,NA,NA,NA
"PIERNA",14,14,"SINALOA",9003,9003,9042.3,187480,187480,0,0,0,0,0,0
"PULPO",1,1,"SINALOA",20,20,20,4000,4000,0,0,0,0,0,0
"RAYA Y SIMILARES",478,478,"SINALOA",398938,398938,654668.5,9002006,9002006,0,0,0,0,0,0
"ROBALO",1330,1353,"SINALOA",466348,746940,763651.08,68862423,31381218,23,2,280592,38,37481205,54
"RONCO",281,295,"SINALOA",101525,102597,105134.7,1873399,1865427,14,5,1072,1,7972,0
"RUBIA Y VILLAJAIBA",18,18,"SINALOA",10903,10903,11906.1,160020,160020,0,0,0,0,0,0
"SABALO",396,NA,"SINALOA",329315,NA,NA,NA,4266308,NA,NA,NA,NA,NA,NA
"SARDINA",588,553,"SINALOA",77527662,72695701,84291999.56,284006463,271158778.95,-35,-6,-4831961,-7,12847684.05,5
"SIERRA",2991,2994,"SINALOA",2686206,2686799,2725548.12,69813679.58,69832829.54,3,0,593,0,-19149.9600000083,0
"TIBURON",2706,2710,"SINALOA",5666998,5671600,6983173.4,104228823.24,104175283.24,4,0,4602,0,53540,0
"TRUCHA",1,1,"SINALOA",24,24,24,240,240,0,0,0,0,0,0
"TUNIDOS",214,NA,"SINALOA",83031206,NA,NA,NA,848150005,NA,NA,NA,NA,NA,NA
NA,2,NA,"SINALOA",8435,NA,NA,NA,465150,NA,NA,NA,NA,NA,NA
"ABULON",1,1,"SONORA",50,50,119,2500,2500,0,0,0,0,0,0
"ALMEJA",1695,1935,"SONORA",2603549,3122030,5635316,72040135.39,50903470.39,240,12,518481,17,21136665,29
"ANCHOVETA",1506,1506,"SONORA",217527963,217527963,252317708.92,493525138,486226698.77,0,0,0,0,7298439.23000002,1
"BAGRE",273,289,"SONORA",371166,379631,423388.6,4577819,4492747,16,6,8465,2,85072,2
"BANDERA",1048,3,"SONORA",675589,1600,1600,9800,38106780,-1045,-34833,-673989,-42124,-38096980,-388745
"BERRUGATA",1348,1364,"SONORA",6237099,6237912,6266270.4,63622280,67129978.5,16,1,813,0,-3507698.5,-6
"CABRILLA",570,573,"SONORA",257056,258486,273923.5,12817562,12752812,3,1,1430,1,64750,1
"CALAMAR",160,160,"SONORA",243870,243870,244277,2302483,2302483,0,0,0,0,0,0
"CAMARON",4617,6893,"SONORA",6969193,87566707,91914144.9,8368989266.46,1169819199.07,2276,33,80597514,92,7199170067.39,86
"CANGREJO",1,NA,"SONORA",91,NA,NA,NA,12740,NA,NA,NA,NA,NA,NA
"CARACOL",1347,1352,"SONORA",2145112,2146098,6428733,50691884.55,50699844.55,5,0,986,0,-7960,0
"CARPA",312,316,"SONORA",344678,345128,555745.8,3627643,3671969,4,1,450,0,-44326,-1
"CAZON",597,597,"SONORA",879440,879440,1066209.35,15699520,15699520,0,0,0,0,0,0
"CINTILLA",1,1,"SONORA",520,520,520,2600,2600,0,0,0,0,0,0
"CORVINA",1627,1687,"SONORA",4136359,4168762,4457015.45,74194479.79,82593159.94,60,4,32403,1,-8398680.14999999,-11
"DORADO",2,NA,"SONORA",300,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA
"ESMEDREGAL",3,3,"SONORA",52000,52000,104000,208000,208000,0,0,0,0,0,0
"GUACHINANGO",289,290,"SONORA",174147,174247,177180.6,7860940,7855940,1,0,100,0,5000,0
"JAIBA",4239,4283,"SONORA",9310972,9333933,9400534.6,253135781.77,253177024.77,44,1,22961,0,-41243,0
"JUREL",210,201,"SONORA",687891,94663,99381.1,2427790,3478257.85,-9,-4,-593228,-627,-1050467.85,-43
"LANGOSTA",32,32,"SONORA",11042,11042,11161,1585890,1585890,0,0,0,0,0,0
"LENGUADO",1666,1667,"SONORA",1773579,1773579,1950625.05,63692505,63952105,1,0,0,0,-259600,0
