Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,mustelus,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,sphyrna,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,squatina,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,chanos,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,gelidium,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,epinephelus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,Very Low,best_guess_Mycteroperca.jordani,1,NA
goc,mesocentrotus,PENDING,PENDING,jc_data,2000,2024,2008,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,haliotis,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,MAREA_priors,0,Incomplete model priors
goc,argopecten,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,dosinia,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
