"year","eu_rnpa","total_catch_kg"
2018,"1802000867",99483.7
2018,"1802000958",650639
2018,"1802000966",729135
2018,"1802001048",24679
2018,"1802001063",26830
2018,"1802001121",45848.3
2018,"1802001238",35291.7
2018,"1802001311",78210
2018,"1802001527",86735
2018,"1802001733",9302.6
2018,"1802001741",71751.7
2018,"1802001774",81829.4
2018,"1802001790",151174
2018,"1802001808",131294
2018,"1802001816",194094
2018,"1802001824",28981
2018,"1802001832",98294
2018,"1802001857",149950
2018,"1802001865",1074018.5
2018,"1802001931",84308
2018,"1802001964",169254.5
2018,"1802002038",43700
2018,"1802002079",21316.1
2018,"1802002129",15677
2018,"1802002137",23674
2018,"1802002145",79140
2018,"1802002152",16018
2018,"1802002186",109808
2018,"1802002194",20550
2018,"1802002202",24850
2018,"1802002210",22415
2018,"1802002228",28174.9
2018,"1802002244",17289.7
2018,"1802002251",5740
2018,"1802002269",44625
2018,"1802002277",111159.5
2018,"1802002319",20166
2018,"1802002335",17387
2018,"1802002343",41460
2018,"1802002350",38200
2018,"1802002368",11743
2018,"1802002376",34922.7
2018,"1802002384",18636
2018,"1802002392",15250
2018,"1802002400",26570
2018,"1802002418",16975
2018,"1802002426",23527.2
2018,"1802002475",430475.35
2018,"1802002491",41938
2018,"1802002509",5195
2018,"1802002517",20679
2018,"1802002525",18655.6
2018,"1802002533",15008
2018,"1802002541",20670
2018,"1802002566",116800
2018,"1802002574",17500
2018,"1802002582",25924
2018,"1802002590",164835
2018,"1802002608",721338
2018,"1802002616",44170
2018,"1802002640",355872
2018,"1802002665",1022232
2018,"1802002673",40111.85
2018,"1802002749",41181
2018,"1802002756",50234.75
2018,"1802002764",8748.8
2018,"1802002798",25565
2018,"1802002848",27000
2018,"1802002855",10985.1
2018,"1802002863",27280
2018,"1802002871",74486
2018,"1802002889",68027.5
2018,"1802002905",23471.5
2018,"1802002913",18999.8
2018,"1802002939",70930
2018,"1802002947",10460
2018,"1802002954",23757
2018,"1802002962",196638
2018,"1802003010",41350
2018,"1802003036",72884.9
2018,"1802003085",20520
2018,"1802003093",18430
2018,"1802003226",65286.3
2018,"1802003283",230560.75
2018,"1802003333",245625.85
2018,"1802003614",28487.4
2018,"1803000163",205197.1
2018,"1803000452",126041.6
2018,"1803000460",319338.3
2018,"1803000478",184838
2018,"1803000486",23950
2018,"1803000494",106095
2018,"1803000502",110611
2018,"1803000510",422748.5
2018,"1803000528",172300
2018,"1803000536",2788.7
2018,"1803000593",86960
2018,"1803000601",34060
2018,"1803000643",49354
2018,"1803000742",23926.5
2018,"1803000759",139829.5
2018,"1803001104",18181.9
2018,"1803001112",24442.8
2018,"1803001120",23502.3
2018,"1803001138",20127.7
2018,"1803001146",6748
2018,"1803001161",23106
2018,"1803001179",3148
2018,"1803001260",112793
2018,"1803001278",378916.2
2018,"1803001419",23182.9
2018,"1804001582",25365
2018,"1805000427",87704.8
2018,"1805000617",577968.9
2018,"1805000682",334643.8
2018,"1805000708",188407.36
2018,"1805000757",194939.1
2018,"1805000765",139513
2018,"1805000773",135830.9
2018,"1805000781",286351.6
2018,"1805000799",18744
2018,"1805000807",79096
2018,"1805000815",47496
2018,"1805000849",338725.2
2018,"1805000955",489306.1
2018,"1805001011",12280
2018,"1805001029",204181.8
2018,"1805001037",158250
2018,"1805001045",226799.3
2018,"1805001052",51487
2018,"1805001060",151150.35
2018,"1805001409",145312.2
2018,"1805001425",82432.3
2018,"1805001755",187562.6
2018,"1806000392",300600.2
2018,"1806000426",128955.8
2018,"1806000475",401876.2
2018,"1806000483",12163
2018,"1806000517",122521
2018,"1806000590",171993.85
2018,"1806000624",25190
2018,"1806000681",107609.85
2018,"1806000723",1015624.9
2018,"1807000086",97212
2018,"1807000367",79268.4
2018,"1807000383",150949
2018,"1807000425",109266.2
2018,"1807000441",58247.4
2018,"1807000557",171215
2018,"1807000599",55966.5
2018,"1807000607",167719
2018,"1807000664",116595
2018,"1807000672",95986.8
2018,"1807000680",80920.5
2018,"1807000714",58409.5
2018,"1807000748",114556.5
2018,"1807000755",44544.8
2018,"1807000763",83102.2
2018,"1807000771",92233.5
2018,"1807000789",141134.1
2018,"1807000805",128183
2018,"1807000813",86701.3
2018,"1807000821",101362.9
2018,"1807000839",122019
2018,"1807000847",59282.4
2018,"1807000854",107198
2018,"1807000870",115106
2018,"1807000888",105988.7
2018,"1807000896",111554.5
2018,"1807000904",46670.6
2018,"1807000920",131699.6
2018,"1807000946",23990
2018,"1807000953",21845
2018,"1807000961",34388
2018,"1807000979",25150
2018,"1807000987",46970
2018,"1807000995",103862.5
2018,"1807001001",61950
2018,"1807001019",17520
2018,"2005000217",22215.2
2018,"2005000399",8987.2
2018,"2005002585",144433.6
2018,"2005002809",152148.8
2018,"2005003005",16960
2018,"2005004177",1027.4
2018,"2005004417",12784
2018,"2067100096",120
2018,"2501000116",127973.8
2018,"2501000380",919.6
2018,"2501000398",14226
2018,"2501000406",602859
2018,"2501000422",168961.9
2018,"2501000430",267642.4
2018,"2501000448",243182
2018,"2501000455",242306.668
2018,"2501000976",1466.3
2018,"2501001040",573.1
2018,"2501001081",253660
2018,"2501001107",33665
2018,"2501001156",17873.9
2018,"2501001222",81008
2018,"2501001230",7552
2018,"2501001248",31130.525
2018,"2501001271",859.1
2018,"2501001420",3929.2
2018,"2501001438",7830.6
2018,"2501001453",2314.4
2018,"2501001594",2921.6
2018,"2501001651",743.6
2018,"2501001750",1623.6
2018,"2501001784",10727.5
2018,"2501001867",10521.4
2018,"2501002154",724.9
2018,"2501003004",2113.65
2018,"2501003244",24520.1
2018,"2501003269",14925
2018,"2501003566",30387.65
2018,"2501004663",2222
2018,"2501005132",25078.03
2018,"2501005181",425
2018,"2501005207",24300
2018,"2501005645",169103.6
2018,"2501005728",35547.5
2018,"2501005769",22446.5
2018,"2501006627",825
2018,"2501006734",14400
2018,"2501006916",310233
2018,"2501006932",28301
2018,"2501006957",78657
2018,"2501006965",100262
2018,"2501007096",1210
2018,"2501009258",7896
2018,"2501009324",800
2018,"2501009415",150432
2018,"2502000108",217520
2018,"2502000124",50979.4
2018,"2502000306",249848.5
2018,"2502000314",197016
2018,"2502707003",40812.3
2018,"2503000206",140
2018,"2503000743",20
2018,"2503000933",50
2018,"2503001261",1040
2018,"2504000098",5914.5
2018,"2504000288",2378
2018,"2504000296",41
2018,"2504000304",170
2018,"2504000619",33209
2018,"2504000742",5882
2018,"2504000759",446
2018,"2504000775",42879.88
2018,"2504000783",11253.9
2018,"2504000965",19820
2018,"2504000973",12164.75
2018,"2504001070",9545
2018,"2504001112",45085.4
2018,"2504001161",511131
2018,"2504001336",850
2018,"2504001484",15154
2018,"2504001567",54201.6
2018,"2504001781",22582.3
2018,"2504001807",18140
2018,"2504002011",40902.6
2018,"2504002110",149050
2018,"2504002201",581261.7
2018,"2504002359",119760.55
2018,"2505000146",22880
2018,"2505000220",8152
2018,"2505000238",119800
2018,"2505000246",726879.65
2018,"2505000253",58920.2
2018,"2505000261",122433.8
2018,"2505000279",196049.75
2018,"2505000352",98140
2018,"2505000378",3600
2018,"2505000410",241519.2
2018,"2505000493",39476.3
2018,"2505000501",40099.3
2018,"2505000519",43789.3
2018,"2505000527",40653
2018,"2505000535",37221
2018,"2505000543",53666.3
2018,"2505000709",119165.2
2018,"2505000717",229532.8
2018,"2505000725",163994.65
2018,"2505000915",47490.4
2018,"2505000923",669362.7
2018,"2505000948",1340
2018,"2505001020",16700
2018,"2505001061",78326
2018,"2505001079",480057.1
2018,"2505001111",197863.6
2018,"2505001152",88396.5
2018,"2505001186",95458.4
2018,"2505001194",218875.6
2018,"2505001202",48864.5
2018,"2505001236",164314.6
2018,"2505001566",79920.3
2018,"2505001640",200628
2018,"2505001731",23319.6
2018,"2505001798",793508.95
2018,"2505001897",19650
2018,"2505001913",100649.95
2018,"2505002218",61597.05
2018,"2505002721",237419.2
2018,"2505002739",278726.6
2018,"2505002846",174829
2018,"2505003208",12199
2018,"2505003331",53851
2018,"2505004164",351111
2018,"2505004263",56737.5
2018,"2505004453",3498
2018,"2505004503",3409
2018,"2505004537",33468.5
2018,"2505004784",21967
2018,"2505005096",5195
2018,"2505005294",29838.5
2018,"2505005708",82015.1
2018,"2505005892",55968
2018,"2505005930",3870
2018,"2505005948",10900
2018,"2506000054",305920
2018,"2506000060",1870
2018,"2506000062",351111
2018,"2506000112",136431
2018,"2506000146",5920
2018,"2506000153",290261.5
2018,"2506000161",100592.2
2018,"2506000203",324653
2018,"2506000229",138042
2018,"2506000230",4100
2018,"2506000245",147358
2018,"2506000260",287521
2018,"2506000278",20984.2
2018,"2506000286",45724
2018,"2506000310",361948.8
2018,"2506000330",7556.8
2018,"2506000336",85057
2018,"2506000351",354721.8
2018,"2506000443",397105.8
2018,"2506000500",53375
2018,"2506000526",58027.5
2018,"2506000567",16243
2018,"2506000617",48455
2018,"2506000781",550
2018,"2506000799",146550
2018,"2506000849",70925
2018,"2506000880",55300
2018,"2506000906",104357.5
2018,"2506001029",136150
2018,"2506001037",140470
2018,"2506001045",103259
2018,"2506001052",163981
2018,"2506001060",192547
2018,"2506001078",148086
2018,"2506001102",58050
2018,"2506001110",76187
2018,"2506001169",37132
2018,"2506001334",44418
2018,"2506001375",52472.5
2018,"2506001441",20677.55
2018,"2506001482",70670
2018,"2506001490",170507.25
2018,"2506001532",97402
2018,"2506001581",269262.5
2018,"2506001656",63279
2018,"2506001680",254380
2018,"2506001722",96546.5
2018,"2506001748",67642
2018,"2506001797",1010
2018,"2506001813",134361
2018,"2506001821",124465
2018,"2506001854",44160
2018,"2506001912",55834
2018,"2506001953",607121.9
2018,"2506001987",57672
2018,"2506002035",1700
2018,"2506002043",103098.5
2018,"2506002068",216947.5
2018,"2506002084",156755
2018,"2506002092",57259.3
2018,"2506002100",94426.5
2018,"2506002118",55740
2018,"2506002274",77849.6
2018,"2506002282",115400
2018,"2506002324",39215
2018,"2506002357",22131
2018,"2506002365",76922.1
2018,"2506002373",113519.5
2018,"2506002407",2050
2018,"2506002704",174864.25
2018,"2506002712",84310
2018,"2506002720",95790
2018,"2506002746",96530
2018,"2506002753",61638
2018,"2506002795",93339.5
2018,"2506002811",282325.2
2018,"2506002852",1600
2018,"2506002878",30244
2018,"2506002886",1400
2018,"2506002910",27950
2018,"2506002936",73146.75
2018,"2506002944",29706
2018,"2506002951",78584
2018,"2506002993",24688
2018,"2506003009",33652
2018,"2506003108",1250
2018,"2506003363",21487
2018,"2506003389",16291
2018,"2506003447",107980
2018,"2507000012",42000
2018,"2507000038",184220
2018,"2507000053",426760.75
2018,"2507000061",38980
2018,"2507000079",36124
2018,"2507000145",35470
2018,"2507000293",53636.6
2018,"2507000335",21850
2018,"2507000350",83034.6
2018,"2507000368",49402.4
2018,"2507000376",28098.8
2018,"2507000434",749628.7
2018,"2507000467",77640
2018,"2507000475",601510.5
2018,"2507000491",222936
2018,"2507000509",65790
2018,"2507000517",187954.5
2018,"2507000525",47214
2018,"2507000699",70032.2
2018,"2507000707",44948
2018,"2507000715",243946
2018,"2507000723",69200
2018,"2507000756",177133
2018,"2507000806",16449.4
2018,"2507000830",145050
2018,"2507000996",188905.5
2018,"2507001200",1244
2018,"2507001416",140119
2018,"2507001846",57310
2018,"2507002232",7648
2018,"2507002406",171969
2018,"2507002513",28032.3
2018,"2507002752",2730
2018,"2507002778",58700
2018,"2507002786",24463
2018,"2507002794",129403.1
2018,"2507002802",17145
2018,"2507002810",25975
2018,"2507002844",79500.6
2018,"2507002869",33100
2018,"2507002893",52800
2018,"2507002901",43728
2018,"2507002919",71433
2018,"2507002927",23380
2018,"2507002935",24393
2018,"2507002943",6600
2018,"2507002976",7280
2018,"2507003032",37350
2018,"2507003040",50550
2018,"2507003263",45400
2018,"2507003354",193312.1
2018,"2507003388",136337
2018,"2507003404",625
2018,"2507003503",74819.1
2018,"2507003545",58900
2018,"2507003685",100252
2018,"2507003776",124469
2018,"2507003818",63770
2018,"2507003834",11777
2018,"2507003859",104250
2018,"2507003867",120860
2018,"2507003958",319514.45
2018,"2507004071",29390
2018,"2507004139",56346
2018,"2507004360",53151
2018,"2507004428",50474
2018,"2507004535",1377
2018,"2507004600",56101.2
2018,"2507004626",18200
2018,"2507005011",3874
2018,"2507005029",21880
2018,"2507005037",81296
2018,"2507005045",176521
2018,"2507005052",17904
2018,"2507005060",35990
2018,"2507005078",22780
2018,"2507005086",82764
2018,"2507005094",44840
2018,"2507005102",53069
2018,"2507005110",80880
2018,"2507005128",322935
2018,"2507005136",83570
2018,"2507005144",34640
2018,"2507005151",26050
2018,"2507005169",25450
2018,"2507005177",55000
2018,"2507005193",20127
2018,"2507005201",111641
2018,"2507005219",15862
2018,"2507005227",39999
2018,"2507005235",73401
2018,"2507005243",60166
2018,"2507005250",23264
2018,"2507005268",48350
2018,"2507005276",42530
2018,"2507005284",110839
2018,"2507005292",28040
2018,"2507005300",34400
2018,"2507005318",19550
2018,"2507005326",20040
2018,"2507005334",22490
2018,"2507005359",22714
2018,"2507005367",35655
2018,"2507005417",9788
2018,"2507005425",13100
2018,"2507005433",165545
2018,"2507005441",21730
2018,"2507005466",31961
2018,"2507005581",153586.8
2018,"2507005615",9609
2018,"2507005631",75120
2018,"2507005656",1499
2018,"2507005664",34552
2018,"2507005714",1590
2018,"2507005805",19551
2018,"2507005854",26600
2018,"2507005862",61104.2
2018,"2507005888",1439
2018,"2507005896",42455
2018,"2507005904",398
2018,"2507005912",1567
2018,"2507005920",966
2018,"2507005938",2134
2018,"2507005995",2044
2018,"2507006001",310
2018,"2507006019",668
2018,"2507006027",810
2018,"2507006035",1165
2018,"2507006100",310
2018,"2507006118",4370
2018,"2507006134",1557
2018,"2507006191",33211
2018,"2507006217",25344
2018,"2507006241",9930
2018,"2507006274",1637
2018,"2507006324",29060
2018,"2507006332",250450
2018,"2507006449",3434
2018,"2507006464",17760
2018,"2507006563",26503
2018,"2507006597",12265
2018,"2507006688",7012
2018,"2507006704",5210
2018,"2507006720",905
2018,"2507006746",3020
2018,"2507006779",11040
2018,"2507006852",2884
2018,"2507006860",12625
2018,"2507007025",8625
2018,"2507007090",11690
2018,"2507007124",17025
2018,"2507007231",13597
2018,"2507008990",6445
2018,"2508000789",7412.8
2018,"2508000847",2015
2018,"2508000946",144992.9
2018,"2508001050",69180.4
2018,"2508001159",13336
2018,"2508001167",41953
2018,"2508002280",44967
2018,"2508002397",1375
2018,"2508002850",8245
2018,"2508003585",1500
2018,"2508003692",2559
2018,"2508003866",3520
2018,"2508003882",64170.9
2018,"2508004088",86615
2018,"2508004195",7800
2018,"2508004369",4650
2018,"2508004682",44356
2018,"2508004732",5630
2018,"2508004807",15000
2018,"2508004823",322.3
2018,"2508004831",7435.25
2018,"2508004971",10048
2018,"2508005069",18085.6
2018,"2508005119",60488.75
2018,"2508005234",78902
2018,"2508005366",826057.8
2018,"2508005374",88151.8
2018,"2508005382",1042401.2
2018,"2508005408",75749
2018,"2508005424",109231.2
2018,"2508005507",85066.8
2018,"2508005523",282466.4
2018,"2508005606",65508.8
2018,"2508005648",500417
2018,"2508005705",44275
2018,"2508005846",73742.4
2018,"2508005861",53676.95
2018,"2508005879",668517.1
2018,"2508005937",72107
2018,"2508005994",45045.4
2018,"2508006125",215048.2
2018,"2508006166",23851.6
2018,"2508006208",25112
2018,"2508006224",17264.4
2018,"2508006240",72280.4
2018,"2508006398",55685.4
2018,"2508006463",2119
2018,"2508006562",15402
2018,"2508006661",18977.05
2018,"2508006752",5312.6
2018,"2508006778",1375832.75
2018,"2508006810",15054
2018,"2508006828",43017.6
2018,"2508006836",199038.1
2018,"2508006869",35615.6
2018,"2508007073",113179.2
2018,"2508007123",1291.536
2018,"2508007156",3775.2
2018,"2508007362",27110
2018,"2508007511",338
2018,"2508007685",7242.8
2018,"2508007693",11624
2018,"2508007867",20832.4
2018,"2508007909",164467
2018,"2508007933",39811
2018,"2508007941",31994.4
2018,"2508008014",11918.8
2018,"2508008238",56629725
2018,"2508008303",1620564
2018,"2508008428",43686.4
2018,"2508008444",82175.6
2018,"2508008469",30221.2
2018,"2508008477",93861
2018,"2508008485",98647
2018,"2508008493",60068.6
2018,"2508008501",60927.2
2018,"2508008634",6100
2018,"2508008733",53159
