"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2022,"region_6","farfantepenaeus",4000,1,4117.6,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",4117.6,NA,0.940039066838545,0.940039066838545
2019,"region_6","haliotis",16000,1,16000,1,"decreasing","decrease","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region","decreasing stock penalized at/above reference; not penalized below mean",16000,NA,NA,NA
2020,"region_6","hoplopagrus",336.8,4,164.6,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",164.6,NA,0.880422891592627,0.880422891592627
2021,"region_6","hoplopagrus",77,1,164.6,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",164.6,NA,0.956175513314219,0.956175513314219
2022,"region_6","hoplopagrus",80,1,164.6,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",164.6,NA,0.737764010185486,0.737764010185486
2023,"region_6","hoplopagrus",291,4,164.6,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",164.6,NA,0.74543618101504,0.74543618101504
2024,"region_6","hoplopagrus",470.5,6,164.6,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",164.6,NA,0.626918679312086,0.626918679312086
2020,"region_6","isurus",13762.5,1,8044.16666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",8044.16666666667,NA,0.951040544452629,0.951040544452629
2021,"region_6","isurus",9375,1,8044.16666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",8044.16666666667,NA,0.84574234032639,0.84574234032639
2022,"region_6","isurus",995,2,8044.16666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",8044.16666666667,NA,0.982462974013997,0.982462974013997
2018,"region_6","litopenaeus",265.6,1,3433.2,4,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3433.2,1,0.919492910868832,1
2019,"region_6","litopenaeus",2931.2,3,3433.2,4,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3433.2,1,0.900691621925178,1
2020,"region_6","litopenaeus",320,1,3433.2,4,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3433.2,1,0.900960988694235,1
2021,"region_6","litopenaeus",10216,5,3433.2,4,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3433.2,0.336061080657792,0.727315020032971,0.336061080657792
2018,"region_6","lutjanus",49085.7,110,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,1,0.885107293882184,1
2019,"region_6","lutjanus",71442.9,157,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,1,0.934341222241882,1
2020,"region_6","lutjanus",195946.2,344,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,0.68401311176231,0.846377418897069,0.68401311176231
2021,"region_6","lutjanus",214408,372,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,0.625115527405694,0.909980107328502,0.625115527405694
2022,"region_6","lutjanus",139266.05,361,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,1,0.958189136766032,1
2023,"region_6","lutjanus",126097,361,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,1,0.892768085174636,1
2024,"region_6","lutjanus",98881.051,285,134029.77,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",134029.77,1,0.916991841143624,1
2018,"region_6","megapitaria",16470,85,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,1,0.947564254714115,1
2019,"region_6","megapitaria",15226,162,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,1,0.849161588271805,1
2020,"region_6","megapitaria",16348,112,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,1,0.963312896666461,1
2021,"region_6","megapitaria",47018,225,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,0.658654132459909,0.903634220213695,0.658654132459909
2022,"region_6","megapitaria",59781,178,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,0.51803415801007,0.686347401114479,0.51803415801007
2023,"region_6","megapitaria",28319,204,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,1,0.924847162850027,1
2024,"region_6","megapitaria",10372,85,30968.6,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 10 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",30968.6,1,1,1
2021,"region_6","megastraea",7029,1,7029,1,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region","decreasing stock penalized at/above reference; not penalized below mean",7029,NA,1,1
2018,"region_6","merluccius",7269,9,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,1,0.966250327585303,1
2019,"region_6","merluccius",18600,14,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,0.820447311827957,0.880385458707781,0.820447311827957
2020,"region_6","merluccius",10667.4,17,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,1,0.885725595600972,1
2021,"region_6","merluccius",34269.6,37,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,0.445301958587203,0.732232326752904,0.445301958587203
2022,"region_6","merluccius",5495.6,15,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,1,0.733008657945096,1
2023,"region_6","merluccius",37498,16,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,0.406963571390474,0.590703776979209,0.406963571390474
2024,"region_6","merluccius",55235,5,15260.32,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15260.32,0.276279894994116,0.332922459995741,0.276279894994116
2018,"region_6","mugil",50756,49,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.5,0.638301610903036,0.5
2019,"region_6","mugil",62194,67,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.425478341962247,0.634893789409846,0.425478341962247
2020,"region_6","mugil",50410,48,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.5,0.75,0.5
2021,"region_6","mugil",46651,56,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.5,0.712776188843112,0.5
2022,"region_6","mugil",54611,64,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.5,0.659215857279574,0.5
2023,"region_6","mugil",3675,6,52924.4,5,"decreasing","decrease","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",52924.4,0.5,0.833333333333333,0.5
2018,"region_6","mustelus",373750,113,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,0.88583125083612,0.902533524994014,0.88583125083612
2019,"region_6","mustelus",274241.15,101,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,1,0.985486101534532,1
2020,"region_6","mustelus",300207.5,158,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,1,0.89171943609393,1
2021,"region_6","mustelus",347341.5,175,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,1,0.878225401720334,1
2022,"region_6","mustelus",359857,185,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,0.920030539908908,0.677782914952192,0.920030539908908
2023,"region_6","mustelus",265614,157,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,1,0.656043636761049,1
2024,"region_6","mustelus",367840.5,171,331079.43,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",331079.43,0.900062472729349,0.453380725286644,0.900062472729349
2020,"region_6","negaprion",625,1,412.5,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",412.5,NA,1,1
2022,"region_6","negaprion",200,1,412.5,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",412.5,NA,0.690292469035349,0.690292469035349
2023,"region_6","negaprion",6003,12,412.5,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",412.5,NA,1,1
2024,"region_6","negaprion",3712.5,6,412.5,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",412.5,NA,0.13106616542644,0.13106616542644
2020,"region_6","octopus",780,2,417.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",417.5,NA,NA,NA
2022,"region_6","octopus",55,1,417.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",417.5,NA,NA,NA
2018,"region_6","panopea",159513.2,76,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,1,1
2019,"region_6","panopea",292894,109,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,0.626967571886075,0.79793378729406,0.626967571886075
2020,"region_6","panopea",101169,54,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,0.847675165806947,1
2021,"region_6","panopea",180561,80,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,0.861762287529409,1
2022,"region_6","panopea",184038,53,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,0.949650962501254,1
2023,"region_6","panopea",88620,53,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,0.885393140563008,1
2024,"region_6","panopea",19924,12,183635.04,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",183635.04,1,0.850622310042691,1
2018,"region_6","panulirus",25118,21,15756.8,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15756.8,0.627311091647424,0.735352066744344,0.627311091647424
2019,"region_6","panulirus",18190,24,15756.8,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15756.8,0.866234194612424,0.818869748949263,0.866234194612424
2020,"region_6","panulirus",12906,14,15756.8,5,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",15756.8,1,0.979452670326076,1
