"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2023,"region_8","farfantepenaeus",38472,20,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,1,1,1
2024,"region_8","farfantepenaeus",9241.6,4,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,1,1,1
2020,"region_8","galeorhinus",1917.5,1,1917.5,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1917.5,NA,0.946677656240989,0.946677656240989
2020,"region_8","haliotis",2525,1,1327.5,2,"decreasing","decrease","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region","decreasing stock penalized at/above reference; not penalized below mean",1327.5,NA,NA,NA
2022,"region_8","haliotis",130,1,1327.5,2,"decreasing","decrease","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 8 original and 0 gapfilled species-level recommendations pooled across 4 OHI regions with original Carta data; same values applied to every missing region","decreasing stock penalized at/above reference; not penalized below mean",1327.5,NA,NA,NA
2018,"region_8","hoplopagrus",13597.5,94,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,1,0.934607234718094,1
2019,"region_8","hoplopagrus",17390.6,107,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,1,0.96109663021087,1
2020,"region_8","hoplopagrus",19230.3,66,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,1,0.880422891592627,1
2021,"region_8","hoplopagrus",18684.4,105,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,1,0.956175513314219,1
2022,"region_8","hoplopagrus",25325.5,99,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,0.744137726797102,0.737764010185486,0.744137726797102
