"Region","Landings_Datasource","StartYear","EndYear","Major_Functional_Group","estimated_taxa_group","Common_Name","Stock","estimated_family_name","Status_in_2000_Ref","Status_in_2000_ExpOp","Status_in_2000_disagreement","st_b.low_Ref","st_b.low_ExpOp","st_b.hi_Ref","st_b.hi_ExpOp","Status_in_2024_Ref","Status_in_2024_ExpOp","Status_in_2024_disagreement","end_b.low_Ref","end_b.low_ExpOp","end_b.hi_Ref","end_b.hi_ExpOp","st_b_source","end_b_source","st_b.low_new","st_b.hi_new","end_b.low_new","end_b.hi_new"
"goc","conapesca",2000,2022,"pelagic marine fish (excl. anchovy & sardine)","bonito","bonitos","sarda","carangidae","sustainable","healthy","Different",0.3,0.5,0.5,0.8,"sustainable","healthy","Different",0.3,0.5,0.5,0.8,"Expert Opinion","Expert Opinion",0.5,0.8,0.5,0.8
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","esmedregal","amberjacks / yellowtails","seriola","carangidae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"sustainable","depleted","Different",0.3,0.1,0.5,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","pampano","pompano","trachinotus","carangidae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"severely depleted","depleted","Different",0.01,0.1,0.2,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","ronco","moonfish / lookdowns","selene","carangidae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"depleted","depleted","Same",0.01,0.1,0.4,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","otras","mahi-mahi","coryphaena","coryphaenidae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"sustainable","severely depleted","Different",0.3,0.01,0.5,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","otras","sailfish","istiophorus","istiophoridae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.1,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","atun","true tunas","thunnus","scombridae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"sustainable","depleted","Different",0.3,0.1,0.6,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2004,2024,"pelagic marine fish (excl. anchovy & sardine)","barrilete","little tunas","euthynnus","scombridae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"depleted","depleted","Same",0.01,0.1,0.4,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","barrilete","skipjack tuna","katsuwonus","scombridae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"sustainable","depleted","Different",0.3,0.1,0.5,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","macarela","mackerels","scomber","scombridae","sustainable","healthy","Different",0.3,0.5,0.5,0.8,"depleted","healthy","Different",0.01,0.5,0.4,0.8,"Expert Opinion","Expert Opinion",0.5,0.8,0.5,0.8
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","sierra","Spanish mackerels","scomberomorus","scombridae","sustainable","depleted","Different",0.3,0.1,0.5,0.3,"sustainable","depleted","Different",0.3,0.1,0.6,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","otras","barracudas","sphyraena","sphyraenidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","depleted","Same",0.01,0.1,0.3,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2008,2024,"pelagic marine fish (excl. anchovy & sardine)","cintilla","cutlassfishes","trichiurus","trichiuridae","healthy","depleted","Different",0.5,0.1,0.8,0.3,"depleted","depleted","Same",0.01,0.1,0.3,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","otras","swordfish","xiphias","xiphiidae","depleted","severely depleted","Different",0.1,0.01,0.3,0.15,"depleted","severely depleted","Different",0.1,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.01,0.15,0.01,0.15
"goc","conapesca",2001,2024,"sharks","tiburon","thresher sharks","alopias","alopiidae","new / healthy","depleted","Different",0.6,0.1,0.9,0.3,"new / healthy","severely depleted","Different",0.6,0.055,1,0.225,"Expert Opinion","Expert Opinion",0.1,0.3,0.055,0.225
"goc","conapesca",2000,2024,"sharks","tiburon","requiem sharks","carcharhinus","carcharhinidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.1,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
"goc","conapesca",2000,2024,"sharks","tiburon","tiger shark","galeocerdo","carcharhinidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.1,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
"goc","conapesca",2007,2024,"sharks","tiburon","whitetip reef shark","nasolamia","carcharhinidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.01,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
"goc","conapesca",2001,2024,"sharks","tiburon","blue shark","prionace","carcharhinidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.1,0.01,0.4,0.15,"Expert Opinion","Expert Opinion",0.1,0.3,0.01,0.15
