"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta",TRUE,"Sphyrna Zygaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyrna Zygaena","virtually certain","name was recorded in CONAPESCA","Sphyrna","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON PRIETO (CARCHARHINUS OBSCURUS)","tiburon prieto",TRUE,"Carcharhinus Obscurus","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus obscurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Obscurus","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"SARDINA","SARDINA JAPONESA (ETRUMEUS ACUMINATUS)","sardina japonesa",TRUE,"Etrumeus Acuminatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Etrumeus teres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Etrumeus Acuminatus","virtually certain","name was recorded in CONAPESCA","Etrumeus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CALAMAR","CALAMAR GIGANTE CABEZA","calamar gigante cabeza",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CHARRITO (TRACHURUS SYMMETRICUS)","charrito",TRUE,"Trachurus Symmetricus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selar crumenophthalmus","Trachurus symmetricus","Decapterus muroadsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trachurus Symmetricus","virtually certain","name was recorded in CONAPESCA","Trachurus","genus derived from known species","family missing but genus available","family unknown but genus available"
"SARDINA","PIÑA (OLIGOPLITES ALTUS)","piña",TRUE,"Oligoplites Altus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligoplites altus","Oligoplites refulgens","Oligoplites saurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligoplites Altus","virtually certain","name was recorded in CONAPESCA","Oligoplites","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TORO (CARCHARHINUS LEUCAS)","toro",TRUE,"Carcharhinus Leucas","Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus leucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Leucas","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"TIBURON","TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS)","tiburon tunero o cafe",TRUE,"Carcharhinus Falciformis","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Falciformis","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"TIBURON","TINTORERA (GALEOCERDO CUVIER)","tintorera",TRUE,"Galeocerdo Cuvier","Tiburon","Galeocerdo cuvier","Species","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeocerdo Cuvier","virtually certain","name was recorded in CONAPESCA","Galeocerdo","genus derived from known species","Carcharhinidae","family derived from IHH key"
"CHARAL","CHARAL (CHIROSTOMA SPHYRAENA)","charal",TRUE,"Chirostoma Sphyraena","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Chirostoma grandocule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chirostoma Sphyraena","virtually certain","name was recorded in CONAPESCA","Chirostoma","genus derived from known species","NEI","family derived from IHH key"
"MOJARRA","MOJARRA ESPAÑOLA","mojarra española",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucinostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucinostomus","high confidence","match to Hem's key","Eucinostomus","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON CARTON (CARCHARHINUS PLUMBEUS)","tiburon carton",TRUE,"Carcharhinus Plumbeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Plumbeus","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","family missing but genus available","family unknown but genus available"
"LENGUADO","SAN PEDRO","san pedro",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mulloidichthys dentatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mulloidichthys dentatus","high confidence","match to Hem's key","Mulloidichthys","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON CHATO (CARCHARHINUS LEUCAS)","tiburon chato",TRUE,"Carcharhinus Leucas","Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Negaprion brevirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Leucas","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"LENGUADO","LENGUADO MOTEADO","lenguado moteado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citharichthys sordidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citharichthys sordidus","high confidence","match to Hem's key","Citharichthys","genus derived from known species","family missing but genus available","family unknown but genus available"
"LISA","LISA FRANCESA","lisa francesa",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ROBALO","ROBALO PRIETO","robalo prieto",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus nigrescens","high confidence","match to Hem's key","Centropomus","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","CRUZ","cruz",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"TIBURON","TIBURON TIGRE (GALEOCERDO CUVIER)","tiburon tigre",TRUE,"Galeocerdo Cuvier","Tiburon","Galeocerdo cuvier","Species","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Galeocerdo cuvieri","Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeocerdo Cuvier","virtually certain","name was recorded in CONAPESCA","Galeocerdo","genus derived from known species","Carcharhinidae","family derived from IHH key"
"CARPA","CARPA HOCICONA","carpa hocicona",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CARPA","CARPA CUERUDA","carpa cueruda",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CHARAL","CHARAL MARINO","charal marino",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ALMEJA","ALMEJA MANILA (RUDITAPES PHILIPPINARUM)","almeja manila",TRUE,"Ruditapes Philippinarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ruditapes Philippinarum","virtually certain","name was recorded in CONAPESCA","Ruditapes","genus derived from known species","family missing but genus available","family unknown but genus available"
"LOBINA","LOBINA O ROBALO RAYADO","lobina o robalo rayado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","PEZ PAYASO ORNATO","pez payaso ornato",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CAMARON","CAMARON BLANCO","camaron blanco",FALSE,NA,"Camaron","Penaeus vannamei","Species","Penaeus vannamei","Penaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Litopenaeus occidentalis","Penaeus vannamei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penaeus vannamei","high confidence","logical match in both keys","Penaeus","genus derived from known species","Penaeidae","family derived from IHH key"
"PECES DE ORNATO","TETRA PINGÜINO","tetra pingüino",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","ANGEL","angel",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","BARBO TIGRE (SUMATRANO)","barbo tigre",TRUE,"Sumatrano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sumatrano","virtually certain","name was recorded in CONAPESCA","Sumatrano","genus derived from known species","family missing but genus available","family unknown but genus available"
"PECES DE ORNATO","CEBRA RAYADA","cebra rayada",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","BETA","beta",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","TETRA ROJO","tetra rojo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","PLANTAS ACUATICAS","plantas acuaticas",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","PECES ORNATO","peces ornato",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","GUPPY","guppy",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","TETRA BUENOS AIRES","tetra buenos aires",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"TRUCHA","TRUCHA ARCO-IRIS","trucha arco-iris",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oncorhynchus mykiss","high confidence","match to Hem's key","Oncorhynchus","genus derived from known species","family missing but genus available","family unknown but genus available"
"PECES DE ORNATO","BARBO","barbo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ALMEJA","ALMEJA ARENERA","almeja arenera",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PARGO","PARGO LUNAREJO","pargo lunarejo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CAMARON","CAMRON AZUL","camron azul",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Litopenaeus stylirostris","medium confidence","match to Erica's key","Litopenaeus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CARACOL","LANCETA","lanceta",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudobradya lanceta","Nuculana lanceta","Lobatus costatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"LANGOSTA","LANGOSTA (PANULIRUS SP)","langosta",TRUE,"Panulirus Sp","Langosta","Panulirus spp","Genus","NEI","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panulirus Sp","virtually certain","name was recorded in CONAPESCA","Panulirus","genus derived from known species","Palinuridae","family derived from IHH key"
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTIS)","tiburon limon",TRUE,"Negaprion Brevirostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negaprion brevirostris","Prionace glauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negaprion Brevirostis","virtually certain","name was recorded in CONAPESCA","Negaprion","genus derived from known species","family missing but genus available","family unknown but genus available"
"CAZON","CAZON PLAYA (RHIZORIONODON TERRENOVAE)","cazon playa",TRUE,"Rhizorionodon Terrenovae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizorionodon Terrenovae","virtually certain","name was recorded in CONAPESCA","Rhizorionodon","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","SANDUCHA","sanducha",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ESMEDREGAL","CORONADO","coronado",FALSE,NA,"Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Carangidae","family derived from IHH key"
"TIBURON","TIBURON PICUDO (CARCHARHINUS BREVIPINNA)","tiburon picudo",TRUE,"Carcharhinus Brevipinna","Tiburon","Rhizoprionodon longurio","Species","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Isogomphodon oxyrhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Brevipinna","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OTRAS","TOPUCHE","topuche",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CAZON","CAZON LEY (RHIZORIONODON TERRENOVAE)","cazon ley",TRUE,"Rhizorionodon Terrenovae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizorionodon Terrenovae","virtually certain","name was recorded in CONAPESCA","Rhizorionodon","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","PIJOLIN","pijolin",FALSE,NA,"Escama","Centropomus robalito","Species","Centropomus robalito","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus robalito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus robalito","high confidence","logical match in both keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"LANGOSTA","LANGOSTA VERDE","langosta verde",FALSE,NA,"Langosta","Panulirus gracilis","Species","Panulirus gracilis","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans","Panulirus gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panulirus gracilis","high confidence","logical match in both keys","Panulirus","genus derived from known species","Palinuridae","family derived from IHH key"
"OTRAS","CUCHILLA","cuchilla",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dorosoma cepedianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dorosoma cepedianum","high confidence","match to Hem's key","Dorosoma","genus derived from known species","family missing but genus available","family unknown but genus available"
"LENGUADO","SOL","sol",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CONGRIO","congrio",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CORAL BLANCO","coral blanco",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CHOPA AMARILLA","chopa amarilla",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spondyliosoma cantharus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spondyliosoma cantharus","high confidence","match to Hem's key","Spondyliosoma","genus derived from known species","family missing but genus available","family unknown but genus available"
"PEPINO DE MAR","PEPINO MAR NEGRO O LÁPIZ","pepino mar negro o lápiz",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","JOROBADO","jorobado",FALSE,NA,"Escama","Caranx lugubris","Species","Caranx lugubris","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Vomer declivifrons","Caranx lugubris","Selene brevoortii ","Selene oerstedii","Selene peruviana ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caranx lugubris","high confidence","logical match in both keys","Caranx","genus derived from known species","Carangidae","family derived from IHH key"
"TRUCHA","TRUCHA ARCO-IRIS SALMONADA","trucha arco-iris salmonada",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","MONJA (TETRA NEGRO)","monja",TRUE,"Tetra Negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetra Negro","virtually certain","name was recorded in CONAPESCA","Tetra","genus derived from known species","family missing but genus available","family unknown but genus available"
"ATUN","ATUN ALETA AZUL P","atun aleta azul p",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown","Scombridae","unique family match from Erica's key"
"OTRAS","ACEDIA","acedia",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"TIBURON","TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","tiburon zorro negro",TRUE,"Alopias Superciliosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alopias Superciliosus","virtually certain","name was recorded in CONAPESCA","Alopias","genus derived from known species","family missing but genus available","family unknown but genus available"
"MACARELA","MACARELA BONITO (SCOMBER JAPONICUS)","macarela bonito",TRUE,"Scomber Japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scomber Japonicus","virtually certain","name was recorded in CONAPESCA","Scomber","genus derived from known species","family missing but genus available","family unknown but genus available"
"MOJARRA","MOLPICH","molpich",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"LANGOSTINO","PIGUA","pigua",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CRAPPIE","crappie",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pomoxis annularis","Pomoxis nigromaculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"OTRAS","CANGREJO GALLO","cangrejo gallo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calappa granulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calappa granulata","high confidence","match to Hem's key","Calappa","genus derived from known species","family missing but genus available","family unknown but genus available"
"PARGO","CEBADAI","cebadai",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","DORADILLA","doradilla",FALSE,NA,"Escama","Coryphaena hippurus","Species","Coryphaena hippurus","Coryphaena","Coryphaenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Coryphaena hippurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coryphaena hippurus","high confidence","logical match in both keys","Coryphaena","genus derived from known species","Coryphaenidae","family derived from IHH key"
