"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"TIBURON","TIBURON","tiburon",FALSE,NA,"Tiburon","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","BURRO","burro",FALSE,NA,"Escama","Haemulon maculicauda","Species","Haemulon maculicauda","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus caesius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon maculicauda","low confidence","mismatch between keys","Haemulon","genus derived from known species","Haemulidae","family derived from IHH key"
"BANDERA","CHIHUIL","chihuil",FALSE,NA,"Escama","Ariidae","Family","NEI","NEI","Ariidae","Siluriformes","Actinopterygii","Demersal marine fishes","Notarius kessleri","Notarius planiceps","Occidentarius platypogon","Ariopsis seemanni","Bagre panamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Ariidae","family derived from IHH key"
"PAMPANO","PAMPANO","pampano",FALSE,NA,"Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trachinotus rhodopus","high confidence","match to IHH key","Trachinotus","genus derived from known species","Carangidae","family derived from IHH key"
"SIERRA","SIERRA","sierra",FALSE,NA,"Escama","Scomberomorus sierra","Species","Scomberomorus sierra","Scomberomorus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thyrsites atun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scomberomorus sierra","low confidence","mismatch between keys","Scomberomorus","genus derived from known species","Scombridae","family derived from IHH key"
"LISA","LISETA","liseta",FALSE,NA,"Escama","Mugil curema","Species","Mugil curema","Mugil","Mugilidae","Mugiliformes","Actinopterygii","Demersal marine fishes","Mugil curema","Mugil hospes","Mugil setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mugil curema","high confidence","logical match in both keys","Mugil","genus derived from known species","Mugilidae","family derived from IHH key"
"BANDERA","BANDERA","bandera",FALSE,NA,"Escama","Gerres cinereus","Species","Gerres cinereus","Gerres","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus taeniatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerres cinereus","low confidence","mismatch between keys","Gerres","genus derived from known species","Gerreidae","family derived from IHH key"
"ROBALO","CONSTANTINO","constantino",FALSE,NA,"Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus pectinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus armatus","low confidence","mismatch between keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"BERRUGATA","BERRUGATA","berrugata",FALSE,NA,"Escama","Micropogonias ectenes","Species","Micropogonias ectenes","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micropogonias ectenes","high confidence","match to IHH key","Micropogonias","genus derived from known species","Sciaenidae","family derived from IHH key"
"BAQUETA","BAQUETA","baqueta",FALSE,NA,"Escama","Hyporthodus acanthistius","Species","Hyporthodus acanthistius","Hyporthodus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus acanthistius ","Hyporthodus niphobles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyporthodus acanthistius","high confidence","logical match in both keys","Hyporthodus","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","CONEJO","conejo",FALSE,NA,"Escama","Caulolatilus affinis","Species","Caulolatilus affinis","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Euthynnus alletaratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caulolatilus affinis","low confidence","mismatch between keys","Caulolatilus","genus derived from known species","Malacanthidae","family derived from IHH key"
"ROBALO","ROBALO","robalo",FALSE,NA,"Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus armatus","Centropomus medius","Centropomus robalito","Centropomus unionensis","Centropomus viridis","Centropomus pectinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus armatus","high confidence","logical match in both keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"GUACHINANGO","GUACHINANGO (LUTJANUS CAMPECHANUS)","guachinango",TRUE,"Lutjanus Campechanus","Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus Campechanus","virtually certain","name was recorded in CONAPESCA","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"MOJARRA","MOJARRA","mojarra",FALSE,NA,"Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Gerreidae","family derived from IHH key"
"ALMEJA","ALMEJA PATA MULA","almeja pata mula",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"TIBURON","TORO","toro",FALSE,NA,"Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus leucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus leucas","high confidence","logical match in both keys","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OSTION","OSTION ROCA","ostion roca",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown","Ostreidae","unique family match from Erica's key"
"PARGO","PARGO","pargo",FALSE,NA,"Escama","Lutjanus adetii","Species","Lutjanus adetii","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus adetii","high confidence","match to IHH key","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"PARGO","COCONACO","coconaco",FALSE,NA,"Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoplopagrus guentherii","high confidence","logical match in both keys","Hoplopagrus","genus derived from known species","Lutjanidae","family derived from IHH key"
"LENGUADO","LENGUA","lengua",FALSE,NA,"Escama","Brotula clarkae","Species","Brotula clarkae","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii","Demersal marine fishes","Symphurus atramentatus","Symphurus atricaudus","Symphurus callopterus","Symphurus chabanaudi","Symphurus elongatus","Symphurus gorgonae","Symphurus leei","Symphurus melanurus","Symphurus melasmatotheca","Symphurus oligomerus","Symphurus prolatinaris","Symphurus undecimplerus","Symphurus williamsi","Symphurus fasciolaris",NA,NA,NA,NA,NA,NA,"Brotula clarkae","low confidence","mismatch between keys","Brotula","genus derived from known species","Ophidiidae","family derived from IHH key"
"RONCO","RONCACHO","roncacho",FALSE,NA,"Escama","Haemulopsis leuciscus","Species","Haemulopsis leuciscus","Haemulopsis","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Cheilotrema saturnum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulopsis leuciscus","low confidence","mismatch between keys","Haemulopsis","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","BACOCO","bacoco",FALSE,NA,"Escama","Anisotremus interruptus","Species","Anisotremus interruptus","Anisotremus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon scudderii","Anisotremus caesius","Anisotremus dovii","Anisotremus interruptus","Anisotremus pacifici","Anisotremus taeniatus","Haemulon sexfasciatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anisotremus interruptus","high confidence","logical match in both keys","Anisotremus","genus derived from known species","Haemulidae","family derived from IHH key"
"MERO","MERO (EPINEPHELUS SPP)","mero",TRUE,"Epinephelus Spp","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epinephelus Spp","virtually certain","name was recorded in CONAPESCA","Epinephelus","genus derived from known species","NEI","family derived from IHH key"
"MOJARRA","MOJARRA PLATEADA","mojarra plateada",FALSE,NA,"Escama","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Eucinostomus argenteus","Eucinostomus currani","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucinostomus argenteus","high confidence","logical match in both keys","Eucinostomus","genus derived from known species","Gerreidae","family derived from IHH key"
