main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean
TIBURON,ALETA SECA DE TIBURON AZUL (PRIONACE GLAUCA),ALETA,SECA DE,NA,NA,NA,TIBURON AZUL (PRIONACE GLAUCA)
TIBURON,TIBURON ALETA CARTON DESV. Y DESC. (CARCHARHINUS PLUMBEUS),ALETA,DESV.,DESC.,NA,NA,TIBURON CARTON (CARCHARHINUS PLUMBEUS)
TIBURON,TIBURON ALETA CARTON DESV. FCO. (CARCHARHINUS PLUMBEUS),ALETA,DESV.,FCO.,NA,NA,TIBURON CARTON (CARCHARHINUS PLUMBEUS)
TIBURON,ALETA FCA DE TIBURON MARTILLO (SPHYRNA MOKARRAN),ALETA,FCA,NA,NA,NA,DE TIBURON MARTILLO (SPHYRNA MOKARRAN)
TIBURON,ALETA FCA DE TIBURON ZORRO (ALOPIAS PELAGICUS),ALETA,FCA,NA,NA,NA,DE TIBURON ZORRO (ALOPIAS PELAGICUS)
TIBURON,ALETA SECA DE TIBURON MARTILLO (SPHYRNA MOKARRAN),ALETA,SECA DE,NA,NA,NA,TIBURON MARTILLO (SPHYRNA MOKARRAN)
ATUN,ATUN ALETA AZUL VIVO P/ABASTO RANCHO,ALETA,NA,NA,NA,NA,ATUN AZUL VIVO P/ABASTO RANCHO
TIBURON,ALETA SECA DE TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS),ALETA,SECA DE,NA,NA,NA,TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)
TIBURON,CABEZA DE PALA ENT. FCA.,CABEZA DE,ENT.,FCA.,NA,NA,PALA
TIBURON,ALETA SECA DE TIBURON CORNUDA GIGANTE (SYPYRNA MOKARRAN),ALETA,SECA DE,NA,NA,NA,TIBURON CORNUDA GIGANTE (SYPYRNA MOKARRAN)
TIBURON,PIEL SECA DE TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA),SECA DE,NA,NA,NA,NA,PIEL TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)
ATUN,ATUN ALETA AZUL DE CULTIVO ENT. FCO.,ALETA,DE CULTIVO,ENT.,FCO.,NA,ATUN AZUL
TIBURON,ALETA FCA DE TIBURON TUNERO O CAFE,ALETA,FCA,NA,NA,NA,DE TIBURON TUNERO O CAFE
TIBURON,ALETA FCA DE TIBURON COLUDO,ALETA,FCA,NA,NA,NA,DE TIBURON COLUDO
TIBURON,ALETA FCA. DE TIBURON AZUL,ALETA,FCA.,NA,NA,NA,DE TIBURON AZUL
TIBURON,ALETA FCA DE TIBURON CORNUDA PRIETA,ALETA,FCA,NA,NA,NA,DE TIBURON CORNUDA PRIETA
TIBURON,ALETA FCA DE TIBURON MAKO,ALETA,FCA,NA,NA,NA,DE TIBURON MAKO
TIBURON,ALETA FCA DE TIBURON ZORRO PINTO,ALETA,FCA,NA,NA,NA,DE TIBURON ZORRO PINTO
TIBURON,ALETA SECA DE TIBURON AZUL,ALETA,SECA DE,NA,NA,NA,TIBURON AZUL
TIBURON,ALETA FCA DE TIBURON MARTILLO,ALETA,FCA,NA,NA,NA,DE TIBURON MARTILLO
ATUN,ATUN ALETA AMARILLA ENT. FCO.,ALETA,ENT.,FCO.,NA,NA,ATUN AMARILLA
ATUN,ATUN ALETA AMARILLA DESV. FCO.,ALETA,DESV.,FCO.,NA,NA,ATUN AMARILLA
ATUN,ATUN ALETA AMARILLA  ENT. FCO.,ALETA,ENT.,FCO.,NA,NA,ATUN AMARILLA
TIBURON,ALETA SECA DE TIBURON ZORRO NEGRO,ALETA,SECA DE,NA,NA,NA,TIBURON ZORRO NEGRO
TIBURON,GRILLO ALETA DE FCA.,ALETA,FCA.,NA,NA,NA,GRILLO DE
TIBURON,ALETA SECA DE TIBURON MARTILLO,ALETA,SECA DE,NA,NA,NA,TIBURON MARTILLO
TIBURON,ALETA FCA DE TIBURON TUNERO,ALETA,FCA,NA,NA,NA,DE TIBURON TUNERO
ATUN,"ATUN ALETA AMARILLA DESV, DESC FCO",ALETA,"DESV,",DESC,FCO,NA,ATUN AMARILLA
TIBURON,ALETA SECA DE TIBURON COLUDO,ALETA,SECA DE,NA,NA,NA,TIBURON COLUDO
TIBURON,"ALETA FCA DE TIBURON ZORRO PINTO, ZORRO COMUN, COLUDO PINTO",ALETA,FCA,NA,NA,NA,"DE TIBURON ZORRO PINTO, ZORRO COMUN, COLUDO PINTO"
TIBURON,ALETA SECA DE TIBURON CORNUDA PRIETA,ALETA,SECA DE,NA,NA,NA,TIBURON CORNUDA PRIETA
ATUN,ATUN ALETA AZUL DE CULTIVO DESV. DSC. FCO.,ALETA,DE CULTIVO,DESV.,DSC.,FCO.,ATUN AZUL
ORNATO,ESPECIES DE ORNATO VIVAS,NA,NA,NA,NA,NA,ESPECIES DE ORNATO VIVAS
ORNATO,PECES DE ORNATO,NA,NA,NA,NA,NA,PECES DE ORNATO
ORNATO,PEZ PAYASO DE ORNATO DE CULTIVO  VIVO,DE CULTIVO,NA,NA,NA,NA,PEZ PAYASO DE ORNATO VIVO
OTRAS,PAYASO DESV. FCO.,DESV.,FCO.,NA,NA,NA,PAYASO
