"OHI_region_est","year","shrimp_score","shrimp_production_mt","finfish_score","finfish_production_mt","bivalve_score","bivalve_production_mt","total_production_mt","shrimp_catch_contribution","finfish_catch_contribution","bivalve_catch_contribution","shrimp_score_contribution","finfish_score_contribution","bivalve_score_contribution","total_score"
"Region_4",2024,39.8812871273092,1012.68,53.4829359513792,68.64,100,95.54,1176.86,0.860493176758493,0.0583246945261119,0.0811821287153952,8.92256961788292,1.78740239168773,5.65027615859151,16.3602481681622
"Region_6",2024,99.6356499404526,55109.02,83.3333333333333,1.1,30.9890455239292,82.83,55192.95,0.998479334770111,1.99300816499209e-05,0.00150073514823904,25.865875742702,0.000951661398783722,0.0323684194803857,25.8991958235812
"Region_7",2024,94.1899208102139,41962.74,NA,NA,57.3030397559877,66.13,42028.87,0.998426557744712,NA,0.00157344225528785,24.4508467862851,NA,0.0627534647795235,24.5136002510646
"Region_8",2024,92.334792215288,93496.7,7.77002861230329,8.69,100,3202.56,96707.95,0.966794353514887,8.98581760858337e-05,0.0331157883090273,23.2098764941448,0.000400068943362408,2.3048588663083,25.5151354293965
"Region_9",2024,100,11560.66,83.3333333333333,0.81,95.8829920714211,1140.16,12701.63,0.910171371705836,6.37713427331768e-05,0.0897648569514307,23.6644556643517,0.00304508161550919,5.99041845488693,29.6579192008542
NA,2024,79.0528706693668,1386.6,NA,NA,NA,NA,1386.6,1,NA,NA,20.5537463740354,NA,NA,20.5537463740354
"Region_2",2021,NA,NA,100,6.28,48.9031078610603,9.63,15.91,NA,0.394720301697046,0.605279698302954,NA,22.6174732872407,20.6016406270647,43.2191139143055
"Region_2",2022,NA,NA,59.8639455782313,3.52,100,35.77,39.29,NA,0.0895902265207432,0.910409773479257,NA,3.07312760685847,63.3645202341563,66.4376478410147
"Region_3",2018,NA,NA,NA,NA,61.6705985574511,1057.15,1057.15,NA,NA,1,NA,NA,42.922736595986,42.922736595986
"Region_3",2019,NA,NA,NA,NA,55.1234753714295,944.92,944.92,NA,NA,1,NA,NA,38.3659388585149,38.3659388585149
"Region_3",2020,NA,NA,NA,NA,73.6412808863438,1262.35,1262.35,NA,NA,1,NA,NA,51.2543314968953,51.2543314968953
"Region_3",2021,NA,NA,NA,NA,87.5738250413607,1501.18,1501.18,NA,NA,1,NA,NA,60.951382228787,60.951382228787
"Region_3",2022,NA,NA,NA,NA,85.6883842379016,1468.86,1468.86,NA,NA,1,NA,NA,59.6391154295795,59.6391154295795
"Region_2",2023,NA,NA,NA,NA,86.0755636806825,16.95,16.95,NA,NA,1,NA,NA,59.908592321755,59.908592321755
"Region_3",2023,NA,NA,NA,NA,69.866315713329,1197.64,1197.64,NA,NA,1,NA,NA,48.626955736477,48.626955736477
"Region_2",2024,NA,NA,NA,NA,16.6565102579728,3.28,3.28,NA,NA,1,NA,NA,11.5929311395491,11.5929311395491
"Region_3",2024,NA,NA,NA,NA,99.8956940545611,1712.4,1712.4,NA,NA,1,NA,NA,69.5274030619745,69.5274030619745
