"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2003,"Penaeus","Shrimps, prawns",8971636,514222656
2003,"Prionace","Sharks",221092.15,929560
2003,"Pseudobatos","Demersal marine fishes",1464584,13237641
2003,"Pseudupeneus","Demersal marine fishes",19498.1,447640
2003,"Rimapenaeus","Shrimps, prawns",311860,3991595
2003,"Sarda","Pelagic marine fish (excl. anchovy & sardine)",68172.45,273372
2003,"Sardinops","Anchovy & Sardine (small pelagics)",201260172.84,46329184
2003,"Scomber","Pelagic marine fish (excl. anchovy & sardine)",10085197.52,11272759
2003,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)",4251932.61,37307995
2003,"Scorpaena","Demersal marine fishes",124359.1,944814
2003,"Selene","Pelagic marine fish (excl. anchovy & sardine)",154540.6,818035
2003,"Seriola","Pelagic marine fish (excl. anchovy & sardine)",1388309.6,10569650
2003,"Sicyonia","Shrimps, prawns",204262.6,1226447
2003,"Sphoeroides","Demersal marine fishes",741186.25,12344179
2003,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)",500,3000
2003,"Sphyrna","Sharks",27133.85,146933
2003,"Squatina","Sharks",762652.7,7265856
2003,"Stereolepis","Demersal marine fishes",346,9410
2003,"Strongylocentrotus","Echinoderms",263989,6994284
2003,"Synodus","Demersal marine fishes",52894,251477
2003,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)",83027195.5,460594969
2003,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)",206036.5,808256
2003,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)",34543.25,1067259
2004,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",600.2,4140
2004,"Acanthurus","Demersal marine fishes",4326,87264
2004,"Aetobatus","Demersal marine fishes",39823.25,175277
2004,"Alopias","Sharks",3386,26302
2004,"Anisotremus","Demersal marine fishes",176514.65,1360077
2004,"Anoplopoma","Demersal marine fishes",41344.3,450218
2004,"Argopecten","Molluscs excl. Cephalopods",12819200,84829448
2004,"Ariopsis","Demersal marine fishes",10325,73745
2004,"Balistes","Demersal marine fishes",1413083.35,13739323
2004,"Brotula","Demersal marine fishes",271368.6,3016360
2004,"Calamus","Demersal marine fishes",19364,101066
