"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SINALOA","PAREDONES",NA,25.3249319444444,-108.234808125,"alert 1: multiple lat-long values in Hem's key that are more than 0.5 degree apart",25.3249319444444,-108.234808125,NA,NA,NA,NA
"SINALOA","MARISMA DE LAS CABRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","EL CHOYUDO",NA,28.1906,-111.271,NA,NA,NA,28.1906,-111.271,"Sonora_South",NA
"NAYARIT","ESTERO EL POZO (MARGEN IZQUIERDA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","EMBARCADERO SAN MIGUEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CHIRIMOYO, EL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","PRESA EL JIHUITE","freshwater",20.84889,-102.71861,NA,NA,NA,20.84889,-102.71861,"Nayarit/Jalisco","Reservoir near Tepatitlán de Morelos, Jalisco; coords from a locality/placename catalog. (tools.paintmaps.com)"
"JALISCO","PRESA DE LA VEGA","freshwater",20.67917,-103.82361,NA,NA,NA,20.67917,-103.82361,"Nayarit/Jalisco","Located in Teuchitlán, Jalisco. Ramsar fact sheet gives bounding box (20°33_50_–20°47_40_N; 103°47_30_–103°51_20_W); I’ve taken the midpoint as an approximate centroid. Use with a “rough” flag. (semadet.jalisco.gob.mx)"
"JALISCO","PRESA LA POLVORA","freshwater",20.5,-102.21667,NA,NA,NA,20.5,-102.21667,"Nayarit/Jalisco","“Presa La Pólvora” near Huáscato/Degollado, Jalisco. A UNAM thesis on the project states its site is at 20°30_N, 102°13_W (I converted to decimal). CONAPESCA’s open “Avisos de Arribo y Cosecha 2025” file confirms that key 1404054 is PRESA LA POLVORA in Jalisco. (Tesi UNAM Documentos)"
"NAYARIT","CHACALA",NA,21.1630081944444,-105.224635416667,"high confidence",21.1630081944444,-105.224635416667,NA,NA,NA,NA
"NAYARIT","AYALAS, LOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CONCHAS, LAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","RINCON, EL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SANTA ROSALIA (B.C.S.)",NA,27.34,-112.27,NA,NA,NA,27.34,-112.27,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","LA ESCOLLERA",NA,23.634501,-102.552784,"high confidence",23.634501,-102.552784,NA,NA,NA,NA
"BAJA CALIFORNIA","PUNTA EL PESCADOR",NA,28.9362636,-113.3833794,"high confidence",28.9362636,-113.3833794,28.9368,-113.3828,"Baja_California_South",NA
"BAJA CALIFORNIA","VALLE TRANQUILO",NA,30.6101959,-115.4996042,"alert 1: multiple lat-long values in Hem's key that are more than 0.5 degree apart",30.6101959,-115.4996042,31.2532,-114.8907,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","ENSENADA BLANCA",NA,25.7278455555556,-111.253063055556,"high confidence",25.7278455555556,-111.253063055556,25.7252,-111.2205,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA","PUERTECITOS",NA,30.3488268055556,-114.641262777778,"high confidence",30.3488268055556,-114.641262777778,30.3467,-114.6422,"Baja_California_South",NA
