"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"NAYARIT","CORRAL DEL RISCO",NA,20.77478455,-105.51286825,"high confidence",20.77478455,-105.51286825,NA,NA,NA,NA
"NAYARIT","CORTINA, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","ARROYO DE SAN PABLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","PRESA CORRINCHIS","freshwater",20.5528,-104.7813,NA,NA,NA,20.5528,-104.7813,"Nayarit/Jalisco","Also called “Presa Corrinchis”, municipality of Mascota, Jalisco; commonly mapped dam."
"BAJA CALIFORNIA SUR","EL SARGENTO",NA,24.0816686111111,-109.993689166667,"high confidence",24.0816686111111,-109.993689166667,24.1172,-110.0003,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","LA RAMADITA (SAN NICOLAS)",NA,26.7,-111.9,NA,NA,NA,26.7,-111.9,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","SAN RAFAEL",NA,28.5766,-113.1228,"alert 4: the lat-long values in Hem's key do not match the lat-long values in Mel's key by more than 2 degrees",31.6737611111111,-116.526531388889,28.5766,-113.1228,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","BAHIA CONCEPCION B.C.SUR.",NA,26.81,-111.89,NA,NA,NA,26.81,-111.89,"Baja_California_Sur_North",NA
"NAYARIT","ESTERO DE SAN CRISTOBAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","PLATANO, EL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LITORAL (TOPOLOBAMPO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO LAZARO CARDENAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PRESA A. OBREGON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LOS BARRILES",NA,23.6806008333333,-109.7045775,"high confidence",23.6806008333333,-109.7045775,23.6773,-109.6975,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA","EL AFERRADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","SAN PEDRO ITZICAN","freshwater",20.3155555555556,-102.951944444444,"high confidence",20.3155555555556,-102.951944444444,20.4703,-102.9904,"Nayarit/Jalisco","Peninsula on the north-east shore of Lake Chapala; fishing community."
"SINALOA","PLAYA NORTE",NA,23.096,-106.288,"high confidence",23.096,-106.288,NA,NA,NA,NA
"SONORA","BAHIA TOBARI",NA,27.0804,-110.048,"high confidence",27.0804,-110.048,27.0652,-109.9985,"Sonora_South",NA
"SONORA","PLAYA DEL SOL",NA,27.5658,-110.413,"high confidence",27.5658,-110.413,27.5658,-110.413,"Sonora_South",NA
"SONORA","REC PORTUARIO",NA,27.92,-110.9,NA,NA,NA,27.92,-110.9,"Sonora_South",NA
