stockid,year,ram_bmsy,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country
CMACKPCOAST,2002,0.222300317922146,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2003,0.259077944048971,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2004,0.262347066371356,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2005,0.240280490695261,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2006,0.328546793399642,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2007,0.463398089198003,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
CMACKPCOAST,2008,0.679977443055976,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
SFMAKONPAC,2001,1.311346,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2002,1.315922,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2003,1.320972,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2004,1.325548,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2005,1.329493,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2006,1.333123,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2007,1.337068,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2008,1.333,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2009,1.347,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2010,1.37,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2011,1.345,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2012,1.378,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2013,1.351,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2014,1.35,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
SFMAKONPAC,2015,1.38,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
