landing_site,clave,subregion,long,lat,State,hand_added,notes
PAZ ENSENADA DE LA,108,3.0108,-110.3887,24.1361,Baja California Sur,,
PAZ ENSENADA DE LA,108,3.0108,-110.3887,24.1361,Baja California Sur,,"unclear, given these data are in Baja Sur"
PAZ LA,106,3.0106,-110.3229,24.1494,Baja California Sur,,
PE√ëASCO,NA,3,-113.54,31.31,Baja California Sur,yes,probably in Sonora
PEQUEÑA PUNTA,149,2.0149,-112.4912,26.2283,Baja California Sur,,
PERDIDO BAJO DEL,46,2.0046,-115.266,28.039,Baja California Sur,,
PERICO CAMPO PUNTA,46,3.0046,-109.8094,24.0323,Baja California Sur,,
PICHILINGUE,102,3.0102,-110.3326,24.2831,Baja California Sur,,
PICKETSON PUNTA,276,2.0276,-111.6877,24.5542,Baja California Sur,,
PIEDRA ISLOTE LA,25,2.0025,-114.1644,27.703,Baja California Sur,,
PIEDRAS GORDAS ISLA CERRALVO,51,3.0051,-109.8687,24.1564,Baja California Sur,,
PIEDRITAS LAS,100,2.01,-113.5919,26.7124,Baja California Sur,,
PILITAS PUNTA,98,3.0098,-110.2972,24.3546,Baja California Sur,,
PLAYA SALINAS,10,3.001,-109.628,23.073,Baja California Sur,,
PLAYA TLALOC,NA,NA,NA,NA,Baja California Sur,yes,
PLAYITA BOCA DE,362,2.0362,-110.0403,22.9333,Baja California Sur,,
PLAYITA DE ENMEDIO,NA,NA,NA,NA,Baja California Sur,yes,
PLAYITAS LAS,341,2.0341,-110.2837,23.5172,Baja California Sur,,
PORVENIR,142,2.0142,-112.9266,26.5274,Baja California Sur,,
POZA LA,185,2.0185,-112.088,25.478,Baja California Sur,,
POZA LA ARROYO DE,186,2.0186,-112.0138,25.4725,Baja California Sur,,
POZO DE COTA PUNTA,357,2.0357,-110.1162,23.0542,Baja California Sur,,
POZO DE FEDRICO,NA,2,-112,25,Baja California Sur,yes,
PRADOS LOS,202,2.0202,-112.1188,25.1926,Baja California Sur,,
PRESA ALBERTO ANDRES ALVARADO ARAMBURO (PRESA LA HIGUERILLA),NA,NA,NA,NA,Baja California Sur,yes,
PRIETA PUNTA DOS,246,3.0246,-111.9556,26.9161,Baja California Sur,,
PRIETA PUNTA ESPIRITU SANTO,127,3.0127,-110.3846,24.4531,Baja California Sur,,
PUERTO CAN CUN (O PTO. ROSS),NA,2,-111.751,24.551,Baja California Sur,yes,
PUERTO CUCHILLO,NA,3,-110.93,24.97,Baja California Sur,yes,
