state,landing_site,OHI_rgn,long,lat,GulfCal
BAJA CALIFORNIA,GUADALUPE,Baja_California_North,-116.359,31.255,no
BAJA CALIFORNIA,BUFADORA,Baja_California_North,-116.7139,31.7201,no
BAJA CALIFORNIA,SAN MARCOS (EN ISLA SAN MARCOS),Baja_California_South,-112.101,27.233,yes
BAJA CALIFORNIA,COLORADITA O PUERTO ESCONDIDO (I. DE CEDROS),Baja_California_South,-115.351,28.116,no
BAJA CALIFORNIA,VARDERO LOS HOJITOS,Baja_California_South,-114.09,28.296,no
BAJA CALIFORNIA,PUNTA EL TOMATAL,Baja_California_South,-114.06,28.494,no
BAJA CALIFORNIA,EL QUEMADO,Baja_California_South,-113.412,28.929,yes
BAJA CALIFORNIA,PUNTA CHINA,Baja_California_North,-116.6455,31.5105,no
BAJA CALIFORNIA,ISLA SANTA ISABEL O EL HUERFANITO,Baja_California_South,-114.476,29.603,yes
BAJA CALIFORNIA,PUNTA MORRO,Baja_California_North,-116.6678,31.8576,no
BAJA CALIFORNIA,GUERRERO NEGRO,Baja_California_South,-114.044,27.98,no
BAJA CALIFORNIA,BAHIA BLANCA,Baja_California_South,-114.699,29.102,no
BAJA CALIFORNIA,LA CARDONOSA,Baja_California_South,-113.5831,29.1189,yes
BAJA CALIFORNIA,BAHIA TORTUGAS,Baja_California_South,-114.893,27.69,no
BAJA CALIFORNIA,ISLA SALSIPUEDES,Baja_California_South,-112.98,28.7362,yes
BAJA CALIFORNIA,PUNTA MARIA,Baja_California_South,-114.53,28.921,no
BAJA CALIFORNIA,BAHIA ASUNCION,Baja_California_South,-114.292,27.129,no
BAJA CALIFORNIA,VARADERO ALTAMIRA,Baja_California_South,-114.079,28.326,no
BAJA CALIFORNIA,PUNTA SAN TELMO,Baja_California_South,-116.2422,30.9344,no
BAJA CALIFORNIA,LA TOBA (CAMPO),Baja_California_South,-114.6338,30.43,yes
BAJA CALIFORNIA,COLORADITO,Baja_California_South,-114.6692,30.5795,no
BAJA CALIFORNIA,ISLA RAZA,Baja_California_South,-112.977,28.8074,yes
BAJA CALIFORNIA,NA,Baja_California_North,-117.0374,32.287,no
BAJA CALIFORNIA,AGUA CHALE,Baja_California_South,-114.7053,30.721800000000002,yes
BAJA CALIFORNIA,ARROYO (EN I. DE CEDROS),Baja_California_South,-115.216,28.189,no
BAJA CALIFORNIA,CAMPO LIMA (EN I. GUADALUPE),Baja_California_South,-118.377,29.0556,no
BAJA CALIFORNIA,RASPORIA,Baja_California_South,-114.0629,28.3666,no
BAJA CALIFORNIA,GUAYMAS,Baja_California_South,-110.905,27.918,yes
BAJA CALIFORNIA,ISLA ENCANTADA (CENTRO),Baja_California_North,-114.837,31.024,yes
BAJA CALIFORNIA,ZONA COLORADITO,Baja_California_South,-114.6692,30.5795,no
BAJA CALIFORNIA,EL WIDO,Baja_California_South,-114.066,28.366,no
BAJA CALIFORNIA,ISLA MIRAMAR,Baja_California_South,-114.5414,30.0851,yes
BAJA CALIFORNIA,PUERTO LIBERTAD,Baja_California_South,-112.673,29.909,yes
BAJA CALIFORNIA,CAMPO PESQUERO JUAREZ,Baja_California_South,-118.365,29.035,no
BAJA CALIFORNIA,PUNTA NORTE (I. CEDROS),Baja_California_South,-115.216,28.189,no
BAJA CALIFORNIA,PIEDRA AHOGADA,Baja_California_South,-115.009,29.3837,no
BAJA CALIFORNIA,BAHIA DE PUERTO ANGEL,Baja_California_South,-113.551,29.03,yes
BAJA CALIFORNIA,EL CARACOL,Baja_California_North,-116.6246,31.8592,no
BAJA CALIFORNIA,PUNTA MEZQUITE,Baja_California_North,-116.898,32.143,no
BAJA CALIFORNIA,ISLA SAN LORENZO,Baja_California_South,-112.8289,28.6336,yes
BAJA CALIFORNIA,ISLA SAN BENITO,Baja_California_South,-114.09,28.306,no
BAJA CALIFORNIA,LA VIBORA (I. ANGEL DE LA GUARDA),Baja_California_South,-113.3649,29.2898,yes
BAJA CALIFORNIA SUR,PICHILINGUE,Baja_California_Sur_South,-110.3326,24.2831,yes
BAJA CALIFORNIA SUR,SAN CARLOS,Baja_California_Sur_South,-111.9669,24.7661,no
