state,fishing_site_name,fishing_site_clean
BAJA CALIFORNIA,BAHIA ENSENADA,Bahia Ensenada
BAJA CALIFORNIA,EL PLAYONCITO SAN VICENTE,El Playoncito San Vicente
BAJA CALIFORNIA,BAHIA DE SAN SEBASTIAN VISCAINO,Bahia De San Sebastian Viscaino
BAJA CALIFORNIA,ROSALIITA,Rosaliita
BAJA CALIFORNIA,TOMATAL ROSALIITA,Tomatal Rosaliita
BAJA CALIFORNIA,LAGUNA MANUELA,Laguna Manuela
BAJA CALIFORNIA,EL MUERTITO O PUNTA ROSARITO (VARADERO),El Muertito O Punta Rosarito (Varadero)
BAJA CALIFORNIA,PUNTA DIABLO,Punta Diablo
BAJA CALIFORNIA,MARRON,Marron
BAJA CALIFORNIA,PUNTA CONO,Punta Cono
BAJA CALIFORNIA,EL MUERTITO,El Muertito
BAJA CALIFORNIA,PUNTA LA GRINGA,Punta La Gringa
BAJA CALIFORNIA SUR,PIEDRA BOLAS,Piedra Bolas
BAJA CALIFORNIA,EL QUEMADO,El Quemado
BAJA CALIFORNIA,PUNTA REFUGIO (I ANGEL DE LA GUARDA),Punta Refugio (I Angel De La Guarda)
BAJA CALIFORNIA,PUERTO DON JUAN,Puerto Don Juan
BAJA CALIFORNIA,LA VIBORA (I ANGEL DE LA GUARDA),La Vibora (I Angel De La Guarda)
BAJA CALIFORNIA,EL SOLDADO,El Soldado
BAJA CALIFORNIA,GUADALUPE,Guadalupe
BAJA CALIFORNIA,LA CHORERA,La Chorera
BAJA CALIFORNIA,BAHIA EL ROSARIO,Bahia El Rosario
BAJA CALIFORNIA,CAMPO NUEVO,Campo Nuevo
BAJA CALIFORNIA,BAJOS DE SAN CARLOS,Bajos De San Carlos
BAJA CALIFORNIA,COLORADITO,Coloradito
BAJA CALIFORNIA,PIEDRA SAN ANTONIO,Piedra San Antonio
BAJA CALIFORNIA SUR,CABO CORZO,Cabo Corzo
BAJA CALIFORNIA,E SARGASAL,E Sargasal
BAJA CALIFORNIA,LA PUNTITA (VARADERO),La Puntita (Varadero)
BAJA CALIFORNIA,ISLA SAN JERONIMO,Isla San Jeronimo
SONORA,PLAYA DEL SOL,Playa Del Sol
SONORA,LA MANGA,La Manga
SONORA,ENSENADA GRANDE,Ensenada Grande
BAJA CALIFORNIA SUR,LA TRINIDAD,La Trinidad
SONORA,EL JAGUEY,El Jaguey
SONORA,CABO HARO,Cabo Haro
SONORA,BANCO UNO,Banco Uno
SONORA,BAHIA LAS GUASIMAS,Bahia Las Guasimas
BAJA CALIFORNIA,BAJO SAN RAMON,Bajo San Ramon
BAJA CALIFORNIA SUR,ISLA LAS ANIMAS,Isla Las Animas
BAJA CALIFORNIA SUR,ISLA SAN ROQUE,Isla San Roque
SINALOA,DISTRITO DE RIEGO NO 75,Distrito De Riego No 75
