state,fishing_site_name,fishing_site_clean
SINALOA,PREDIO MAPAHUI (CULT),Predio Mapahui (Cult)
BAJA CALIFORNIA SUR,PUNTA COLORADA (EN SANTA ROSALIA),Punta Colorada (En Santa Rosalia)
JALISCO,PRESA LA COLONIA,Presa La Colonia
SONORA,PRESA CAJON DE ONAPA,Presa Cajon De Onapa
SINALOA,HECHOTEHUECA,Hechotehueca
BAJA CALIFORNIA SUR,AGUAS LITORALES (BAHIA ASUNSION),Aguas Litorales (Bahia Asunsion)
BAJA CALIFORNIA SUR,PUNTA LUPONA (EN ISLA ESPIRITU SANTO),Punta Lupona (En Isla Espiritu Santo)
SINALOA,LA UNION DEL TIGRE (CULT),La Union Del Tigre (Cult)
BAJA CALIFORNIA,EL CARACOL,El Caracol
SINALOA,COSTA TULUM,Costa Tulum
SINALOA,EL OSTIONAL (CULT),El Ostional (Cult)
BAJA CALIFORNIA SUR,U�A DE GATO,Uóa De Gato
BAJA CALIFORNIA SUR,ISLA DE PATOS,Isla De Patos
BAJA CALIFORNIA SUR,ESTERO EL CAREY,Estero El Carey
BAJA CALIFORNIA SUR,ESTERO EL 40,Estero El 40
SONORA,FRENTE A PUERTO PE�ASCO,Frente A Puerto Peóasco
BAJA CALIFORNIA SUR,ARROYO SANTO DOMINGO,Arroyo Santo Domingo
SINALOA,LA ORQUETA (CULT),La Orqueta (Cult)
SINALOA,EL RECREO,El Recreo
SONORA,EL RASTRO,El Rastro
SONORA,GUAYMAS-PUNTA LOBOS,Guaymas-Punta Lobos
BAJA CALIFORNIA SUR,LAS ISLITAS,Las Islitas
SINALOA,PENINSULA DE LUCENILLA (CULT),Peninsula De Lucenilla (Cult)
JALISCO,ESTERO EL ERMITA�O,Estero El Ermitaóo
JALISCO,PRESA TEXCALAME,Presa Texcalame
BAJA CALIFORNIA SUR,CAYUCO,Cayuco
JALISCO,LAS MARISMAS,Las Marismas
SINALOA,CALIHUEY,Calihuey
BAJA CALIFORNIA SUR,PUNTA MALARRIMO,Punta Malarrimo
SINALOA,BORDO PRIETO,Bordo Prieto
BAJA CALIFORNIA SUR,PUERTO ASTORGA,Puerto Astorga
BAJA CALIFORNIA SUR,EL PROGRESO,El Progreso
BAJA CALIFORNIA SUR,ESTERO AGUA DULCE Y ANGOSTO,Estero Agua Dulce Y Angosto
BAJA CALIFORNIA SUR,PUNTA MONTALVA,Punta Montalva
BAJA CALIFORNIA,SAN JUAN DE LAS PULGAS (VARADERO),San Juan De Las Pulgas (Varadero)
SINALOA,GRANJA MARISMAS DEL PACIFICO (CULT),Granja Marismas Del Pacifico (Cult)
SONORA,LA LUNA A TASTIOTA,La Luna A Tastiota
BAJA CALIFORNIA SUR,BAJO DEL PERDIDO,Bajo Del Perdido
SONORA,EL TORNILLAL,El Tornillal
BAJA CALIFORNIA SUR,EL BARRIL BCN,El Barril Bcn
BAJA CALIFORNIA SUR,BAHIA SAN LUCAS,Bahia San Lucas
JALISCO,PRESA CORRINCHIS,Presa Corrinchis
BAJA CALIFORNIA SUR,ESTERO LAS BALSAS,Estero Las Balsas
SONORA,PRESA EL NOVILLO,Presa El Novillo
BAJA CALIFORNIA,ZONA AUTORIZADA RIBERE�A,Zona Autorizada Ribereóa
BAJA CALIFORNIA SUR,EL FRAILE,El Fraile
BAJA CALIFORNIA SUR,LA ANTENA,La Antena
BAJA CALIFORNIA SUR,MINITAS (EN ISLA SAN JOSE),Minitas (En Isla San Jose)
SINALOA,GRAL ANGEL FLORES ANEXOS     (CULT),Gral Angel Flores Anexos (Cult)
BAJA CALIFORNIA SUR,CAMPO LOS CORRALES BCN,Campo Los Corrales Bcn
SINALOA,BARADITO Y ALTAMURA,Baradito Y Altamura
BAJA CALIFORNIA,BAJO QUELELE,Bajo Quelele
BAJA CALIFORNIA SUR,HORNITOS NUEVOS,Hornitos Nuevos
BAJA CALIFORNIA SUR,LAS ARENITAS,Las Arenitas
BAJA CALIFORNIA SUR,SAN FRANCISQUITO BCN,San Francisquito Bcn
BAJA CALIFORNIA SUR,CAMPO ENMEDIO,Campo Enmedio
SONORA,LA ATANASIA,La Atanasia
BAJA CALIFORNIA SUR,CANAL SAN LORENZO,Canal San Lorenzo
BAJA CALIFORNIA,LA FONDA,La Fonda
BAJA CALIFORNIA SUR,PUNTA BALLENA (ISLA ESPIRTU SANTO),Punta Ballena (Isla Espirtu Santo)
JALISCO,BAHIA PERULA,Bahia Perula
BAJA CALIFORNIA SUR,PIEDRA NEGRA,Piedra Negra
BAJA CALIFORNIA SUR,ISLA LA GALLINA,Isla La Gallina
BAJA CALIFORNIA SUR,AGUAS LITORALES (LA PAZ),Aguas Litorales (La Paz)
SONORA,BANCO DOS,Banco Dos
JALISCO,PLAYA PERULA,Playa Perula
SONORA,BALNEARIO VENECIA,Balneario Venecia
SINALOA,EUSTAQUIO BUELNA (PRESA),Eustaquio Buelna (Presa)
JALISCO,BAHIA DE CHAMELA,Bahia De Chamela
SONORA,COLORADO SAN JOSE,Colorado San Jose
SONORA,LOS BA�OS,Los Baóos
JALISCO,PRESA TRIGO MIL,Presa Trigo Mil
SONORA,EL TOMATE,El Tomate
JALISCO,PRESA ALACAPARROSA,Presa Alacaparrosa
SONORA,CP PESQUERO COCHORIT,Cp Pesquero Cochorit
SINALOA,EL GALERON,El Galeron
BAJA CALIFORNIA SUR,POZO DE FEDERICO,Pozo De Federico
SINALOA,BAHIA VINORAMA,Bahia Vinorama
JALISCO,PRESA EL SALTO,Presa El Salto
SINALOA,LA CAMPANA (PRESA),La Campana (Presa)
BAJA CALIFORNIA SUR,BANCO DE LOS TITERES,Banco De Los Titeres
SINALOA,CA�ALES,Caäales
BAJA CALIFORNIA SUR,PUNTA LOBOS (EN LORETO),Punta Lobos (En Loreto)
JALISCO,LAGUNA EL TECUAN,Laguna El Tecuan
BAJA CALIFORNIA,COSTA OCCIDENTAL DE LA PENINSULA,Costa Occidental De La Peninsula
SONORA,VALLE DEL YAQUI,Valle Del Yaqui
SINALOA,ESTERO LA BOLANITA,Estero La Bolanita
SONORA,TASTIOTA,Tastiota
BAJA CALIFORNIA,ROCA COMSAG,Roca Comsag
BAJA CALIFORNIA SUR,LAS CRUCES (EN LA PAZ),Las Cruces (En La Paz)
BAJA CALIFORNIA SUR,LA JICAMA,La Jicama
BAJA CALIFORNIA SUR,ROCA MARIA,Roca Maria
JALISCO,RIO PURIFICACION,Rio Purificacion
SINALOA,BAHIA DEL CONCHAL,Bahia Del Conchal
