state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,LAS ANIMAS,ANIMAS LAS,28.8001,-113.3504,yes
BAJA CALIFORNIA,BAHIA SAN SEBASTIAN,BAHIA SAN SEBASTIAN,26.61715,-111.56762,yes
BAJA CALIFORNIA,ARROYO AMARGO,ARROYO AMARGO,NA,NA,NA
BAJA CALIFORNIA,SALINAS,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,EL CHUPADERO,EL CHUPADERO,NA,NA,NA
BAJA CALIFORNIA,SAN LUIS GONZAGA,SAN LUIS GONZAGA,29.7675,-114.3672,yes
BAJA CALIFORNIA,SAN FRANCISQUITO B.C.N.,SAN FRANCISQUITO B.C.N.,28.41063,-112.85712,yes
BAJA CALIFORNIA,LA MERCED,LA MERCED,NA,NA,NA
BAJA CALIFORNIA,PUERTO ANGEL,ANGELES BAHÍA DE LOS,29.03,-113.551,yes
BAJA CALIFORNIA,POB. LUIS GIL PEREZ,POB. LUIS GIL PEREZ,NA,NA,NA
BAJA CALIFORNIA,PUERTO CANOAS,CANOAS PUERTO,29.4158,-115.1168,no
BAJA CALIFORNIA,BAJO BALLENAS,BAJO BALLENAS,29.33,-113.55,yes
BAJA CALIFORNIA,PLAYA SALINAS,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,PUNTA BLANCA,BLANCA PUNTA,30.2716,-115.59415,no
BAJA CALIFORNIA,EL PAPALOTE,PAPALOTE EL,30.4807,-115.9419,no
BAJA CALIFORNIA,VILLA DE JESUS MARIA,DE JESUS MARÍA VILLA,28.2338,-114.0005,no
BAJA CALIFORNIA,SANTA MARIA,SANTA MARÍA,30.405,-115.974,no
BAJA CALIFORNIA,LOS MORROS COLORADOS,MORROS COLORADOS LOS,29.3659,-114.956,no
BAJA CALIFORNIA,ELEHUTE,ELEHUTE,NA,NA,NA
BAJA CALIFORNIA,EL PAPAYO,EL PAPAYO,NA,NA,NA
BAJA CALIFORNIA,PUNTA BANDERA,BANDERA PUNTA,32.448,-117.106,no
BAJA CALIFORNIA,PUERTO ARBOLITOS,ARBOLITOS PUERTO DE,31.7043,-116.6637,no
BAJA CALIFORNIA,EL MUELLE,MUELLE,31.8525,-116.633,no
BAJA CALIFORNIA,PUNTA CONCEPCION,PUNTA CONCEPCION,26.935,-111.952,yes
BAJA CALIFORNIA,ERENDIRA,ERÉNDIRA,31.2624,-116.381,no
