"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Carcharhinus plumbeus","TIBURON","TIBURON ALETA CARTON ENT. FCO. (CARCHARHINUS PLUMBEUS)","ALETA","ENT.","FCO.",NA,NA,"TIBURON CARTON (CARCHARHINUS PLUMBEUS)","CARCHARHINUS PLUMBEUS","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae"
"Cetengraulis mysticetus","SARDINA","SARDINA BOCONA IND. (CETENGRAULIS MYSTICETUS)","IND.",NA,NA,NA,NA,"SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","CETENGRAULIS MYSTICETUS","Cetengraulis mysticetus","Cetengraulis","Engraulidae"
"Cetengraulis mysticetus","SARDINA","SARDINA BOCONA ENT. FCA. (CETENGRAULIS MYSTICETUS)","ENT.","FCA.",NA,NA,NA,"SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","CETENGRAULIS MYSTICETUS","Cetengraulis mysticetus","Cetengraulis","Engraulidae"
"Cetengraulis mysticetus","SARDINA","SARDINA BOCONA DESV. FCA. (CETENGRAULIS MYSTICETUS)","DESV.","FCA.",NA,NA,NA,"SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","CETENGRAULIS MYSTICETUS","Cetengraulis mysticetus","Cetengraulis","Engraulidae"
"Crassostrea gigas","OSTION","OSTION JAPONES (CRASSOSTREA GIGAS)",NA,NA,NA,NA,NA,"OSTION JAPONES (CRASSOSTREA GIGAS)","CRASSOSTREA GIGAS","Magallana gigas","Magallana","Ostreidae"
"Crassostrea sikamea","OSTION","OSTION KUMAMOTO (CRASSOSTREA SIKAMEA)",NA,NA,NA,NA,NA,"OSTION KUMAMOTO (CRASSOSTREA SIKAMEA)","CRASSOSTREA SIKAMEA","Magallana sikamea","Magallana","Ostreidae"
"Engraulis mordax","ANCHOVETA","ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX)","ENT.","FCA.",NA,NA,NA,"ANCHOVETA (ENGRAULIS MORDAX)","ENGRAULIS MORDAX","Engraulis mordax","Engraulis","Engraulidae"
"Engraulis mordax","ANCHOVETA","ANCHOVETA IND. (ENGRAULIS MORDAX)","IND.",NA,NA,NA,NA,"ANCHOVETA (ENGRAULIS MORDAX)","ENGRAULIS MORDAX","Engraulis mordax","Engraulis","Engraulidae"
"Etrumeus acuminatus","SARDINA","SARDINA JAPONESA ENT. FCA. (ETRUMEUS ACUMINATUS)","ENT.","FCA.",NA,NA,NA,"SARDINA JAPONESA (ETRUMEUS ACUMINATUS)","ETRUMEUS ACUMINATUS","Etrumeus acuminatus","Etrumeus","Dussumieriidae"
"Etrumeus acuminatus","SARDINA","SARDINA JAPONESA IND. (ETRUMEUS ACUMINATUS)","IND.",NA,NA,NA,NA,"SARDINA JAPONESA (ETRUMEUS ACUMINATUS)","ETRUMEUS ACUMINATUS","Etrumeus acuminatus","Etrumeus","Dussumieriidae"
"Galeocerdo cuvier","TIBURON","TIBURON TIGRE DESV. FCO. (GALEOCERDO CUVIER)","DESV.","FCO.",NA,NA,NA,"TIBURON TIGRE (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Galeocerdo cuvier","TIBURON","TINTORERA DESV. Y DESC. FCA. (GALEOCERDO CUVIER)","DESV.","DESC.","FCA.",NA,NA,"TINTORERA (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Galeocerdo cuvier","TIBURON","TINTORERA ENT. FCA. (GALEOCERDO CUVIER)","ENT.","FCA.",NA,NA,NA,"TINTORERA (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Galeocerdo cuvier","TIBURON","TINTORERA DESC. FCA. (GALEOCERDO CUVIER)","DESC.","FCA.",NA,NA,NA,"TINTORERA (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Galeocerdo cuvier","TIBURON","TIBURON TIGRE DESV. Y DESC. FCO. (GALEOCERDO CUVIER)","DESV.","DESC.","FCO.",NA,NA,"TIBURON TIGRE (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Galeocerdo cuvier","TIBURON","TIBURON TIGRE ENT. FCO. (GALEOCERDO CUVIER)","ENT.","FCO.",NA,NA,NA,"TIBURON TIGRE (GALEOCERDO CUVIER)","GALEOCERDO CUVIER","Galeocerdo cuvier","Galeocerdo","Carcharhinidae"
"Isurus oxyrinchus","TIBURON","TIBURON MAKO DESV. Y DESC. FCO. (ISURUS OXYRINCHUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON MAKO (ISURUS OXYRINCHUS)","ISURUS OXYRINCHUS","Isurus oxyrinchus","Isurus","Lamnidae"
