"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2002,"Anisotremus","Demersal marine fishes","OTRAS",150619.1,871607
2002,"Anoplopoma","Demersal marine fishes","OTRAS",19657,138541
2002,"Argopecten","Molluscs excl. Cephalopods","ALMEJA",9850647,50140465
2002,"Ariopsis","Demersal marine fishes","BAGRE",6361,34042
2002,"Balistes","Demersal marine fishes","OTRAS",413427.15,3260652
2002,"Brotula","Demersal marine fishes","LENGUADO",32845.4,356028
2002,"Calamus","Demersal marine fishes","MOJARRA",18015,91356
2002,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",38570,1838110
2002,"Carcharhinus","Sharks","TIBURON",86126.3,278020
2002,"Caulolatilus","Demersal marine fishes","PIERNA",629178.95,3697335
2002,"Centropomus","Demersal marine fishes","ROBALO",328224,7668837
2002,"Chanos","Diadromous fishes","OTRAS",33938.5,129680
2002,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",124200.35,1558389
2002,"Cynoscion","Demersal marine fishes","CORVINA",5059757.45,38346394
2002,"Diapterus","Demersal marine fishes","MOJARRA",8127,48389
2002,"Diplectrum","Demersal marine fishes","OTRAS",72918.85,1472540
2002,"Dosidicus","Cephalopods","CALAMAR",41982182.95,39100199
2002,"Dosinia","Molluscs excl. Cephalopods","ALMEJA",83341,262218
2002,"Epinephelus","Demersal marine fishes","MERO",45719.5,653211
2002,"Especies","Echinoderms","PEPINO DE MAR",290459,2393367
2002,"Eucinostomus","Demersal marine fishes","MOJARRA",84368,622349
2002,"Eugerres","Demersal marine fishes","MOJARRA",21979,119139
2002,"Galeocerdo","Sharks","TIBURON",3712.5,17517
2002,"Gelidium","Marine algae","ALGAS",5200598,8591979
2002,"Gerres","Demersal marine fishes","BANDERA",78452.9,482693
2002,"Ginglymostoma","Sharks","TIBURON",127.3,818
2002,"Haemulon","Demersal marine fishes","OTRAS",337328,1578338
2002,"Haemulopsis","Demersal marine fishes","RONCO",99760.1,523398
2002,"Haliotis","Molluscs excl. Cephalopods","ABULON",602441.54,37017956
2002,"Hexaplex","Molluscs excl. Cephalopods","CARACOL",51000,0
2002,"Hoplopagrus","Demersal marine fishes","PARGO",74381.6,995659
2002,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES",1135521.8,6024502
2002,"Hyporthodus","Demersal marine fishes","MERO",262095.85,6036919
2002,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",452,2908
2002,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE",418725,3295416
2002,"Lamna","Sharks","TIBURON",9310,98267
2002,"Litopenaeus","Shrimps, prawns","CAMARON",4128,272000
2002,"Lobatus","Molluscs excl. Cephalopods","CARACOL",400,5200
2002,"Lutjanus","Demersal marine fishes","GUACHINANGO",2349832.85,47335822
2002,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA",1402369,5196188
2002,"Megastraea","Molluscs excl. Cephalopods","CARACOL",1751166,3959798
2002,"Menticirrhus","Demersal marine fishes","BERRUGATA",227045.1,763099
2002,"Merluccius","Demersal marine fishes","OTRAS",38756.2,197235
2002,"Mesocentrotus","Echinoderms","ERIZO",1623762,34100934
2002,"Microlepidotus","Demersal marine fishes","OTRAS",108756,1271594
2002,"Micropogonias","Demersal marine fishes","BERRUGATA",1140110.2,5538964
2002,"Mobula","Demersal marine fishes","RAYA Y SIMILARES",768506.65,4452691
2002,"Mugil","Demersal marine fishes","LISA",2824808,12933465
2002,"Mustelus","Sharks","TIBURON",94400.25,943907
2002,"Mycteroperca","Demersal marine fishes","CABRILLA",488733.85,6841454
2002,"Nematistius","Demersal marine fishes","OTRAS",531.9,4841
2002,"Nicholsina","Demersal marine fishes","OTRAS",1861,26940
