recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
PECES DE ORNATO,tetra pingüino,unknown,not applicable,no data in keys,NA,genus unknown,NA,freshwater tetra,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,tetra rojo,unknown,not applicable,no data in keys,NA,genus unknown,NA,freshwater tetra,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
ORNATO,tetra rojo,unknown,not applicable,no data in keys,NA,genus unknown,NA,Red tetra; freshwater; likely ornamental,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,topote,unknown,not applicable,no data in keys,NA,genus unknown,NA,Mollies; freshwater; likely ornamental,POSSIBLY,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,topote del pacífico,unknown,not applicable,no data in keys,NA,genus unknown,NA,Likely freshwater,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,medusa bola cañon,Stomolophus meleagris,not applicable,no data in keys,NA,genus unknown,NA,Jellyfish!,NO,NA,Jellies,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,medusa bola ca�on,Stomolophus meleagris,not applicable,no data in keys,NA,genus unknown,NA,Jellyfish!,NO,NA,Jellies,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,plantas acuaticas,unknown,not applicable,no data in keys,NA,genus unknown,NA,Plants or algae of some sort,NO,NA,Marine algae,Assigned_Manually: OTRAS treated differently than other major groups
ORNATO,barbo,unknown,not applicable,no data in keys,NA,genus unknown,NA,Some sort of fish,NO,NA,Marine fishes NEI,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,jordan,unknown,not applicable,no data in keys,NA,genus unknown,NA,My gut tells me sort of fish,NO,NA,Marine fishes NEI,Assigned_Manually: OTRAS treated differently than other major groups
