"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"OTRAS","TOMATE","tomate","ENT","FCO",NA,NA,NA
"RAYA Y SIMILARES","VIOLA","viola","ENT","FCA",NA,NA,NA
"OTRAS","BOCA NOVIA","boca novia","ENT","FCA",NA,NA,NA
"RAYA Y SIMILARES","RAYA CUBANITA","raya cubanita","ENT","FCA",NA,NA,NA
"BANDERA","BANDERILLERO","banderillero","ENT","FCO",NA,NA,NA
"OTRAS","POLLO","pollo","ENT","FCO",NA,NA,NA
"OTRAS","MATAJUELO","matajuelo","ENT","FCO",NA,NA,NA
"OTRAS","MACHETE","machete","ENT","FCO",NA,NA,NA
"OTRAS","CHUPALODO","chupalodo","ENT","FCO",NA,NA,NA
"CARACOL","CARACOL CHILE","caracol chile","ENT","FCO",NA,NA,NA
"OTRAS","ISABELITA","isabelita","ENT","FCA",NA,NA,NA
"LENGUADO","BOCA DIOS","boca dios","ENT","FCA",NA,NA,NA
"OTRAS","PERCA","perca","ENT","FCA",NA,NA,NA
"OTRAS","BACIN","bacin","ENT","FCO",NA,NA,NA
"CARACOL","CARACOL UÑA","caracol uña","S.C.","FCO",NA,NA,NA
"TRUCHA","TRUCHA BLANCA AGUA MARINA","trucha blanca agua marina","ENT","FCA",NA,NA,NA
"OTRAS","ALA ANGEL","ala angel","ENT","FCA",NA,NA,NA
"CARACOL","CARACOL UÑA","caracol uña","ENT","FCO",NA,NA,NA
"OTRAS","CHICHARRO","chicharro","ENT","FCO",NA,NA,NA
"SARDINA","XLAVITA","xlavita","IND",NA,NA,NA,NA
"TIBURON","TIBURON CARTON","tiburon carton","DESV","DESC",NA,NA,NA
"TIBURON","JAQUETON","jaqueton","ENT","FCO",NA,NA,NA
"ALGAS","ALGA GIGARTINA","alga gigartina","ENT","FCA",NA,NA,NA
"TIBURON","TIBURÓN LOBERO","tiburón lobero","DESV","DESC","FCO",NA,NA
"OTRAS","ABOGADO","abogado","ENT","FCO",NA,NA,NA
"CALAMAR","CALAMAR LOLIGO","calamar loligo","ENT","FCO",NA,NA,NA
"OTRAS","BOLIN","bolin","ENT","FCO",NA,NA,NA
"OTRAS","INDIO","indio","ENT","FCO",NA,NA,NA
"JUREL","CABALLA MEXICANA","caballa mexicana","ENT","FCA",NA,NA,NA
"OTRAS","MATAGATOS","matagatos","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON AMARILLO","tiburon amarillo","DESV","FCO",NA,NA,NA
"OTRAS","LACHA","lacha","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON CARTON","tiburon carton","DESV","FCO",NA,NA,NA
"OTRAS","MARLIN NEGRO","marlin negro","DESV","DESC","FCO",NA,NA
"OTRAS","PEZ MAR","pez mar","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LEOPARDO","tiburon leopardo","ENT","FCO",NA,NA,NA
"OTRAS","RASTREADOR","rastreador","ENT","FCO",NA,NA,NA
"OTRAS","JUEZ","juez","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LIMON","tiburon limon","DESV","FCO",NA,NA,NA
"ALGAS","ALGA EUCHEMA","alga euchema","ENT","FCA",NA,NA,NA
"PEPINO DE MAR","PEPINO MAR CAFE O BADIONOTUS","pepino mar cafe o badionotus","ENT","FCO",NA,NA,NA
"CAZON","CAZON LEY","cazon ley","ENT","FCO",NA,NA,NA
"OTRAS","CANGREJO REY","cangrejo rey","ENT","FCO",NA,NA,NA
"CARPA","CARPA CABEZONA","carpa cabezona","ENT","FCA",NA,NA,NA
