"year","OHI_Region_No","estimated_genus_name","Annual_Catch_kg","Avg_Catch_Ref2018.22","n_years_Ref2018.22","status","control","notes","Stock_Status"
2021,"region_3","centropomus",42.9,167.32,5,"maximally harvested","no increase",NA,1
2022,"region_3","centropomus",71.5,167.32,5,"maximally harvested","no increase",NA,1
2023,"region_3","centropomus",5,167.32,5,"maximally harvested","no increase",NA,1
2024,"region_3","centropomus",29.7,167.32,5,"maximally harvested","no increase",NA,1
2018,"region_3","cynoscion",68334,68673.27,5,NA,NA,NA,NA
2019,"region_3","cynoscion",47119.1,68673.27,5,NA,NA,NA,NA
2020,"region_3","cynoscion",62850.9,68673.27,5,NA,NA,NA,NA
2021,"region_3","cynoscion",60065.55,68673.27,5,NA,NA,NA,NA
2022,"region_3","cynoscion",104996.8,68673.27,5,NA,NA,NA,NA
2023,"region_3","cynoscion",113186,68673.27,5,NA,NA,NA,NA
2024,"region_3","cynoscion",41374,68673.27,5,NA,NA,NA,NA
2018,"region_3","galeocerdo",101,1653.2,5,"maximally harvested","no increase",NA,1
2019,"region_3","galeocerdo",183,1653.2,5,"maximally harvested","no increase",NA,1
2020,"region_3","galeocerdo",3396,1653.2,5,"maximally harvested","no increase",NA,0.48680800942285
2021,"region_3","galeocerdo",2312,1653.2,5,"maximally harvested","no increase",NA,0.715051903114187
2022,"region_3","galeocerdo",2274,1653.2,5,"maximally harvested","no increase",NA,0.727000879507476
2023,"region_3","galeocerdo",4744,1653.2,5,"maximally harvested","no increase",NA,0.348482293423272
2024,"region_3","galeocerdo",795.5,1653.2,5,"maximally harvested","no increase",NA,1
2019,"region_3","galeorhinus",48,687.25,4,"maximally harvested","no increase",NA,1
2020,"region_3","galeorhinus",858,687.25,4,"maximally harvested","no increase",NA,0.800990675990676
2021,"region_3","galeorhinus",488,687.25,4,"maximally harvested","no increase",NA,1
