"year","OHI_region_est","estimated_species_name","annual_Catch_kg","mean_Catch_2018.22_kg","n.years_Catch_2018.22","Year_of_Recommendation","status","control","notes","Stock_Status"
2021,"region_8","callinectes bellicosus",2258524,1710693.8,5,2023,"maximally harvested","no increase",NA,0.757438840587924
2022,"region_8","callinectes bellicosus",2331925,1710693.8,5,2023,"maximally harvested","no increase",NA,0.733597264062952
2023,"region_8","callinectes bellicosus",3662968,1710693.8,5,2023,"maximally harvested","no increase",NA,0.46702395434522
2018,"region_8","carcharhinus falciformis",141642,1109378.12,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","carcharhinus falciformis",305457.85,1109378.12,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","carcharhinus falciformis",1961795.35,1109378.12,5,2023,"maximally harvested","no increase",NA,0.565491257790982
2021,"region_8","carcharhinus falciformis",2175362.65,1109378.12,5,2023,"maximally harvested","no increase",NA,0.509973874930693
2022,"region_8","carcharhinus falciformis",962632.75,1109378.12,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","carcharhinus leucas",198716.9,263531.34,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","carcharhinus leucas",262901.7,263531.34,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","carcharhinus leucas",254347.2,263531.34,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","carcharhinus leucas",303151,263531.34,5,2023,"maximally harvested","no increase",NA,0.86930717695142
2022,"region_8","carcharhinus leucas",298539.9,263531.34,5,2023,"maximally harvested","no increase",NA,0.882734066702642
2023,"region_8","carcharhinus leucas",2600,263531.34,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","carcharhinus leucas",70.4,263531.34,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","carcharhinus limbatus",8465,27148.2,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","carcharhinus limbatus",26900,27148.2,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","carcharhinus limbatus",69401,27148.2,5,2023,"maximally harvested","no increase",NA,0.391178801458192
2021,"region_8","carcharhinus limbatus",29160,27148.2,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","carcharhinus limbatus",1815,27148.2,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","carcharhinus longimanus",4125,11510.9375,4,2023,"maximally harvested","no increase",NA,1
2020,"region_8","carcharhinus longimanus",6700,11510.9375,4,2023,"maximally harvested","no increase",NA,1
2021,"region_8","carcharhinus longimanus",15643.75,11510.9375,4,2023,"maximally harvested","no increase",NA,0.735817019576508
2022,"region_8","carcharhinus longimanus",19575,11510.9375,4,2023,"maximally harvested","no increase",NA,0.588042784163474
2023,"region_8","carcharhinus longimanus",6933,11510.9375,4,2023,"maximally harvested","no increase",NA,1
2024,"region_8","carcharhinus longimanus",34638.75,11510.9375,4,2023,"maximally harvested","no increase",NA,0.332313882573707
2018,"region_8","centropomus armatus",456118.448,624833.7978,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","centropomus armatus",736981.971,624833.7978,5,2023,"maximally harvested","no increase",NA,0.84782779279142
2020,"region_8","centropomus armatus",563007.1,624833.7978,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","centropomus armatus",754572.68,624833.7978,5,2023,"maximally harvested","no increase",NA,0.828063106922981
2022,"region_8","centropomus armatus",613488.79,624833.7978,5,2023,"maximally harvested","no increase",NA,1
2023,"region_8","centropomus armatus",583866,624833.7978,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","centropomus armatus",849650.963,624833.7978,5,2023,"maximally harvested","no increase",NA,0.735400564478616
2018,"region_8","centropomus medius",2683.7,4943.26,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","centropomus medius",8368.8,4943.26,5,2023,"maximally harvested","no increase",NA,0.590677277506931
2020,"region_8","centropomus medius",6956,4943.26,5,2023,"maximally harvested","no increase",NA,0.710646923519264
2021,"region_8","centropomus medius",3963.8,4943.26,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","centropomus medius",2744,4943.26,5,2023,"maximally harvested","no increase",NA,1
2023,"region_8","centropomus medius",1470,4943.26,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","centropomus medius",914.5,4943.26,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","centropomus nigrescens",3,4454.25,4,2023,"maximally harvested","no increase",NA,1
2020,"region_8","centropomus nigrescens",7400,4454.25,4,2023,"maximally harvested","no increase",NA,0.601925675675676
2021,"region_8","centropomus nigrescens",7899,4454.25,4,2023,"maximally harvested","no increase",NA,0.563900493733384
2022,"region_8","centropomus nigrescens",2515,4454.25,4,2023,"maximally harvested","no increase",NA,1
2023,"region_8","centropomus nigrescens",60,4454.25,4,2023,"maximally harvested","no increase",NA,1
2024,"region_8","centropomus nigrescens",705,4454.25,4,2023,"maximally harvested","no increase",NA,1
2018,"region_8","crassostrea gigas",222676,270265,5,2017,"maximally harvested","no increase",NA,1
2019,"region_8","crassostrea gigas",242187,270265,5,2017,"maximally harvested","no increase",NA,1
2020,"region_8","crassostrea gigas",191867,270265,5,2017,"maximally harvested","no increase",NA,1
2021,"region_8","crassostrea gigas",435596,270265,5,2017,"maximally harvested","no increase",NA,0.620448764451464
2022,"region_8","crassostrea gigas",258999,270265,5,2017,"maximally harvested","no increase",NA,1
2023,"region_8","crassostrea gigas",1096559,270265,5,2017,"maximally harvested","no increase",NA,0.246466446401881
2024,"region_8","crassostrea gigas",1739373.99,270265,5,2017,"maximally harvested","no increase",NA,0.15538061483833
2018,"region_8","dosidicus gigas",349487.1,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2019,"region_8","dosidicus gigas",339109.7,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2020,"region_8","dosidicus gigas",218795.9,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2021,"region_8","dosidicus gigas",437614.65,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2022,"region_8","dosidicus gigas",671154.75,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.600803942756868
2023,"region_8","dosidicus gigas",1061010,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.380045824261788
2024,"region_8","dosidicus gigas",1090254.02,403232.42,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.369851807563158
2018,"region_8","farfantepenaeus brevirostris",309577.4,245639.84,5,2017,"maximally harvested","no increase",NA,0.793468257049772
2019,"region_8","farfantepenaeus brevirostris",198801.4,245639.84,5,2017,"maximally harvested","no increase",NA,1
2020,"region_8","farfantepenaeus brevirostris",115164,245639.84,5,2017,"maximally harvested","no increase",NA,1
2021,"region_8","farfantepenaeus brevirostris",325545,245639.84,5,2017,"maximally harvested","no increase",NA,0.75454957071987
2022,"region_8","farfantepenaeus brevirostris",279111.4,245639.84,5,2017,"maximally harvested","no increase",NA,0.880078133677091
2023,"region_8","farfantepenaeus brevirostris",38472,245639.84,5,2017,"maximally harvested","no increase",NA,1
2024,"region_8","farfantepenaeus brevirostris",9241.6,245639.84,5,2017,"maximally harvested","no increase",NA,1
2018,"region_8","hoplopagrus guentherii",13597.5,18845.66,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","hoplopagrus guentherii",17390.6,18845.66,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","hoplopagrus guentherii",19230.3,18845.66,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","hoplopagrus guentherii",18684.4,18845.66,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","hoplopagrus guentherii",25325.5,18845.66,5,2023,"maximally harvested","no increase",NA,0.744137726797102
2023,"region_8","hoplopagrus guentherii",20961,18845.66,5,2023,"maximally harvested","no increase",NA,0.899082104861409
2024,"region_8","hoplopagrus guentherii",28856.75,18845.66,5,2023,"maximally harvested","no increase",NA,0.653076316633023
2018,"region_8","isurus oxyrinchus",205363.35,452101.83,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","isurus oxyrinchus",502345.6,452101.83,5,2023,"maximally harvested","no increase",NA,0.899981666008421
2020,"region_8","isurus oxyrinchus",518402.15,452101.83,5,2023,"maximally harvested","no increase",NA,0.87210639462047
2021,"region_8","isurus oxyrinchus",588010.7,452101.83,5,2023,"maximally harvested","no increase",NA,0.76886667198403
2022,"region_8","isurus oxyrinchus",446387.35,452101.83,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","litopenaeus stylirostris",3027.2,17282.4,4,2017,"maximally harvested","no increase",NA,1
2020,"region_8","litopenaeus stylirostris",18192,17282.4,4,2017,"maximally harvested","no increase",NA,1
2021,"region_8","litopenaeus stylirostris",14126.4,17282.4,4,2017,"maximally harvested","no increase",NA,1
2022,"region_8","litopenaeus stylirostris",33784,17282.4,4,2017,"maximally harvested","no increase",NA,0.511555766043097
2018,"region_8","litopenaeus vannamei",64352247.668,74101423.0096,5,2017,"maximally harvested","no increase",NA,1
2019,"region_8","litopenaeus vannamei",73950064.08,74101423.0096,5,2017,"maximally harvested","no increase",NA,1
2020,"region_8","litopenaeus vannamei",69964736.5,74101423.0096,5,2017,"maximally harvested","no increase",NA,1
2021,"region_8","litopenaeus vannamei",74409247.6,74101423.0096,5,2017,"maximally harvested","no increase",NA,1
2022,"region_8","litopenaeus vannamei",87830819.2,74101423.0096,5,2017,"maximally harvested","no increase",NA,0.843683614527872
2018,"region_8","lutjanus argentiventris",5782.9,9833.66,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","lutjanus argentiventris",5439,9833.66,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","lutjanus argentiventris",11846.4,9833.66,5,2023,"maximally harvested","no increase",NA,0.830096907077256
2021,"region_8","lutjanus argentiventris",8194,9833.66,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","lutjanus argentiventris",17906,9833.66,5,2023,"maximally harvested","no increase",NA,0.549182396961912
2023,"region_8","lutjanus argentiventris",16698,9833.66,5,2023,"maximally harvested","no increase",NA,0.588912444604144
2024,"region_8","lutjanus argentiventris",25421,9833.66,5,2023,"maximally harvested","no increase",NA,0.386832146650407
2018,"region_8","lutjanus colorado",11551.5,31844.12,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","lutjanus colorado",27800,31844.12,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","lutjanus colorado",36656,31844.12,5,2023,"maximally harvested","no increase",NA,0.868728721082497
2021,"region_8","lutjanus colorado",46819.4,31844.12,5,2023,"maximally harvested","no increase",NA,0.680147972848862
2022,"region_8","lutjanus colorado",36393.7,31844.12,5,2023,"maximally harvested","no increase",NA,0.87498990209844
2023,"region_8","lutjanus colorado",29964,31844.12,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","lutjanus colorado",427939.5,31844.12,5,2023,"maximally harvested","no increase",NA,0.0744126681458477
2018,"region_8","lutjanus guttatus",14296.7,43178.28,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","lutjanus guttatus",17469.6,43178.28,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","lutjanus guttatus",36747.6,43178.28,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","lutjanus guttatus",54397.7,43178.28,5,2023,"maximally harvested","no increase",NA,0.793751941718124
2022,"region_8","lutjanus guttatus",92979.8,43178.28,5,2023,"maximally harvested","no increase",NA,0.464383446727139
2023,"region_8","lutjanus guttatus",109841,43178.28,5,2023,"maximally harvested","no increase",NA,0.393098023506705
2024,"region_8","lutjanus guttatus",104313.6,43178.28,5,2023,"maximally harvested","no increase",NA,0.413927618258789
2018,"region_8","lutjanus novemfasciatus",219,216.75,4,2023,"maximally harvested","no increase",NA,1
2020,"region_8","lutjanus novemfasciatus",444,216.75,4,2023,"maximally harvested","no increase",NA,0.488175675675676
2021,"region_8","lutjanus novemfasciatus",30,216.75,4,2023,"maximally harvested","no increase",NA,1
2022,"region_8","lutjanus novemfasciatus",174,216.75,4,2023,"maximally harvested","no increase",NA,1
2023,"region_8","lutjanus novemfasciatus",313,216.75,4,2023,"maximally harvested","no increase",NA,0.692492012779553
2024,"region_8","lutjanus novemfasciatus",270,216.75,4,2023,"maximally harvested","no increase",NA,0.802777777777778
2018,"region_8","lutjanus peru",33007.9,30990.42,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","lutjanus peru",44364.25,30990.42,5,2023,"maximally harvested","no increase",NA,0.698544886930355
2020,"region_8","lutjanus peru",32106.5,30990.42,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","lutjanus peru",31768.25,30990.42,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","lutjanus peru",13705.2,30990.42,5,2023,"maximally harvested","no increase",NA,1
2023,"region_8","lutjanus peru",344564,30990.42,5,2023,"maximally harvested","no increase",NA,0.0899409688766093
2024,"region_8","lutjanus peru",529867.5375,30990.42,5,2023,"maximally harvested","no increase",NA,0.0584871082048502
2019,"region_8","megapitaria squalida",5040,177491.75,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_8","megapitaria squalida",32610,177491.75,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_8","megapitaria squalida",136507,177491.75,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2022,"region_8","megapitaria squalida",535810,177491.75,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.331258748436946
2023,"region_8","megapitaria squalida",331608,177491.75,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.535245681648211
2018,"region_8","mugil cephalus",2512766,1836616.366,5,2023,"maximally harvested","no increase",NA,0.730914206097981
2018,"region_8","mugil cephalus",181252,157616.6,5,2023,"maximally harvested","no increase",NA,0.869599232008474
2019,"region_8","mugil cephalus",2593888.83,1836616.366,5,2023,"maximally harvested","no increase",NA,0.708055158246701
2019,"region_8","mugil cephalus",246372,157616.6,5,2023,"maximally harvested","no increase",NA,0.639750458656016
2020,"region_8","mugil cephalus",1625312,1836616.366,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","mugil cephalus",128987,157616.6,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","mugil cephalus",950161,1836616.366,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","mugil cephalus",106075,157616.6,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","mugil cephalus",1500954,1836616.366,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","mugil cephalus",125397,157616.6,5,2023,"maximally harvested","no increase",NA,1
2023,"region_8","mugil cephalus",74470,157616.6,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","mugil cephalus",136938,157616.6,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","mustelus albipinnis",200,2468,4,2023,"maximally harvested","no increase",NA,1
2020,"region_8","mustelus albipinnis",7042,2468,4,2023,"maximally harvested","no increase",NA,0.350468616870207
2021,"region_8","mustelus albipinnis",2330,2468,4,2023,"maximally harvested","no increase",NA,1
2022,"region_8","mustelus albipinnis",300,2468,4,2023,"maximally harvested","no increase",NA,1
2023,"region_8","mustelus albipinnis",7408,2468,4,2023,"maximally harvested","no increase",NA,0.333153347732181
2024,"region_8","mustelus albipinnis",12000,2468,4,2023,"maximally harvested","no increase",NA,0.205666666666667
2018,"region_8","negaprion brevirostris",5766.25,8609.75,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","negaprion brevirostris",8250,8609.75,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","negaprion brevirostris",9028.75,8609.75,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","negaprion brevirostris",9493.75,8609.75,5,2023,"maximally harvested","no increase",NA,0.906886109282423
2022,"region_8","negaprion brevirostris",10510,8609.75,5,2023,"maximally harvested","no increase",NA,0.819196003805899
2023,"region_8","negaprion brevirostris",5920,8609.75,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","negaprion brevirostris",66155.6,8609.75,5,2023,"maximally harvested","no increase",NA,0.130143933393394
2018,"region_8","opisthonema libertate",82376126.32,82110535.968,5,2022,"maximally harvested","no increase",NA,1
2019,"region_8","opisthonema libertate",82767618.2,82110535.968,5,2022,"maximally harvested","no increase",NA,1
2020,"region_8","opisthonema libertate",75080136.96,82110535.968,5,2022,"maximally harvested","no increase",NA,1
2021,"region_8","opisthonema libertate",82705385.36,82110535.968,5,2022,"maximally harvested","no increase",NA,1
2022,"region_8","opisthonema libertate",87623413,82110535.968,5,2022,"maximally harvested","no increase",NA,1
2018,"region_8","panulirus inflatus",240,1827.4,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","panulirus inflatus",65,1827.4,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","panulirus inflatus",3332,1827.4,5,2023,"maximally harvested","no increase",NA,0.5484393757503
2021,"region_8","panulirus inflatus",1777,1827.4,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","panulirus inflatus",3723,1827.4,5,2023,"maximally harvested","no increase",NA,0.490840719849584
2023,"region_8","panulirus inflatus",6881,1827.4,5,2023,"maximally harvested","no increase",NA,0.265571864554571
2024,"region_8","panulirus inflatus",18109.3,1827.4,5,2023,"maximally harvested","no increase",NA,0.100909477450813
2018,"region_8","prionace glauca",864938.7,1041716.97,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","prionace glauca",1037388.5,1041716.97,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","prionace glauca",872302.55,1041716.97,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","prionace glauca",784193.95,1041716.97,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","prionace glauca",1649761.15,1041716.97,5,2023,"maximally harvested","no increase",NA,0.631435023185023
2018,"region_8","rhizoprionodon longurio",1008689.8,1132635.09,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","rhizoprionodon longurio",13318.75,15984.5,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","rhizoprionodon longurio",1386335,1132635.09,5,2023,"maximally harvested","no increase",NA,0.816999563597543
2019,"region_8","rhizoprionodon longurio",3490,15984.5,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","rhizoprionodon longurio",1141847.9,1132635.09,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","rhizoprionodon longurio",1740,15984.5,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","rhizoprionodon longurio",1047271.1,1132635.09,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","rhizoprionodon longurio",25,15984.5,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","rhizoprionodon longurio",1079031.65,1132635.09,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","rhizoprionodon longurio",61348.75,15984.5,5,2023,"maximally harvested","no increase",NA,0.260551355977098
2023,"region_8","rhizoprionodon longurio",1262,15984.5,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","rhizoprionodon longurio",15775,15984.5,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","scomber japonicus",901,3014498.63,4,2022,"maximally harvested","no increase",NA,1
2020,"region_8","scomber japonicus",5388790.8,3014498.63,4,2022,"maximally harvested","no increase",NA,0.559401680614508
2021,"region_8","scomber japonicus",5591916.68,3014498.63,4,2022,"maximally harvested","no increase",NA,0.539081463924817
2022,"region_8","scomber japonicus",1076386.04,3014498.63,4,2022,"maximally harvested","no increase",NA,1
2018,"region_8","scomberomorus sierra",1985939,2469620.8142,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","scomberomorus sierra",2456117.611,2469620.8142,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","scomberomorus sierra",2759869.61,2469620.8142,5,2023,"maximally harvested","no increase",NA,0.894832424420225
2021,"region_8","scomberomorus sierra",2726523.12,2469620.8142,5,2023,"maximally harvested","no increase",NA,0.905776590003755
2022,"region_8","scomberomorus sierra",2419654.73,2469620.8142,5,2023,"maximally harvested","no increase",NA,1
2023,"region_8","scomberomorus sierra",2630919,2469620.8142,5,2023,"maximally harvested","no increase",NA,1
2024,"region_8","scomberomorus sierra",3777063.08,2469620.8142,5,2023,"maximally harvested","no increase",NA,0.653846854524865
2018,"region_8","sphyrna mokarran",10210.2,63708,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","sphyrna mokarran",27201.05,63708,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","sphyrna mokarran",254443.75,63708,5,2023,"maximally harvested","no increase",NA,0.25038146938174
2021,"region_8","sphyrna mokarran",11631.25,63708,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","sphyrna mokarran",15053.75,63708,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","sphyrna zygaena",85191.5,212814.5,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","sphyrna zygaena",166769.05,212814.5,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","sphyrna zygaena",378967.1,212814.5,5,2023,"maximally harvested","no increase",NA,0.561564579088792
2021,"region_8","sphyrna zygaena",255821.35,212814.5,5,2023,"maximally harvested","no increase",NA,0.831887174389471
2022,"region_8","sphyrna zygaena",177323.5,212814.5,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","thunnus albacares",68660431.1,76689674.112,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","thunnus albacares",73277521.52,76689674.112,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","thunnus albacares",76900136.14,76689674.112,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","thunnus albacares",77272051.9,76689674.112,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","thunnus albacares",87338229.9,76689674.112,5,2023,"maximally harvested","no increase",NA,0.878076807828687
2018,"region_8","xiphias gladius",482672.5,523573.3,5,2012,"development potential","increase",NA,1
2019,"region_8","xiphias gladius",572490.25,523573.3,5,2012,"development potential","increase",NA,1
2020,"region_8","xiphias gladius",572461.25,523573.3,5,2012,"development potential","increase",NA,1
2021,"region_8","xiphias gladius",424651.25,523573.3,5,2012,"development potential","increase",NA,1
2022,"region_8","xiphias gladius",565591.25,523573.3,5,2012,"development potential","increase",NA,1
2023,"region_8","xiphias gladius",420960,523573.3,5,2012,"development potential","increase",NA,1
2024,"region_8","xiphias gladius",486361.25,523573.3,5,2012,"development potential","increase",NA,1
2018,"region_9","alopias pelagicus",467808,124514.15,5,2023,"maximally harvested","no increase",NA,0.266165071995349
2019,"region_9","alopias pelagicus",46506.25,124514.15,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","alopias pelagicus",85690.25,124514.15,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","alopias pelagicus",6126.25,124514.15,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","alopias pelagicus",16440,124514.15,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","alopias vulpinus",103262.7,87454.62,5,2023,"maximally harvested","no increase",NA,0.84691393891502
2019,"region_9","alopias vulpinus",147847.2,87454.62,5,2023,"maximally harvested","no increase",NA,0.591520299336071
2020,"region_9","alopias vulpinus",88178.2,87454.62,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","alopias vulpinus",55096.2,87454.62,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","alopias vulpinus",42888.8,87454.62,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","carcharhinus altimus",86844,90317.7,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","carcharhinus altimus",136528.75,90317.7,5,2023,"maximally harvested","no increase",NA,0.661528798879357
2020,"region_9","carcharhinus altimus",91328.75,90317.7,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","carcharhinus altimus",56630.6,90317.7,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","carcharhinus altimus",80256.4,90317.7,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","carcharhinus falciformis",2092131.5,748257.43,5,2023,"maximally harvested","no increase",NA,0.357653154211387
2019,"region_9","carcharhinus falciformis",1241190.25,748257.43,5,2023,"maximally harvested","no increase",NA,0.602854743662384
2020,"region_9","carcharhinus falciformis",202683.5,748257.43,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","carcharhinus falciformis",106928,748257.43,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","carcharhinus falciformis",98353.9,748257.43,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","carcharhinus leucas",665328.9,404690.06,5,2023,"maximally harvested","no increase",NA,0.608255646192432
2019,"region_9","carcharhinus leucas",462474.7,404690.06,5,2023,"maximally harvested","no increase",NA,0.875053402921284
2020,"region_9","carcharhinus leucas",370107.2,404690.06,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","carcharhinus leucas",267411.55,404690.06,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","carcharhinus leucas",258127.95,404690.06,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","carcharhinus leucas",3494,404690.06,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","carcharhinus leucas",3945,404690.06,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","centropomus armatus",1188026.36,812751.852,5,2023,"maximally harvested","no increase",NA,0.684119375937079
2019,"region_9","centropomus armatus",780913.05,812751.852,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","centropomus armatus",636527.2,812751.852,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","centropomus armatus",862207.4,812751.852,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","centropomus armatus",596085.25,812751.852,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","centropomus armatus",506263,812751.852,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","centropomus armatus",612567.15,812751.852,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","centropomus medius",11201.9,8481.1,5,2023,"maximally harvested","no increase",NA,0.757112632678385
2019,"region_9","centropomus medius",9602.4,8481.1,5,2023,"maximally harvested","no increase",NA,0.883227109889194
2020,"region_9","centropomus medius",8270.7,8481.1,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","centropomus medius",7258.7,8481.1,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","centropomus medius",6071.8,8481.1,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","centropomus medius",5482,8481.1,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","centropomus medius",9563.4,8481.1,5,2023,"maximally harvested","no increase",NA,0.886828952046343
2018,"region_9","farfantepenaeus brevirostris",2781,1357.7,4,2017,"maximally harvested","no increase",NA,0.488205681409565
2019,"region_9","farfantepenaeus brevirostris",470,1357.7,4,2017,"maximally harvested","no increase",NA,1
2021,"region_9","farfantepenaeus brevirostris",1511,1357.7,4,2017,"maximally harvested","no increase",NA,0.898544010589014
2022,"region_9","farfantepenaeus brevirostris",668.8,1357.7,4,2017,"maximally harvested","no increase",NA,1
2023,"region_9","farfantepenaeus brevirostris",1200,1357.7,4,2017,"maximally harvested","no increase",NA,1
2024,"region_9","farfantepenaeus brevirostris",324.8,1357.7,4,2017,"maximally harvested","no increase",NA,1
2018,"region_9","hoplopagrus guentherii",107253.2,65171.7,5,2023,"maximally harvested","no increase",NA,0.607643408308563
2019,"region_9","hoplopagrus guentherii",85016.2,65171.7,5,2023,"maximally harvested","no increase",NA,0.766579781265218
2020,"region_9","hoplopagrus guentherii",45561.6,65171.7,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","hoplopagrus guentherii",43264.8,65171.7,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","hoplopagrus guentherii",44762.7,65171.7,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","hoplopagrus guentherii",49767,65171.7,5,2023,"maximally harvested","no increase",NA,1
