"Region","Stock","Major_Functional_Group","estimated_taxa_group","estimated_family_name","Source","Comment","Sufficient_No_Years","Yes_Run","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","st_b.low","st_b.hi","int_yr","int_b.low","int_b.hi","end_b.low","end_b.hi","q.start","q.end","btype","force.cmsy"
"GOC","Mycteroperca","Demersal marine fishes","CABRILLA","Serranidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Nematistius","Demersal marine fishes","OTRAS","Nematistiidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Oligoplites","Anchovy & Sardine (small pelagics)","SARDINA","Carangidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Orthopristis","Demersal marine fishes","OTRAS","Haemulidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Panulirus","Crustaceans","LANGOSTA","Palinuridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Paralabrax","Demersal marine fishes","CABRILLA","Serranidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Parapsettus","Demersal marine fishes","OTRAS","Ephippidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Penaeus","Shrimps, prawns","CAMARON","Penaeidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
