state,office_name_clean,landing_site_clean,final_lat,final_lon,final_lat.lon_level,final_lat.lon_source,location,OHI.region_geo.est,OHI_state.assign,OHI_region_est,GOC_mel.est,GOC_state.assign,GOC_region.assign,GOC_est
SONORA,GOLFO SANTA CLARA,SITIO EMB DESEM GENERICO,31.89795054,-114.5715395,state_office,Hem's state.office key,land,Region_5,NA,Region_5,NA,yes,yes,yes
SINALOA,CULIACAN,SITIO EMB DESEM GENERICO,24.57540235,-107.4244193,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,SAN BLAS,SITIO EMB DESEM GENERICO,21.54672474,-105.2582147,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TECUALA,SITIO EMB DESEM GENERICO,22.49844421,-105.2661546,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,CRUZ HUANACAXTLE,SITIO EMB DESEM GENERICO,20.79144145,-105.3371448,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TUXPAN,SITIO EMB DESEM GENERICO,22.08709693,-105.1177705,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,SAN FELIPE,SITIO EMB DESEM GENERICO,30.82327619,-114.8508127,state_office,Hem's state.office key,land,Region_2,NA,Region_2,NA,NA,NA,NA
BAJA CALIFORNIA SUR,SAN CARLOS,SITIO EMB DESEM GENERICO,25.3714584,-112.0739843,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,SANTA ROSALIA,SITIO EMB DESEM GENERICO,27.01805455,-112.4718992,state_office,Hem's state.office key,land,Region_3,NA,Region_3,NA,NA,NA,NA
JALISCO,CHAPALA,SITIO EMB DESEM GENERICO,19.8385565,-103.3424721,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
NAYARIT,TEPIC,SITIO EMB DESEM GENERICO,21.48266492,-104.5479942,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SINALOA,MAZATLAN,SITIO EMB DESEM GENERICO,23.49411631,-106.3796491,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,TOPOLOBAMPO,SITIO EMB DESEM GENERICO,25.61537953,-109.0244988,state_office,Hem's state.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,NAVOLATO,SITIO EMB DESEM GENERICO,24.76185658,-107.6833974,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
JALISCO,PUERTO VALLARTA,SITIO EMB DESEM GENERICO,20.37019967,-104.9557712,state_office,Hem's state.office key,land,Region_9,NA,Region_9,NA,NA,yes,yes
JALISCO,BARRA NAVIDAD,SITIO EMB DESEM GENERICO,19.62476112,-104.4256519,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,CD. CONSTITUCION,SITIO EMB DESEM GENERICO,25.27802808,-111.7625691,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,LA PAZ,SITIO EMB DESEM GENERICO,23.96530197,-110.2788658,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
BAJA CALIFORNIA SUR,GUERRERO NEGRO,SITIO EMB DESEM GENERICO,27.68192091,-113.5386026,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
