Data,landing_site,clave,subregion,long,lat,State,GofC
MARRÓN PLAYA 293 1.0292 -114.3768 28.8122,MARRÓN PLAYA,293,1.0292,-114.3768,28.8122,Baja California,no
MEDIO PUNTA DE EN 258 1.0257 -115.1294 29.4177,MEDIO PUNTA DE EN,258,1.0257,-115.1294,29.4177,Baja California,no
MERCADO NEGRO 84 1.0083 -116.6330 31.8525,MERCADO NEGRO,84,1.0083,-116.633,31.8525,Baja California,no
MEZQUITE PUNTA 52 1.0052 -116.8980 32.1430,MEZQUITE PUNTA,52,1.0052,-116.898,32.143,Baja California,no
MIDDLE 333 1.0332 -117.2600 32.4400,MIDDLE,333,1.0332,-117.26,32.44,Baja California,no
MINAS LAS 148 1.0147 -116.4341 31.3171,MINAS LAS,148,1.0147,-116.4341,31.3171,Baja California,no
MIRAMAR 25 1.0025 -117.0503 32.3200,MIRAMAR,25,1.0025,-117.0503,32.32,Baja California,no
MISIÓN BOCA LA 57 1.0057 -116.8860 32.0580,MISIÓN BOCA LA,57,1.0057,-116.886,32.058,Baja California,no
MOLINO VIEJO MUELLE 191 1.0190 -115.9800 30.4800,MOLINO VIEJO MUELLE,191,1.019,-115.98,30.48,Baja California,no
MORELOS VILLA 160 1.0159 -116.2378 30.9370,MORELOS VILLA,160,1.0159,-116.2378,30.937,Baja California,no
MORRO PUNTA 79 1.0079 -116.6678 31.8576,MORRO PUNTA,79,1.0079,-116.6678,31.8576,Baja California,no
MORROS COLORADOS LOS 265 1.0264 -114.9560 29.3659,MORROS COLORADOS LOS,265,1.0264,-114.956,29.3659,Baja California,no
MUELLE 81 1.0081 -116.6330 31.8525,MUELLE,81,1.0081,-116.633,31.8525,Baja California,no
MUERTITO ARROYO EL 303 1.0302 -114.1505 28.5727,MUERTITO ARROYO EL,303,1.0302,-114.1505,28.5727,Baja California,no
MUERTITO EL 302 1.0301 -114.1505 28.5668,MUERTITO EL,302,1.0301,-114.1505,28.5668,Baja California,no
MUJERES PUERTO 263 1.0262 -115.0746 29.4143,MUJERES PUERTO,263,1.0262,-115.0746,29.4143,Baja California,no
NORTE CAMPO 274 1.0273 -118.3680 29.1880,NORTE CAMPO,274,1.0273,-118.368,29.188,Baja California,no
NORTE EL CAMPITO 51 1.0051 -116.9005 32.1675,NORTE EL CAMPITO,51,1.0051,-116.9005,32.1675,Baja California,no
NUEVE FATHON 334 1.0333 -117.2570 32.4230,NUEVE FATHON,334,1.0333,-117.257,32.423,Baja California,no
NUEVO CAMPO 248 1.0247 -115.6001 29.6843,NUEVO CAMPO,248,1.0247,-115.6001,29.6843,Baja California,no
NUEVO PUERTO 47 1.0047 -116.9314 32.2431,NUEVO PUERTO,47,1.0047,-116.9314,32.2431,Baja California,no
OASIS EL 17 1.0017 -117.0773 32.3800,OASIS EL,17,1.0017,-117.0773,32.38,Baja California,no
OLAS LAS 62 1.0062 -116.8766 32.0184,OLAS LAS,62,1.0062,-116.8766,32.0184,Baja California,no
OLD MILL 184 1.0183 -115.9711 30.4858,OLD MILL,184,1.0183,-115.9711,30.4858,Baja California,no
ORENDAIN VILLA 212 1.0211 -115.9529 30.4027,ORENDAIN VILLA,212,1.0211,-115.9529,30.4027,Baja California,no
ORO MISION PLAYA DE 214 1.0213 -115.9244 30.4019,ORO MISION PLAYA DE,214,1.0213,-115.9244,30.4019,Baja California,no
OSTIONERO 195 1.0194 -116.0000 30.4529,OSTIONERO,195,1.0194,-116,30.4529,Baja California,no
PABELLÓN CAMPO 225 1.0224 -115.8425 30.3604,PABELLÓN CAMPO,225,1.0224,-115.8425,30.3604,Baja California,no
PABELLÓN EL 222 1.0221 -115.8502 30.3669,PABELLÓN EL,222,1.0221,-115.8502,30.3669,Baja California,no
PABELLÓN PLAYA EL 221 1.0220 -115.8505 30.3669,PABELLÓN PLAYA EL,221,1.022,-115.8505,30.3669,Baja California,no
PACHECO (EL VARADERO) PLAYA 310 1.0309 -114.0622 28.3818,PACHECO (EL VARADERO) PLAYA,310,1.0309,-114.0622,28.3818,Baja California,no
PACHECO PLAYA 321 1.0320 -114.1120 28.2570,PACHECO PLAYA,321,1.032,-114.112,28.257,Baja California,no
PAPALOTE BAHÍA 105 1.0104 -116.7187 31.7161,PAPALOTE BAHÍA,105,1.0104,-116.7187,31.7161,Baja California,no
PAPALOTE EL 185 1.0184 -115.9419 30.4807,PAPALOTE EL,185,1.0184,-115.9419,30.4807,Baja California,no
PAPALOTE NORTE EL 101 1.0100 -116.7092 31.7211,PAPALOTE NORTE EL,101,1.01,-116.7092,31.7211,Baja California,no
PEDREGAL EL 200 1.0199 -115.9618 30.4446,PEDREGAL EL,200,1.0199,-115.9618,30.4446,Baja California,no
PERICO PUERTO 171 1.0170 -116.0729 30.8053,PERICO PUERTO,171,1.017,-116.0729,30.8053,Baja California,no
PESCA DEPORTIVA MUELLE 80 1.0080 -116.6271 31.8573,PESCA DEPORTIVA MUELLE,80,1.008,-116.6271,31.8573,Baja California,no
PESCADERO 154 1.0153 -116.3033 31.1043,PESCADERO,154,1.0153,-116.3033,31.1043,Baja California,no
PESQUERO JUAREZ CAMPO 281 1.0280 -118.3650 29.0350,PESQUERO JUAREZ CAMPO,281,1.028,-118.365,29.035,Baja California,no
PESQUERO PUNTA AZUFRE 216 1.0215 -115.9875 30.3947,PESQUERO PUNTA AZUFRE,216,1.0215,-115.9875,30.3947,Baja California,no
PIEDRA AHOGADA PUNTA LA 264 1.0263 -115.0090 29.3837,PIEDRA AHOGADA PUNTA LA,264,1.0263,-115.009,29.3837,Baja California,no
PIEDRA CAMPO PUNTA 142 1.0141 -116.4480 31.3440,PIEDRA CAMPO PUNTA,142,1.0141,-116.448,31.344,Baja California,no
PIEDRA CENTRO PUNTA 250 1.0249 -115.5590 29.6680,PIEDRA CENTRO PUNTA,250,1.0249,-115.559,29.668,Baja California,no
PIEDRA DE ROSARITO ISLOTE 23 1.0023 -117.0550 32.3295,PIEDRA DE ROSARITO ISLOTE,23,1.0023,-117.055,32.3295,Baja California,no
PIEDRA DE SAN JOSÉ ISLOTE 266 1.0265 -114.8980 29.2994,PIEDRA DE SAN JOSÉ ISLOTE,266,1.0265,-114.898,29.2994,Baja California,no
PIEDRA UNO PUNTA 59 1.0059 -116.8860 32.0490,PIEDRA UNO PUNTA,59,1.0059,-116.886,32.049,Baja California,no
PILÓN DE AZÚCAR ROCA 46 1.0046 -116.9419 32.2458,PILÓN DE AZÚCAR ROCA,46,1.0046,-116.9419,32.2458,Baja California,no
PINEDAS CAMPO 158 1.0157 -116.2574 30.9647,PINEDAS CAMPO,158,1.0157,-116.2574,30.9647,Baja California,no
PLAYA LA 78 1.0078 -116.6713 31.8618,PLAYA LA,78,1.0078,-116.6713,31.8618,Baja California,no
PLAYITA LA 197 1.0196 -116.0000 30.4515,PLAYITA LA,197,1.0196,-116,30.4515,Baja California,no
PLAYITAS LAS 141 1.0140 -116.4619 31.3450,PLAYITAS LAS,141,1.014,-116.4619,31.345,Baja California,no
