cinfo.stock.i.,stock,yr,ct.raw,B,lcl.B,ucl.B,B.Bmsy,lcl.B.Bmsy,ucl.B.Bmsy,F.Fmsy,lcl.F.Fmsy,ucl.F.Fmsy
lutjanus,lutjanus,2015,4641.957535,28759.49576,26992.26548,30253.33383,1.641929796,1.541035535,1.727215618,0.570818114,0.542632465,0.608190563
lutjanus,lutjanus,2016,7454.95957,28023.50108,26194.91466,29526.86044,1.599910575,1.495513386,1.685739985,0.940807456,0.892906268,1.00648233
lutjanus,lutjanus,2017,9345.62589,26083.22786,24066.3427,27782.9495,1.489136991,1.373989498,1.586177066,1.267140894,1.189619003,1.373333917
lutjanus,lutjanus,2018,8424.560168,22737.86226,20489.02731,24835.05128,1.298144232,1.169754321,1.417876413,1.310314224,1.199665102,1.454131711
lutjanus,lutjanus,2019,7722.562963,18907.58977,16383.88616,21404.78251,1.079467292,0.935384649,1.222036383,1.444452075,1.275934818,1.666949283
lutjanus,lutjanus,2020,6141.24157,15325.99318,12542.66072,18273.41722,0.874987693,0.716082387,1.043261275,1.417116007,1.188541255,1.731587159
lutjanus,lutjanus,2021,5130.1972,12832.5749,9760.262119,15988.63277,0.732634093,0.557230395,0.912818944,1.41383296,1.13475102,1.858876035
lutjanus,lutjanus,2022,4895.70025,11081.56826,7398.233087,14672.32329,0.632666068,0.422378036,0.837668539,1.562397171,1.180031993,2.340262964
lutjanus,lutjanus,2023,4812.522,10033.39229,4735.101434,14119.0643,0.572823874,0.270335203,0.806082017,1.696300481,1.205437401,3.594357673
lutjanus,lutjanus,2024,4959.68669,9147.901773,845.3228774,13805.39775,0.522269675,0.048260958,0.788174247,1.917390627,1.270524865,20.74958763
brotula,brotula,2000,842.9365,3456.438373,2499.566476,4652.97896,0.444876451,0.321717949,0.598882591,2.031666385,1.509211565,2.809419042
brotula,brotula,2001,316.8447,3295.716824,2347.755589,4452.754841,0.424190061,0.302178446,0.573111845,0.839966258,0.621702974,1.179122282
brotula,brotula,2002,32.8454,3284.970998,2310.937301,4454.518747,0.422806971,0.297439582,0.573338876,0.087644899,0.064633459,0.124586224
brotula,brotula,2003,180.9135,3392.379026,2357.884365,4660.824003,0.436631405,0.303482115,0.599892322,0.452665513,0.329472426,0.651267303
brotula,brotula,2004,270.3816,3716.903316,2544.372398,5025.897878,0.478400764,0.327484897,0.646880798,0.563546525,0.416770893,0.823247395
brotula,brotula,2005,341.9825,4163.420363,2778.070559,5502.172177,0.535871749,0.35756407,0.708181824,0.608848707,0.460707703,0.912465342
brotula,brotula,2006,1715.038,4590.535535,3013.03789,5908.393526,0.590845529,0.387806597,0.76046637,2.769275481,2.15159289,4.219149564
brotula,brotula,2007,347.67,4587.73725,3024.714831,5858.561934,0.590485363,0.38930953,0.754052571,0.561725899,0.439877714,0.851997948
brotula,brotula,2008,915.0542,4528.988309,3033.21265,5776.29818,0.582923816,0.39040328,0.743464445,1.497619155,1.174229486,2.236143794
brotula,brotula,2009,463.487,4349.791252,2855.239711,5494.718069,0.559859453,0.367496473,0.70722241,0.789814148,0.625241664,1.203235811
brotula,brotula,2010,174.9223,4516.027543,2935.866578,5587.176237,0.581255642,0.377873916,0.719122654,0.287107385,0.232064428,0.441636166
brotula,brotula,2011,586.1384,4753.931147,3058.226787,5784.587551,0.611876096,0.393622838,0.744531366,0.91390921,0.751075409,1.420647245
brotula,brotula,2012,1043.836,5117.683813,3267.677041,6048.255433,0.65869452,0.420581075,0.778467927,1.511870481,1.279257328,2.367821235
brotula,brotula,2013,730.0989,5321.601779,3418.747058,6178.855608,0.684940699,0.440025221,0.79527741,1.016939434,0.875849355,1.582962006
brotula,brotula,2014,1060.7714,5347.346474,3476.560555,6227.404623,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
brotula,brotula,2015,906.6951,5258.951912,3476.437126,6209.455397,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
brotula,brotula,2016,970.94955,5204.775812,3491.751304,6158.843897,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
brotula,brotula,2017,982.1677,5059.370272,3461.40546,6036.872873,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
brotula,brotula,2018,852.6524,4940.336165,3431.052463,5943.869398,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
brotula,brotula,2019,782.82555,4829.811522,3444.466667,5955.715247,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
brotula,brotula,2020,931.6445,4756.771713,3434.503697,5908.945167,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
brotula,brotula,2021,1597.0912,4718.426624,3357.057426,5956.67487,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
brotula,brotula,2022,1570.605,4454.913523,3137.8503,5709.052558,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
brotula,brotula,2023,1535.647,3938.065106,2572.838348,5165.494645,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
brotula,brotula,2024,1228.514775,3220.122794,1643.956382,4602.128513,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
mugil,mugil,2000,1913.9078,6017.275794,5179.895489,6618.413723,0.551939656,0.475130247,0.607079535,1.212470083,1.102343732,1.408477623
