"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"carcharhinus obscurus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus porosus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus armatus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus medius","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus nigrescens","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus robalito","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
