gear_type,target_species,n_vessels,gilman_gear_category,gilman_mapping_method,gilman_mapping_confidence,gilman_component_categories,R,C,A,O,H_gear,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,H_gear_ghost,bottom_destructive,confidence,mapping_notes,gilman_reference,gilman_ghost_reference
PESCA MULTIPLE,CAMARÓN | ESCAMA | OTRAS,2,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS,2,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,ESCAMA | TIBURÓN,2,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,ESCAMA | TIBURÓN | OTRAS,2,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | OTRAS | OTRAS,1,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | ATÚN,1,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | ATÚN | OTRAS,1,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | OTRAS,1,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,1,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | OTRAS | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE,ESCAMA | ATÚN,1,"Composite: Longline, pelagic + Trawl, bottom",composite_mean,medium,"Longline, pelagic; Trawl, bottom",0.135,0.53,0.33,0.605,0.0817,0.875,0.375,0.25,0.5,0.0675,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE,ESCAMA | TIBURÓN | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE | PESCA MULTIPLE,CAMARÓN | OTRAS | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: PESCA MULTIPLE.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE | PESCA MULTIPLE,OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: PESCA MULTIPLE.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
