"Year","Major_Functional_Group","estimated_taxa_group","Stock","Total_Landed_Biomass","n_Records"
2004,"Demersal marine fishes","OTRAS","Microlepidotus",1000634.3,28
2004,"Demersal marine fishes","OTRAS","Nematistius",99,1
2004,"Demersal marine fishes","OTRAS","Nicholsina",1084.2,11
2004,"Demersal marine fishes","OTRAS","Orthopristis",31089,124
2004,"Demersal marine fishes","OTRAS","Parapsettus",15104,31
2004,"Demersal marine fishes","OTRAS","Pseudupeneus",974.1,5
2004,"Demersal marine fishes","OTRAS","Scorpaena",87197.9,434
2004,"Demersal marine fishes","OTRAS","Sphoeroides",679781.6,1476
2004,"Demersal marine fishes","OTRAS","Stereolepis",9.9,1
2004,"Demersal marine fishes","OTRAS","Synodus",30717,130
2004,"Demersal marine fishes","PARGO","Hoplopagrus",65425.6,363
2004,"Demersal marine fishes","PIERNA","Caulolatilus",816501.6,1419
2004,"Demersal marine fishes","RAYA Y SIMILARES","Aetobatus",39823.25,103
2004,"Demersal marine fishes","RAYA Y SIMILARES","Hypanus",1532109.6,1278
2004,"Demersal marine fishes","RAYA Y SIMILARES","Mobula",1240941.35,1066
2004,"Demersal marine fishes","RAYA Y SIMILARES","Pseudobatos",1591474.2,1722
2004,"Demersal marine fishes","ROBALO","Centropomus",513113.01,3404
2004,"Demersal marine fishes","RONCO","Haemulopsis",270835.6,757
2004,"Demersal marine fishes","TIBURON","Alopias",3386,4
2004,"Demersal marine fishes","TIBURON","Carcharhinus",173001,337
2004,"Demersal marine fishes","TIBURON","Galeocerdo",25509.5,74
2004,"Demersal marine fishes","TIBURON","Ginglymostoma",3576.4,40
2004,"Demersal marine fishes","TIBURON","Lamna",4248,19
2004,"Demersal marine fishes","TIBURON","Mustelus",230968.8,161
2004,"Demersal marine fishes","TIBURON","Prionace",175180,137
2004,"Demersal marine fishes","TIBURON","Sphyrna",26112.2,109
2004,"Demersal marine fishes","TIBURON","Squatina",776896.1,1038
2004,"Diadromous fishes","OTRAS","Chanos",13282.5,29
2004,"Marine algae","ALGAS","Gelidium",5080130,176
2004,"Marine fishes NEI","MERO","Epinephelus",77005.2,588
2004,"Miscellaneous aquatic animals","ERIZO","Mesocentrotus",1736776,1179
2004,"Miscellaneous aquatic animals","ERIZO","Strongylocentrotus",167647,225
2004,"Molluscs excl. Cephalopods","ABULON","Haliotis",717330.22,904
2004,"Molluscs excl. Cephalopods","ALMEJA","Argopecten",12819200,3130
2004,"Molluscs excl. Cephalopods","ALMEJA","Dosinia",701610,157
2004,"Molluscs excl. Cephalopods","ALMEJA","Megapitaria",1468931,774
2004,"Molluscs excl. Cephalopods","CARACOL","Lobatus",7837,15
2004,"Molluscs excl. Cephalopods","CARACOL","Megastraea",1818884,306
2004,"Pelagic marine fishes","ATUN","Thunnus",53909533.6,224
2004,"Pelagic marine fishes","BARRILETE","Euthynnus",40020,2
2004,"Pelagic marine fishes","BARRILETE","Katsuwonus",13786476.4,284
2004,"Pelagic marine fishes","BONITO","Sarda",74772.65,234
