estimated_genus_name,Major_Functional_Group,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Spondyliosoma,Demersal marine fishes,OTRAS,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Sphyraena,Pelagic marine fish (excl. anchovy & sardine),OTRAS,Sphyraenidae,Sphyraenidae,Sphyraenidae,family name was estimated from previous keys
Sphyrna,Sharks,TIBURON,Sphyrnidae,Carcharhinidae,Sphyrnidae,family name was estimated from previous keys
Squatina,Sharks,TIBURON,Squatinidae,Squatinidae,Squatinidae,family name was estimated from previous keys
Stomolophus,Jellies,OTRAS,NA,Stomolophidae,Stomolophidae,family name was estimated from genus name using taxize function
Peprilus,Pelagic marine fish (excl. anchovy & sardine),OTRAS,Stromateidae,Stromateidae,Stromateidae,family name was estimated from previous keys
Lobatus,Molluscs excl. Cephalopods,CARACOL,Strombidae,Strombidae,Strombidae,family name was estimated from previous keys
Mesocentrotus,Echinoderms,ERIZO,Strongylocentrotidae,Strongylocentrotidae,Strongylocentrotidae,family name was estimated from previous keys
Strongylocentrotus,Echinoderms,ERIZO,Strongylocentrotidae,Strongylocentrotidae,Strongylocentrotidae,family name was estimated from previous keys
Syngnathus,Demersal marine fishes,OTRAS,Syngnathidae,Syngnathidae,Syngnathidae,family name was estimated from previous keys
Synodus,Demersal marine fishes,OTRAS,Synodontidae,Synodontidae,Synodontidae,family name was estimated from previous keys
Sphoeroides,Demersal marine fishes,OTRAS,Tetraodontidae,Tetraodontidae,Tetraodontidae,family name was estimated from previous keys
Galeorhinus,Sharks,TIBURON,Triakidae,Triakidae,Triakidae,family name was estimated from previous keys
Mustelus,Sharks,TIBURON,Triakidae,Triakidae,Triakidae,family name was estimated from previous keys
Triakis,Sharks,TIBURON,NA,Triakidae,Triakidae,family name was estimated from genus name using taxize function
Trichiurus,Pelagic marine fish (excl. anchovy & sardine),CINTILLA,Trichiuridae,Trichiuridae,Trichiuridae,family name was estimated from previous keys
Turbinella,Molluscs excl. Cephalopods,CARACOL,NA,Turbinellidae,Turbinellidae,family name was estimated from genus name using taxize function
Megastraea,Molluscs excl. Cephalopods,CARACOL,Turbinidae,Turbinidae,Turbinidae,family name was estimated from previous keys
Turbo,Molluscs excl. Cephalopods,CARACOL,Turbinidae,Turbinidae,Turbinidae,family name was estimated from previous keys
Urotrygon,Demersal marine fishes,RAYA Y SIMILARES,Urotrygonidae,Urotrygonidae,Urotrygonidae,family name was estimated from previous keys
Chione,Molluscs excl. Cephalopods,ALMEJA,Veneridae,NA,Veneridae,family name was estimated from previous keys
Dosinia,Molluscs excl. Cephalopods,ALMEJA,Veneridae,Veneridae,Veneridae,family name was estimated from previous keys
Megapitaria,Molluscs excl. Cephalopods,ALMEJA,Veneridae,Veneridae,Veneridae,family name was estimated from previous keys
Xiphias,Pelagic marine fish (excl. anchovy & sardine),OTRAS,Xiphiidae,Xiphiidae,Xiphiidae,family name was estimated from previous keys
