estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Amiantis,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,NA,NA,Veneridae,family name was logged manually
Crassostrea,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,OSTION,Ostreidae,Ostreidae,Ostreidae,family name was estimated from previous keys
Magallana,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,OSTION,Ostreidae,NA,Ostreidae,family name was estimated from previous keys
Argopecten,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,Pectinidae,Pectinidae,Pectinidae,family name was estimated from previous keys
Atrina,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,OTRAS,NA,Pinnidae,Pinnidae,family name was estimated from genus name using taxize function
Pinna,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,OTRAS,NA,Pinnidae,Pinnidae,family name was estimated from genus name using taxize function
Lobatus,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Strombidae,Strombidae,Strombidae,family name was estimated from previous keys
Turbinella,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,NA,Turbinellidae,Turbinellidae,family name was estimated from genus name using taxize function
Megastraea,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Turbinidae,Turbinidae,Turbinidae,family name was estimated from previous keys
Turbo,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Turbinidae,Turbinidae,Turbinidae,family name was estimated from previous keys
Chione,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,Veneridae,NA,Veneridae,family name was estimated from previous keys
Dosinia,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,Veneridae,Veneridae,Veneridae,family name was estimated from previous keys
Megapitaria,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,Veneridae,Veneridae,Veneridae,family name was estimated from previous keys
