year,eu_rnpa,Major_Functional_Group,total_catch_kg
2018,0207001876,Crustaceans,3189
2018,0207001884,Demersal marine fishes,175793
2018,0207001884,Molluscs excl. Cephalopods,19551
2018,0207001884,Pelagic marine fish (excl. anchovy & sardine),705041.5
2018,0207001884,Sharks,4353.75
2018,0207001900,Molluscs excl. Cephalopods,24570
2018,0207001926,Demersal marine fishes,134060.05
2018,0207001926,Marine or freshwater fishes NEI,1175
2018,0207001926,Marine species NEI,1148.9
2018,0207001926,Pelagic marine fish (excl. anchovy & sardine),70
2018,0207001926,Sharks,4440.45
2018,0207001926,"Shrimps, prawns",33225.6
2018,0207001934,Cephalopods,9030
2018,0207001934,Demersal marine fishes,22272.3
2018,0207001934,Marine or freshwater fishes NEI,1590
2018,0207001934,Molluscs excl. Cephalopods,3463
2018,0207001934,Pelagic marine fish (excl. anchovy & sardine),82662
2018,0207001934,Sharks,5242.5
2018,0207001967,Crustaceans,600
2018,0207001967,Demersal marine fishes,42961.75
2018,0207001967,Molluscs excl. Cephalopods,14119
2018,0207001967,Pelagic marine fish (excl. anchovy & sardine),16120
2018,0207001967,Sharks,41011
2018,0207001975,Molluscs excl. Cephalopods,22260
2018,0207001983,Molluscs excl. Cephalopods,75775
2018,0207002007,Molluscs excl. Cephalopods,31787
2018,0207002049,Molluscs excl. Cephalopods,20054
2018,0207002056,Cephalopods,10991
2018,0207002056,Crustaceans,13338
2018,0207002056,Molluscs excl. Cephalopods,124112
2018,0207002080,Molluscs excl. Cephalopods,84203
2018,0207002155,Molluscs excl. Cephalopods,44043
2018,0207002171,Molluscs excl. Cephalopods,4550
2018,0207002189,Molluscs excl. Cephalopods,126175
2018,0207002205,Molluscs excl. Cephalopods,22505
2018,0207002239,Molluscs excl. Cephalopods,21434
2018,0208001263,Pelagic marine fish (excl. anchovy & sardine),150
2018,0301000097,Demersal marine fishes,144
2018,0301000097,Marine algae,80112
2018,0301000097,Marine fishes NEI,401
2018,0301000097,Molluscs excl. Cephalopods,57452
2018,0301000113,Pelagic marine fish (excl. anchovy & sardine),3000
2018,0302000070,Pelagic marine fish (excl. anchovy & sardine),1425
2018,0302000112,Pelagic marine fish (excl. anchovy & sardine),824
2018,0302000120,Pelagic marine fish (excl. anchovy & sardine),1237
2018,0302000146,Pelagic marine fish (excl. anchovy & sardine),2909
2018,0302000294,Demersal marine fishes,4308
2018,0302000294,Pelagic marine fish (excl. anchovy & sardine),2595
2018,0302000328,Pelagic marine fish (excl. anchovy & sardine),1456
2018,0302000369,Pelagic marine fish (excl. anchovy & sardine),1100
2018,0302000377,Pelagic marine fish (excl. anchovy & sardine),691
2018,0302000385,Pelagic marine fish (excl. anchovy & sardine),1446
2018,0302000393,Pelagic marine fish (excl. anchovy & sardine),1144
2018,0302000484,Pelagic marine fish (excl. anchovy & sardine),535
2018,0302000492,Pelagic marine fish (excl. anchovy & sardine),1240
2018,0302000526,Pelagic marine fish (excl. anchovy & sardine),1045
2018,0302000534,Pelagic marine fish (excl. anchovy & sardine),811
2018,0302000567,Anchovy & Sardine (small pelagics),526
2018,0302000567,Demersal marine fishes,8217
2018,0302000567,Pelagic marine fish (excl. anchovy & sardine),1128
2018,0302000575,Pelagic marine fish (excl. anchovy & sardine),1358
2018,0302000591,Pelagic marine fish (excl. anchovy & sardine),733
2018,0302000609,Anchovy & Sardine (small pelagics),1071
2018,0302000609,Demersal marine fishes,16157
2018,0302000609,Pelagic marine fish (excl. anchovy & sardine),1541
2018,0302000666,Pelagic marine fish (excl. anchovy & sardine),833
2018,0302001094,Demersal marine fishes,12228
2018,0302001094,Pelagic marine fish (excl. anchovy & sardine),480
2018,0302001102,Demersal marine fishes,14066
2018,0302001102,Pelagic marine fish (excl. anchovy & sardine),1122
2018,0302001128,Demersal marine fishes,4458
2018,0302001128,Molluscs excl. Cephalopods,3200
2018,0302001128,Pelagic marine fish (excl. anchovy & sardine),340
2018,0302001136,Anchovy & Sardine (small pelagics),1699.88
2018,0302001136,Pelagic marine fish (excl. anchovy & sardine),1878
2018,0302001144,Pelagic marine fish (excl. anchovy & sardine),993
2018,0302001169,Demersal marine fishes,41124
2018,0302001169,Pelagic marine fish (excl. anchovy & sardine),5455
2018,0302001235,Demersal marine fishes,71460
2018,0302001235,Pelagic marine fish (excl. anchovy & sardine),44690
2018,0302001250,Demersal marine fishes,2430
2018,0302001268,Demersal marine fishes,10731.5
2018,0302001276,Pelagic marine fish (excl. anchovy & sardine),1301
2018,0303000566,Molluscs excl. Cephalopods,14500
2018,0303000939,Demersal marine fishes,3450
2018,0303000939,Pelagic marine fish (excl. anchovy & sardine),550
2018,0303001267,Demersal marine fishes,62786.2
2018,0303001267,Pelagic marine fish (excl. anchovy & sardine),1609
2018,0303001267,Sharks,400
2018,0303001283,Crustaceans,33800
2018,0303001283,Demersal marine fishes,74860
2018,0303001283,Marine or freshwater fishes NEI,7350
2018,0303001283,Molluscs excl. Cephalopods,22000
2018,0303001283,"Shrimps, prawns",320
2018,0303001382,Demersal marine fishes,2581.7
2018,0303001572,Demersal marine fishes,1305
2018,0303001572,Marine or freshwater fishes NEI,1800
2018,0304000029,Crustaceans,29126
2018,0304000029,Demersal marine fishes,12849.050000000001
2018,0304000029,Marine fishes NEI,578.6
2018,0304000029,Marine or freshwater fishes NEI,62
2018,0304000029,Molluscs excl. Cephalopods,8694
2018,0304000029,Pelagic marine fish (excl. anchovy & sardine),7219.8
2018,0304000029,Sharks,2696.15
2018,0304000037,Crustaceans,3272
2018,0304000037,Molluscs excl. Cephalopods,7427
2018,0304000086,Demersal marine fishes,60117.2
2018,0304000086,Marine fishes NEI,7215
2018,0304000086,Marine or freshwater fishes NEI,352
2018,0304000086,Molluscs excl. Cephalopods,42516
2018,0304000086,Pelagic marine fish (excl. anchovy & sardine),9268
2018,0304000086,Sharks,33357.9
2018,0304000094,Demersal marine fishes,20553.7
2018,0304000094,Marine fishes NEI,25859
2018,0304000094,Marine or freshwater fishes NEI,40
2018,0304000094,Pelagic marine fish (excl. anchovy & sardine),1030
2018,0304000094,Sharks,139.7
2018,0304000144,Cephalopods,1320
2018,0304000144,Demersal marine fishes,12567.7
2018,0304000144,Marine or freshwater fishes NEI,8
2018,0304000144,Molluscs excl. Cephalopods,68275
2018,0304000144,Pelagic marine fish (excl. anchovy & sardine),4206
2018,0304000144,Sharks,4051.2999999999997
2018,0304000193,Cephalopods,4186.6
2018,0304000193,Crustaceans,269
2018,0304000193,Demersal marine fishes,658.4
2018,0304000193,Molluscs excl. Cephalopods,43288
2018,0304000227,Cephalopods,9882.4
2018,0304000227,Molluscs excl. Cephalopods,26342
2018,0304000235,Cephalopods,469.7
2018,0304000235,Molluscs excl. Cephalopods,20537
2018,0304000292,Cephalopods,29202.8
2018,0304000292,Crustaceans,2878
2018,0304000292,Molluscs excl. Cephalopods,72830
2018,0304000342,Molluscs excl. Cephalopods,630
2018,0304000383,Crustaceans,804
2018,0304000383,Molluscs excl. Cephalopods,73715
2018,0304000466,Cephalopods,4470.4
2018,0304000466,Demersal marine fishes,38651.5
2018,0304000466,Marine fishes NEI,500
2018,0304000466,Marine or freshwater fishes NEI,400
2018,0304000466,Molluscs excl. Cephalopods,44237
2018,0304000466,Pelagic marine fish (excl. anchovy & sardine),6506.1
2018,0304000532,Cephalopods,1820.5
2018,0304000532,Demersal marine fishes,30335.4
2018,0304000532,Marine fishes NEI,12343
2018,0304000532,Molluscs excl. Cephalopods,56053
2018,0304000532,Pelagic marine fish (excl. anchovy & sardine),5202
2018,0304000540,Cephalopods,1677.5
2018,0304000540,Crustaceans,315
2018,0304000540,Demersal marine fishes,5202.2
2018,0304000540,Molluscs excl. Cephalopods,35210
2018,0304000540,Pelagic marine fish (excl. anchovy & sardine),3090
2018,0304000615,Crustaceans,420
2018,0304000615,Demersal marine fishes,99765.1
2018,0304000615,Marine fishes NEI,8553.3
2018,0304000615,Molluscs excl. Cephalopods,79663
2018,0304000755,Cephalopods,2145
2018,0304000755,Demersal marine fishes,1417.8
2018,0304000755,Molluscs excl. Cephalopods,34049
2018,0304000755,Pelagic marine fish (excl. anchovy & sardine),466
2018,0304000771,Cephalopods,3062.4
2018,0304000771,Molluscs excl. Cephalopods,54236
2018,0304000797,Cephalopods,36558.5
2018,0304000797,Demersal marine fishes,26551.5
2018,0304000797,Marine fishes NEI,16333
2018,0304000797,Marine or freshwater fishes NEI,70
2018,0304000797,Molluscs excl. Cephalopods,187937
2018,0304000797,Pelagic marine fish (excl. anchovy & sardine),5087
2018,0304000797,Sharks,6696
2018,0304000813,Cephalopods,27596.8
2018,0304000813,Crustaceans,530
2018,0304000813,Demersal marine fishes,8394
2018,0304000813,Molluscs excl. Cephalopods,161270
2018,0304000821,Cephalopods,45205.6
2018,0304000821,Demersal marine fishes,4963.8
2018,0304000821,Marine or freshwater fishes NEI,400
2018,0304000821,Molluscs excl. Cephalopods,138896
2018,0304000821,Pelagic marine fish (excl. anchovy & sardine),218
2018,0304000839,Molluscs excl. Cephalopods,68451
2018,0304000854,Cephalopods,17638.5
2018,0304000854,Crustaceans,8329
2018,0304000854,Demersal marine fishes,76617.5
2018,0304000854,Marine fishes NEI,765
2018,0304000854,Marine or freshwater fishes NEI,2870
2018,0304000854,Molluscs excl. Cephalopods,52077
2018,0304000854,Pelagic marine fish (excl. anchovy & sardine),20750.7
2018,0304000854,Sharks,36654.2
2018,0304000862,Cephalopods,8684.5
2018,0304000862,Crustaceans,333
2018,0304000862,Demersal marine fishes,2835.2
2018,0304000862,Molluscs excl. Cephalopods,221819
